信号待ちのあいだに突っ込んできた,と思われる
祖母は,びっくりした
口癖は,金がない
ケイくんは少しためらうような間を置いてから,彼が“ためらい”なんてものを見せるのはかなり珍しい
ケイくんはそう言って、,つまらない噂だよ
わたしの背中をぽんと押して、,早く中に戻るぞ
あざといくらいにフェミニンなワンピースを着てみたりもしたんだけど,おろしたてである
いわく、スニーカーの語源は,Sneak
近くには,園内への飲食物の持ち込みはご遠慮ください
それも明らかに,風船だからどこが正面かはわからないけど、服装の向きを見るに
手指は更に細く小さい風船でできていて、その奇妙な指で彼,？
彼は燕尾服の内ポケットから銀色の懐中時計を取り出して時間を見た,と思う。目がないけど
それから彼らは、困ったみたいに顔を見合わせて何かを相談するような身振りをする,器用なものだ
そのことに対する焦り,……なのだろうか？
少し歩いたとき、後ろから、,ねえ、待って
ここに来てから何度も,吸ったら？
かと思うと、もう一度こちらに視線をよこして、,ああ
踊り場までやってくると、彼女は,ふー
放課後に、,碓氷くんいますか？
部長はへらへら笑って、,ま、気が向いたら顔出してよ
今時間起きている人がいるとしても、きっと,うるさいなあ
僕たちは,ここ
僕は一度だけ振り返って、,来ないの？
牙を向けば、僕らの腕くらいならやすやすと噛みきれそうだ,というか、噛み切れるのだろう
夜の遊園地,廃墟
扉を開けたら鏡があって、女の子はその鏡をすり抜けて進んでいって,？
奇妙な静寂の後、うしろから、,遼一！
そうでないにせよ、何か、事情を知っている誰か,誰だろう？
やがて劇は終わり、男は,今日はこれでおしまい
ざくろは振り返らずに,なに？
わたしの思いつきに、ケイくんは訝しげな表情で,ふむ
わたしたちに何を求めているのか,あるいは、いないのか
だから、使おうと思えば、財布のなかに入っていたお金は,まったく問題ないわけではないが
わたしが小学校にあがる頃から、母はわたしの暮らす家,つまり、母にとっての実家
少女は静かに頭をさげて、,いえ
その一瞬一瞬に抱いてきた気持ちだって、,今
わたしたちは、,自分
何が,どうして
わからない、と曖昧に首を振ると、,そっかあ
玄関で靴をそろえると、,どうぞ
場にそぐわない素直な感想をわたしが漏らすと、まひるはきょとんとした顔で、,しないよ？
そうやってまひるが当たり前のように,ケイくん
手伝うとは言ったものの、わたしの行動は,手伝い
わたしは食器を洗うのを手伝おうとしたけれど、,お風呂、入っちゃいなよ
ケイくんが言ってるのは、きっと、,そうじゃなかったとき
