モバP(以下、P),ただいま戻りました～
ちひろ,お疲れ様ですプロデューサーさん
P,あれ、ちひろさんお出かけですか？
ちひろ,はい、ちょっと銀行まで・・・あ、そうだ。先ほどテレビ局の方がいらしてお土産にチョコレートを頂いたんですけど、冷蔵庫の中に入ってるので食べて下さい
P,はい、分かりました
ちひろ,それでは行ってきますね
P,お気をつけてー。チョコレートか。ちょうど甘いものが食べたかったんだよな～。えーっと、チョコチョコ・・・なんか色々あるな。みんな冷蔵庫に物入れすぎだろ・・・・・お、これかな？。おぉ、高そうなトリュフチョコ。さすがはテレビ局。どれどれ一つ・・・。ひぇぁうめぇ！そうだ、コーヒーでも淹れよーっと。！？
未央,あぁ・・・！
P,なんだ未央か、驚かすなよ
未央,プロデューサー！何でそれ食べちゃってるの！？
P,何でって、貰ったからだよ。テレビ局の方からのお土産だってさ。もしかして未央も食べたかったのか？
未央,そうじゃないって！そのチョコしぶりんのだよ！？
P,は・・・？
チョコ,渋谷凛
P,あ、やばっ
未央,どうするのプロデューサー！
P,大げさだな～。正直に謝れば大丈夫だろ
未央,それはどうかな
P,え？
未央,しぶりんチョコ大好きだから、チョコの事になると人が変わる事があるんだよ。私がこの前しぶりんのチョコを間違えて食べちゃった時なんて―――。――――なんて事があったんだけど
P,もしかしてこの前かなり機嫌悪い時があったけど原因はそれだったのか？
未央,うん。一日口聞いてもらえなかったよ
P,おいおい嘘だろ・・・あの時だってかなり雰囲気悪かったのに、またあんな感じになるのか？
未央,いや・・・私の時はちょっとお高めくらいのチョコだったんだけど、このチョコは朝早く並ばないと買えないくらいレアで高級なチョコらしいんだよね
P,え、じゃあどうなるんだ・・・？
未央,あまり考えたくないかな
P,。未央、助けて！
未央,いやー、これはどうしようもないね。頑張って
P,冷たすぎるだろ！
未央,だって本当にどうしようもないんだもん。チョコ自体とっくに売り切れてるだろうし、しぶりんレッスンから帰ってくるからそもそも買いに行く時間もないし
P,ど、どうしよう！
未央,土下座覚悟で謝り続けるしかないね。たぶん許してもらえないけど
P,考えろ俺！何か考えるんだ・・・・・・・そうだ！
未央,まぁフォローくらいならしてあげｒ―――P取りあえず仲間を増やしておこう・・・！。あかッ！！？？？。にゃ、にゃにふんのはぁ！？
P,さて、じゃあこれからどうするか二人で考えようか。だってこれは俺達二人の問題なんだからさ
未央,くっ、このっ・・・！
P,で、どうすればいいと思う？
未央,・・・。どうするもこうするも・・・さっき言った通り、チョコはもう売り切れてるからしぶりんには絶対バレるわけで。やっぱ誠心誠意謝罪するしかないんだって
P,・・・でも、口聞いて貰えなくなるんだろ？
未央,3日は固いね
P,えぇ・・・
凛,ただいま
P・未央,！。お、お疲れ～
凛,お疲れ。二人は何してるの？
未央,実はね、しぶｒ―――Pただお喋りしてただけだぞ！。！？
凛,ふーん？。あ、そう言えば冷蔵庫にチョコ―――
P,だぁぁぁ！！！！りーーーん！！！
凛,な、なに！？
P,えっと、その・・・。・・・チョ
凛,ちょ？
P,チョ・・・・・・・ちょっとお腹とか空いてないか？
未央,
凛,お腹・・・？まぁ、ちょっと空いたかな？さっきまでレッスンで体動かしてたし
P,じゃあこれから何処か食べに行こう！もちろん奢るからさ！
凛,え、いいの？まぁ、私は別に構わないけど・・・でもその前に冷蔵庫のチョコ―――
P,うぉぉぉい！未央！何か良い店知らないかなぁ！？
未央,え！？えっと・・・あ、そう言えば最近出来たばかりのスイーツ店が近くにあるけど
P,あぁ！いつも行列ができてるところだな！凛、その店に行ってみないか！？
凛,え、でもあそこって―――
P,よし決まり！未央も来るか！？
未央,私はいいや・・・
P,そうか、じゃあ凛行こう！
凛,う、うん・・・?
P,じゃあ行ってくる
未央,行ってらっしゃーい♪。・・・。はぁぁぁぁ。何で私までこんな目に・・・。でもプロデューサー、どうするつもりなのかな
凛,。ん
P,お、着いたか・・・って相変わらず凄い行列だな
凛,今日は尚更ね
P,え、何で？
凛,早く並ぼ
P,おう・・・？。なんかカップルが多いな
凛,・・・そう？
店員,お待たせいたしました～！中へどうぞ
P,お、やっとか
凛,うん
P,おぉ～内装もまた洒落てるなぁ・・・・・ん？。店の中もカップルだらけだな
凛,・・・
店員,いらっしゃいませ！本日カップルデーでとなっております！
P,カップルデー？あぁ、通りでカップルが多いのか
店員,カップルのお客様は半額割引となっております。えっと、お客様方は・・・
P,あ、僕達は違いｍ・・・凛カップルです。！？
店員,かしこまりました♪ではこちらの席へどうぞ！
P,お、おい・・・！
凛,ほら、早く行こ？
店員,こちらメニューでございます
P,好きな物頼んでいいぞ
凛,じゃあ私はチョコレートパフェにしようかな
P,じゃあ俺はイチゴパフェにするか。チョコレートパフェとイチゴパフェをお願いします
