モバP,以下P
美優,ありがとうございますPさん
P,まだアイドルになって1年も経ってないのにシンデレラガールになるなんて凄いですよ
美優,……1年ですか
P,本当におめでとうございます。ご褒美と言ったら何ですけど俺にできることなら何でもしますよ！
美優,なんでも……ですか？
P,はい！俺にできることなら何でも！
美優,じゃあ一度ゆっくりお話しする時間をくれませんか？。大切な話があるんです……
P,……何か深刻そうですね。わかりました。明日の夜、ごはんでも食べながら話しましょう
美優,ありがとうございます……
P,おまたせしました美優さん
美優,いえ、大丈夫です……
P,車、乗ってください
美優,わかりました。今日はどんなお店なんですか？
P,夜景が綺麗なレストランの個室です
美優,素敵ですね……
P,ぎりぎり予約取れたんですよ。もうすこし遅かったらどうなったことか
美優,間に合ってよかったです
P,改めて美優さん、シンデレラガールおめでとうございます
美優,ありがとうございます
P,俺がスカウトしたときは死にそうな目をしていたのが嘘みたいだよ
美優,あのときは色々あったんです……。……もしPさんにスカウトされなければ自殺していたかもしれません
P,そんなにですか……。今は俺はもちろん、事務所のみんなやファンの人達もいるんです。絶対そんなことしないでください
美優,わかっています。そんなこと……しません
P,着きました。ここの最上階です、行きましょう
美優,はい。綺麗な夜景ですね
P,でしょう？まだ誰にも言ったことのない秘密の場所なんです
美優,そんなところに連れてきてくれたんですね……
P,あっ、料理はコースです
美優,わかりました
P美優,ごちそうさまでした
美優,すごく美味しかったです
P,それはよかった
美優,……話聞いてもらってもいいですか
P,はい、お願いします
美優,驚かないでくださいね……。Pさんは私が206歳だって言ったら信じてくれますか？
P,え……。どういうことなんですか？
美優,別に産まれたのが206年前ということじゃありません
P,じゃあなんで……？
美優,私は他の人の十倍の時間の速さの中で生きてるんです
P,……それってどういうことですか？
美優,他の人の十倍の速さで動いていると言ったらわかりやすいでしょうか……。今だってPさんにも聞き取れるようにゆっくり話してるんですよ
P,……本当ですか？
美優,……確かめてみますか？
P,よければ是非
美優,では……
P,えっ。美優さんいつの間に後ろに……
美優,Pさんにとっては1秒のことでも私にとっては10秒なんです。急いでPさんの後ろに移動しただけですよ
P,美優さんが嘘つくはずないし本当のことなんですね……
美優,はい
P,産まれてからずっとそうなんですか？
美優,いえ、こうなったのさ私が6歳のときです。6歳から今までは20年たってるので私の体感時間では200年経っていることになります。なので206歳ということになりますね
P,そういうことですか……。6歳のときいきなりそうなったんですか？
美優,えっと……。話すと長くなりますが聞いてくれますか？
P,もちろんです。美優さんは大事な担当アイドルですから
美優,……担当アイドルですか
P,何かおかしいことでもありました？
美優,いえ……。そのとき私は小学校から帰っているところです。その日は学校でいい事があったので母に話そうと思って走って帰ってました。私の家までは大きい交差点が1つあるんですがそこは車通りが多いんですね。それでその信号が赤だったんです。さすがに急いで帰っていた私もこの交差点は危ないとわかっていたのでちゃんと信号待ちしました。まだかまだかと待って青信号になった途端走り出しました。車で右折するときって車通りが多いとなかなかできないですよね？。そのときもそうで、交差点の真ん中まで言った車はなかなか右折できず信号が赤になってから曲がってきたんですね。私と車は今にもぶつかりそうでした。そのときです、周りがスローモーションに見えました。私は車にぶつからないように必死で走りました。そして私は事故にならずにすみました。ここまではよかったんですが私はおかしな点に気づいてしましました。周りがスローモーションのままだと。車の速さが私の歩く速さより少し速いくらいなんですね。あとで知りましたが人間の歩く速さは時速４kmらしいです。私は10倍なので時速40kmで歩いていたことになりますね。私は家に帰って周りがスローモーションになっていることを母に言いました。しかし普通の人の十倍の速さで喋ってるのでふざけてるだけと思われて相手にして貰えませんでした。そこからは大変です。聞こえる音は十分の一の速さなので聞き取るのも初めは苦労しました。お気に入りだった曲を何度も聞いて周りの声を聞き取れるようにして喋れるように練習しました。完璧に周りに合わせられるようになるまではふざけてると思われて何度も怒られました。特に大変なのが体育の時で普通に動くと速すぎるのでちょうどいいくらいにするのが苦労しました。なぜこうなったのかは以上です
P,大変……だったんですね
美優,はい……とても。私が1年も経たないうちにシンデレラガールになって凄いと言いましたよね？
P,はい……
美優,私には1年は10年なので凄いことではないです。私がダンスの振り付けや歌を1日で覚えるのはおかしいと思いませんでしたか？
P,多少は思いましたが才能かと……
美優,1日は10日ですから覚えて当たり前ですよね。私の体質というかわかって貰えましたか？
P,……はい
美優,こんな話をしているうちにここに来てから2時間もたってしまいましたね……
P,美優さんからしたら20時間ですか……
美優,……はい、そうですね。突然かもしれませんがもっと大切な話があります
P,なんでしょうか？
美優,驚かないでくださいね……
P,こんな話の後です、何を言われても驚きませんよ
美優,Pさん、私はあなたが好きです。愛しています。私と結婚してください……！
P,……え。結婚ですか！？
美優,はい……ダメ……だったでしょうか？
P,いやいやプロデューサーとアイドルだし……
美優,私はシンデレラガールになることができました……もうアイドルに悔いはありません
P,そもそもいきなり結婚って……
美優,Pさんにとっては1年足らずのことでも私には10年なんです……。この1年で私もPさんもお互いのことをよく理解したと思います。この1年が交際期間のようなものだと判断しました……
P,そう言われるとそんな気が……
美優,プロデューサーとアイドルとかそんな建て前はいいです。Pさんの本心を言ってください
P,……
美優,……やっぱりこんな体質の人はダメでしょうか……
P,……美優さん
美優,はい
P,俺も美優さんのことが好きです。俺と結婚して下さい！
美優,Pさん……！
P,俺も美優さんのことずっと前から好きでした。思えば一目惚れだったのかもしれません。初めて美優さんを見たとき死にそうな目をしてましたけどどこかピンときたんですよね。そこから美優さんがアイドルになってくれて、仲良くなっていくうちにどんどん好きになっていきました。あのときなんで死にそうな目をしてたか、今なら聞いてもいいですか？
美優,はい……。あの前の日、そのとき仲のよかった男の人に私の体質についてお話したんです。そしたら突然距離を置かれるようになってしまって……
P,そうだったんですか……
美優,Pさんは大丈夫ですよね……？
P,もちろんです、俺はどんな美優さんでも受け入れますよ。もう夜も遅いですし詳しい話はまた今度にして今日はもう帰りましょうか
美優,……私今日は帰りたくないです
P,美優さん……
美優,Pさーん起きてくださーい
P,ん……もう朝か
美優,はい、朝ですよ。もう朝ごはんできてるので用意できたら早く起きて来てくださいね
P,うん……。美優の朝ごはんはいつも美味しそうだな
美優,もう、毎日そんなこと言ってますよ
P,そうだっけ？まあいいや、それじゃあ
P美優,いただきます
P,今日も美味しかったよ
美優,ありがとうございます……
P,今日はお得意先とどうしても外せない飲み会があるから帰るのが遅くなると思う
美優,そうなんですか……
P,じゃあいってくるよ
美優,Pさんいつものお願いしてもいいですか？
P,はいはい
美優,一回じゃダメです
P,しょうがないなぁ……
美優,これで帰りが遅くてもなんとか耐えられそうです
P,それじゃあいってくるよ
美優,いってらっしゃい、Pさん。いっちゃった……。寂しいなぁ……。そんなこといってないで先に家事を終わらせないと。まずは朝食の後片づけから……。あれからいろいろありました。シンデレラガールになってから仕事が大忙し。ひと段落ついたところで引退宣言。いろいろあって大変でした。それからPさんと結婚式。事務所のみんなもきてくれてとても幸せでした……。あっ、家事終わりました。今は……。まだ11時……。何……しようかな。Pさん遅いですね……。Pさん……
P,ただいま！
美優,Pさん！
P,遅くなって本当にごめん
美優,いえ、Pさんは急いで帰ってきてくれたとわかっています。でも……どうしても私、寂しいんです
P,確かに最近早く帰ってこれること少ないもんな……。よしっ、これからはお得意先相手でもなるべく断って早く帰ってこれるようにするよ。定時ですね、帰ります！
ちひろ,あっ、ちょっと！。まだ話さないといけないことあったのに……
P,ただいま！
美優,Pさん！おかえりなさい。最近、定時で帰ってきてくれて私、嬉しいです……！
P,当たり前だよ、美優より大切なものなんてないよ
美優,なんで私とPさんはこんなに少ししか一緒にいられないんでしょうか……
P,なんでだろうな……
美優,そうです！仕事です！。仕事があるから一緒にいられないんですよ
P,そうか！。俺仕事やめてずっと美優と一緒にいるよ！
美優,本当ですか！。私嬉しいです！
ちひろ,最近のPさん何かおかしい……。今日もいきなり帰っちゃうし……。あっ電話。えぇ……
美優,Pさん遅いですね……。Pさん……
P,ただいま！
美優,Pさん！
P,遅くなって本当にごめん
美優,いえ、Pさんは急いで帰ってきてくれたとわかっています。でも……どうしても私、寂しいんです
P,確かに最近早く帰ってこれること少ないもんな……。俺も早く帰ってきたいんだがどうしても仕事が忙しくてな……
美優,そこをなんとか早く帰ってこれないんですか？
P,ごめん、無理だ……
美優,じゃあせめて家にいる間、ずっと一緒にいてください……！
P,おう、わかった
さらに半年後,結婚してから1年半後
社長,Pくんはいるかい？
P,はい、ここにいますが
社長,突然で悪いが君には海外出張に行って貰う
P,海外出張ですか？
社長,あぁ、住むところは現地で向こうの人とルームシェアして貰う
P,期間はどれぐらいでしょうか
社長,1年だ
P,1年……
社長,出発日は1ヶ月後だ。詳しいことは追って連絡する
P,海外出張か……。ただいまー
美優,おかえりなさい、Pさん。今日もお疲れ様でした
P,ご飯できてる？
美優,もちろん出来てますよ
P,よかったー、すっごく腹減ってるんだよ
美優,フフッ、すぐ準備しますね
P,ご飯の後に大事な話あるから
美優,大事な話ですか……
P,それで話なんだけど。俺、海外出張になった
美優,えっ……。期間はどれぐらいですか？
P,1年らしい
美優,そんな長い間私耐えられません！。私が一緒に行くことは出来ないんですか？
P,現地の人とルームシェアすることになるからそれは出来ない……
美優,そんな……
P,申し訳ないが1年たてばすぐ戻るから待っててくれ
美優,嫌です！行かないでください！Pさん！。Pさんにとっては1年ですが私には10年なんです！耐えられません！
P,それはわかってるよ……。けど本当にごめん……行かないといけないんだ……。社長命令だし、行かないと俺はクビになるかもしれない
美優,それでもいいです！。私と新しい仕事を探しましょう！
P,俺はプロデューサーの仕事が好きなんだ。だから辞めたくない
美優,だったら他の事務所にいけば！
P,冷静になってくれ、美優。どこの事務所がクビになったプロデューサーを雇ってくれるんだ？
