スレタイの果とは、果物,くだもの
陽炎,メロンはね、果物じゃないの
雪風,えー？
陽炎,スイカもそう。野菜なの
時津風,嘘だー
陽炎,本当よ
雪風,嘘だよ。だって、野菜炒めにメロンなんか入ってないもん
磯風,えっ
時津風,スイカだって野菜カレーに入ってないよ
磯風,えっ
陽炎,野菜炒めと言っても、何でも入っている訳じゃないわ。イチゴも野菜だけど入ってないでしょ
磯風,えっ
雪風,イチゴも野菜なの！？
時津風,あんなに甘いのに！？
陽炎,そうよ、れっきとした野菜よ。でも、野菜炒めにイチゴなんて入らないわよね
雪風,う、うん
時津風,入らない
磯風,えっ
陽炎,カレーにだってキュウリやレタスは入ってないわ
雪風,うん
時津風,入ってない
磯風,えっ
雪風,そっかぁ、甘くてもメロンは野菜なんだね
陽炎,そうよ雪風。偉いわね
時津風,時津風も分かったよー
陽炎,うんうん、時津風もいい子ね。ご褒美にキャラメルをあげるわ
雪風,わーい
時津風,やったー
陽炎,それじゃあ、外で遊んでらっしゃい
雪風,うんっ
時津風,みんなにも教えてくるねー
陽炎,磯風はちょっと後で話があるから
磯風,えっ
不知火,今日のおやつはすももです
司令,ほう、すももとは珍しいね
不知火,初物らしいですよ
司令,いやぁ、久しぶりに食べるな
不知火,不知火は初めてです
司令,そうなのか
不知火,はい。名前を聞いた事はあるのですが
司令,まあ、あまり馴染みのある果物ではないかな
不知火,美味しいです
司令,あ、皮は剥かなくても大丈夫だよ
不知火,そうなのですか
司令,舌触りが苦手な人は剥くけどね
不知火,ふむ……皮ごとだと少し酸っぱいですね
司令,苦手かな
不知火,いえ。好きな味です
司令,すももと言えば
不知火,はい
司令,すももの早口言葉って知っているかな
不知火,早口言葉ですか
司令,うん。すももも桃も桃のうち、桃もすももも桃のうちってヤツ
不知火,あー、何か聞いた覚えが
司令,さて、上手く言えるかな～
不知火,不知火に隙はありません
司令,お、自信だねぇ
不知火,では……。すもみょもももみょも――
司令,
不知火,……///
司令,可愛い
不知火,
司令,あっ、不知火？。うーん、どこかに行ってしまった。どこまで行ったんだろう。しかし可愛いかったな不知火。耳まで真っ赤にして
不知火,司令、失礼します
司令,あ、帰ってきた
不知火,お茶をお持ちしました
司令,ああ、うん。ありがとう
不知火,焙じ茶です。どうぞ
司令,冷たいものを食べて身体が冷えていた所だったから嬉しいよ
不知火,今日もいい天気ですね
司令,ごまかした、ごまかしたよこの子！
不知火,洗濯物もよく乾きそうです
司令,何も無かった事にしてるよ！
不知火,後で一緒に散歩にでも行きましょう
陽炎,アンタ明日から毎朝ジョギングね
黒潮,はぁ？何やのいきなり
陽炎,決定だから。これ、命令だから
黒潮,そんなの横暴や、何でそんな事言うん
陽炎,アンタが痩せないからでしょ
黒潮,いや、そもそもウチそんな太ってないし
陽炎,ほら体重計
黒潮,いやいや陽炎。うぅ～、まさかホンマに叩き起こされるとは。あー眠い。まだ外、薄暗いやん。まあ、しゃあない。せっかく起きたしちょっと走ろか。別に運動は苦手やないしなー。あ～疲れたー。アカン、ちょっと張り切り過ぎたわ。けどまあ、ジョギングもエエもんやな。いい汗かいたし、だいぶ痩せた気がするわ
親潮,お疲れさまです！
黒潮,何や親潮、待っててくれたんか
親潮,はい！黒潮さんが頑張っていると聞いて
黒潮,はー、親潮ホンマええ子やなぁ
親潮,これ、作ってきました！どうぞ。レモンのハチミツ漬けです
黒潮,うわー、メッチャ嬉しい
親潮,疲労回復には甘いものが効果的です
黒潮,甘酸っぱくて美味しい。何やの親潮、メッチャ女子力高いやん
親潮,いえ、そんな。黒潮さん、明日も走るんですよね
黒潮,まあな、走らんと陽炎怒るしな
親潮,毎日作ってきますから
黒潮,えー、そんな悪いやん
親潮,全然平気です。一緒に頑張りましょう
黒潮,親潮優しいなー
親潮,お疲れさまです！はい、ハチミツレモンです
黒潮,親潮ありがとう、嬉しいわー
親潮,今日のは少しブランデーを入れてみました
黒潮,これも美味しいなー、染み渡るわー
親潮,今日はグレープフルーツをシロップに漬けてみました
黒潮,親潮いつもありがとうな。ウチ、頑張る
陽炎,おっかしいわね～。全然体重減ってないじゃない
不知火,むしろ微増してますね
陽炎,黒潮、アンタ本当に走ってる？
黒潮,なんや陽炎、疑ってんの
親潮,黒潮さんは毎日真面目に頑張っています
不知火,毎朝出掛けているのは陽炎も知ってる筈です
陽炎,う～ん、そうよねえ……
黒潮,せやでー、ウチ頑張ってる
親潮,流石です、黒潮さん！
陽炎,何で痩せないのかしらね
不知火,不思議です
親潮,不思議ですね
黒潮,不思議やなー
親潮,黒潮さん、これ見てください
黒潮,わっ、フルーチェやん、どないしたん
親潮,コンビニで見かけたので。思わず買ってみました
黒潮,あーこれな、昔よく食べてたわー
親潮,牛乳も一緒に買って来ました。早速作りましょう
黒潮,作ろ作ろ。わー、楽しみやなー
親潮,種類も色々ありますよ
