【尸魂界,ソウルソサエティ
藍染,……。……。――私の目と口の封印を解いたのか。君は、誰だ。荒唐無稽なことを言う。君に封を解くよう頼んだ憶えはないが。どうやら、私の言葉が聴こえていないらしい。いや、理解しようとしていないのか。もう一つ、問いに答えてもらおう。霊圧すら持たない君がどうやってこの無間に立ち入った。……。……。理解したよ、貴方もまた理を超越した一つの存在であるというわけか。構わないよ、少し退屈していたところだ。貴方の誘いに乗るとしよう
バタコ,あ、起きたわ！
藍染,君は？
バタコ,私はバタコ。砂漠で倒れていたあなたをアンパンマンが見つけたの
アンパンマン,こんにちは、ぼくアンパンマンです。あなたの名前は？
藍染,私は藍染惣右介。君が私を介抱してくれたようだね。礼を言うよ
アンパンマン,どういたしまして！ところでそうすけくん、おなかが空いてるでしょ？一緒にパンを食べようよ
藍染,さほど空腹というほどではない。私を気に掛ける必要は――
ジャムおじさん,バタコ、アンパンマン、パンが焼けたよ
アンパンマン,ジャムおじさん！
ジャムおじさん,おや、よかったよかった、彼も目を覚ましたようだね。さあ、みんなでパンを食べようか。どうぞ、焼き立てのカレーパンだよ、召し上がれ
藍染,……頂こう。！。芳醇な香りが鼻をくすぐりパン表面の美しい焼き色は目でも楽しめる。たくさんの具材とスパイスが溶け合ったまろやかさの中心に力強くしっかりとしたコクがある。しつこくはないが後を引くうまみに食が進み、気が付くころには食べ終わっている――。美味だ、素晴らしい逸品だよ
ジャムおじさん,あっはっは！ありがとう
藍染,アンパンマン、バタコ、そしてジャムおじさん……。見たところ、私をこの世界に引き込んだ者はこの場にいないようだ
ジャムおじさん,ところで、そうすけくんと言ったかな。砂漠で倒れていたと聞いたけど、きみは一体どこから来たんだい？
藍染,私の身の上を語る前に、一つ話をしようか。アンパンマン、バタコ、ジャムおじさん。私の刀を見てくれるかい？この鏡花水月を――――。！！
バタコ,わっ！？
ジャムおじさん,あわわ、今の音は…！？
ばいきんまん,ハ～ヒフ～ヘホー！やいやい！出てこいアンパンマン！
アンパンマン,ばいきんまん！
ばいきんまん,でたなアンパンマン！今日こそお前との決着をつけてやる！かびるんるん出撃！
かびるんるん軍団,かびかびーーーーーーーー！！！！
アンパンマン,うわーーっ！？か、顔が汚れて力が出ない……
ばいきんまん,ハッヒフッヘホー！アンパンマン敗れたり！このままパン工場のパンも全部奪いつくしてやるー！
藍染,待つんだ
ばいきんまん,ムッ、誰だおまえは！
藍染,君こそ何者だい？見慣れぬ飛行体を操っているようだが
ばいきんまん,フン！オレさまの名はばいきんまん！オレさまの邪魔をするならお前もアンパンマンと一緒にこのバイキンUFOでやっつけてやるー！
藍染,成程、君ごときがこの私を“やっつける”か。些か滑稽な物言いだな
ばいきんまん,なに～！オレさまをバカにしたなー！ゆるさんゆるさーん！
藍染,縛道の八十一断空だんくう
ばいきんまん,あいたたた……。ありゃ？バイキンUFOからケムリが！あっちゃっちゃっちゃ！。バイバイキーーーーーーーン！！！
ジャムおじさん,アンパンマン！そうすけくん！大丈夫かい！？
藍染,問題ないよ
アンパンマン,ぼ、ぼくもなんとか……
バタコ,もう、またばいきんまんの仕業ね！今新しい顔を焼くから待っててアンパンマン
アンパンマン,ありがとうバタコさん……
ジャムおじさん,申し訳ないそうすけくん。怖い思いをさせてしまって
藍染,……
ジャムおじさん,さっきの彼はばいきんまんと言ってね。今みたいにときどき町に出てきてはイタズラや悪さをしていくんだ。アンパンマンは彼とも仲良くしたいと思っているんだがね。なかなか上手くいかないんだよ
ばいきんまん,ハヒ～……あんな変なヤツにオレさまのメカが壊されるなんて。オレさまにはアンパンマンを倒すという使命があるのに！あのオジャマムシめ！。オレさまが相手をしてやってもいいが、このばいきんまん様はあいにく忙しいのだ
ドキンちゃん,さっきから何ぶつぶつ言ってるのよばいきんまん
ばいきんまん,そうだ！あの変なヤツの相手をさせるのに丁度いいのがいたぞ
ドキンちゃん,そんなことよりばいきんまん。ドキンちゃんお腹すいた～。ケーキ買ってきて～
ばいきんまん,グフフ、もしかしたらアンパンマンを弱らせるのにも役に立つかも……
ドキンちゃん,ねえ、ばいきんまんったら、聞いてるの？
