はじめに、これは続き物です。よろしければタイトル検索などで、前作を見て頂きたいです。,見てなくてもまぁまぁ見れます
山賊,てめぇら！！金を出しやがれ！！
勇者,…
盗賊,…
剣士,…
賢者,…
勇者,やっと人だぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！
盗賊,助かったっすぅぅぅぅぅぅぅぅぅぅぅぅ！！
剣士,生きて帰れるなんて…うっ…うっ…
賢者,……
剣士,賢者…黙ってるけどどうした…？
賢者,…この喜びを…噛みしめたくって…！！
盗賊,生きて帰れるぅぅぅぅぅぅぅぅ！！
山賊,な！！何言ってやがる！？
盗賊,うぅ…だから森に入る前に地図を買おうっていったんすよ…
賢者,いいや、ガイドを雇うべきだったわ…
勇者,そんなもん金が勿体ないだろ！！
盗賊,金より命っすよ！！
賢者,なんの考えもなしに迷いの森を抜けるなんて前代未聞よ！！！
山賊,なんなんだこいつら…？。くそ、ついに勇者に出会っちまったか！
勇者,あ、おいそこの山賊…
山賊,あ？なんだ？
勇者,てめぇ金持ってるか？ちょっと飛んでみろ
山賊,なんだ！やる気か糞野郎！！
剣士,師匠を愚弄するとは…私の新スキルで死ぬがいい……
山賊,スキル持ちか…厄介だな…
賢者,まちなさい……
山賊,へ！争いは嫌いか？僧侶の姉ちゃんよぉ？
賢者,殺したら帰り道が分からないから半殺しにしてね
山賊,とんだバーサーカーじゃねーか！！
勇者,ならこれを使えば良いだろ？へへへ
山賊,くっ！！！なんかヤバい武器っぽいぞ！！
勇者,相手してやる
山賊,ひのきのぼうじゃねぇかぁぁぁぁぁぁ！！！
剣士,さすが師匠！！精神攻撃もお手のものか…！
盗賊,メモいらないって
勇者,さぁ、どっからでも来な？
山賊,………
勇者,どうした？
山賊,なめやがって…。俺らはなぁ…山賊だが誇りがあるんだ…！！。いくら俺たちでもなぁ……
勇者,え？なんか言った？。はぁ？
賢者,あ、勇者。帰り道聞くのに一人いればいいから、残りは殺していいわよ？
勇者,オッケー…じゃあ思う存分…。って、あれ？
山賊,……。は！？ここは！？
勇者,おはよう！
山賊,なぜ俺は捕まっているんだ！？。たしか川の向こうでじいちゃんが手招きしてた所までは覚えているが…！？
盗賊,ギリギリまでいったんだな
山賊,と、いうかこの縄をほどきやがれ！！
勇者,それが出来ねぇんだなぁ…？
山賊,は！！思い出した！！たしか決めゼリフを言い始めた所までは覚えてるが…！
賢者,自分で決めゼリフっていうなよ
勇者,よく思い出せたねぇ
山賊,なんだ！？金ならやらんぞ…！！
勇者,あ、それならもう貰ったけど？
山賊,既に盗まれとる！！！。まじかあんた！！普通の人間なら罪悪感とか…！
勇者,罪悪感…w悪人から盗むのはオッケーってじいちゃんが言ってたぞw
山賊,とんでもねぇ英才教育じゃねーか！！。あんた山賊だったら天下とってるぜ！？
