本田未央,プロデューサー……今、あなたは何をしていますか？相変わらず馬鹿なことやって、はしゃいでいるのでしょうか？それとも、偶にみせる実直さで何かに向き合ってるのでしょうか？それでも……いつもと変わないあの笑顔で過ごしているのでしょうか？私は、あなたに会えない寂しさで笑えそうにありません……。ねぇ……笑えないよ……どこに居るの？プロデューサー。会いたい、会いたいよ……
モバＰ,ここにいるね。10分ほど前から
渋谷凛,会えない時間が、私の心にぽっかりと穴を開けて……寒いよ。友達と遊んでいても、仕事をしていても、風が吹いてるんだ……冷たい、凍える風が。私は蹲って泣くだけ。涙が凍って、水晶の様になって……私はその中で眠る人形になっちゃった。ねぇ……早く、迎えに来てよ……私をここから出してよ。ただいまって、抱きしめて暖めてよ……私の心の穴を、暖かいあなたの胸で……愛で……塞いでよ
モバＰ,え？なんて？
未央,っ……
モバＰ,未央笑えてるじゃん
未央,んん゛っ！プロデューサー……今、あなたはどこに……
モバＰ,ここだよ～？こ～こっ！
北条加蓮,私達を置いて消えたＰさん……最初はムカついたけど、やっぱり寂しいな……せめて声だけでも聞きたいのに、電話にも出ないし……
高垣楓,電話にでんわ？
加蓮,え？あ、はい……えっと……そうだっ！楓さんに抱きつかれてデレっとしてたＰさんっ！逃げるとは卑怯だよねっ！私はそこまで気にしないのに……ちょっと、お仕置きはするかもだけど……ゴールインは私としてくれたら、それでオッケーなのになっ！それなのに……もうっ！電話すら無視するなんてっ！
モバＰ,加蓮、素になってるぞ？
加蓮,っ…………ふぅ、早くＰさんに会いたいな
モバＰ,無視か。ちひろさん、これ一体なんですか？なんかまゆ縛られてるし
佐久間まゆ,ん゛～！ん゛ん゛～！！
千川ちひろ,……
モバＰ,えぇ……ちひろさんも無視……ん？。成程。楓さんは……温泉雑誌に夢中になってる。あれで釣ったか……ダジャレには反応したけど。さて、どうしようか。ん～……奈緒っ！
神谷奈緒,っ！
モバＰ,久しぶりだなっ！元気にしてたか？
奈緒,……
モバＰ,目を合わせようとしない、奈緒もかわいいなぁ！でも、ちゃんとかわいい奈緒を見たいなぁ？
奈緒,っ……
モバＰ,ほぅ……奈緒？
奈緒,……
モバＰ,イエ～イ、イエ～イ
奈緒,っ！っ！
モバＰ,強情だな……心にぽっかりと穴を開けて、蹲って泣いちゃうぞ？
未央,んはっ！
モバＰ,未央が反応しちゃったよ。凛のテンション、海外公演が終わっても落ち着いてないの？
凛,ハエがいたっ！！
モバＰ,痛っ！どこからそのスリッパを……ていうか、ハエがいたらスリッパで潰すんだ。凛ちゃん漢らしい……
凛,もうっ！もうっ！！
モバＰ,顔真っ赤しぶりん、かわいいです
加蓮,……凛？
凛,……うん。ハエはやっつけたよ
モバＰ,えぇ……まだ続けんの？
宮本フレデリカ,ハーイ♪期待の新人フレちゃんが午前のレッスンから帰ってきたよ！おるぼわーる？
速水奏,フレちゃん、それさよならって意味よ。こういう時はクークーじゃなかったかしら？
フレデリカ,おぉ！奏ちゃんフランス人説を唱えよう！
姫川友紀,え！？奏ちゃんフランス人なの？すごいねっ！！
奏,何を言ってるの……あら？
モバＰ,よぉ！久しぶりだな。面接以来か？
友紀,あっ！プロデューサーだっ！久しぶりー！担当の新人アイドルをほっぽり出すなんて、指導者失格だぞー！
モバＰ,え！？そうなん！？三人とも俺の担当なん！？
フレデリカ,そうなん！担当なん！佐藤さんがフレちゃん達の担当なん！
モバＰ,だから佐藤違う。この事務所には謎のハートを投げつけてくる佐藤しかいない。じゃなくて、美嘉の新プロジェクトの影響かな？
奏,そんな事言ってたね。ふふ、私はあなたが担当になって嬉しいわ
モバＰ,……お手柔らかに
友紀,ねぇねぇ、聞いてもいいのかな？まゆちゃん、大変な事になってるんだけど
まゆ,ん゛～！ん゛ん゛～！！
モバＰ,深刻ないじめの結果だね
友紀,え！？何をそんなに冷静に言ってんのさっ！まゆちゃん今解くよっ！！
モバＰ,だって俺へのいじめだもん
フレデリカ,どゆこと？
モバＰ,みんなが無視するんです。社会の闇がここに浮き彫りになってるんです。とっても傷ついてるんです。フレちゃんに慰めを要求します
フレデリカ,んじゃ、チューしてあげる♪なーんて！
モバＰ,それは残念
奏,それじゃ、私がしてあげる……ん
モバＰ,
奏,どう？元気になった？ふふ
モバＰ,お、おま
凛,プ、プロデューサー？
モバＰ,み、見た？
凛,奏、何して……駄目でしょ？それは駄目でしょ？
奏,ん？キスくらい挨拶みたいなもんでしょ？ね、フレちゃん
フレデリカ,ん～……奏ちゃん、顔赤いよ？
奏,まあ……異性に、それも唇にするのは初めてな訳だから、多少は
凛,駄目じゃん！駄目でしょっ！！駄目だからっ！！好きでもない人に女の子が簡単にキスなんてっ
奏,それだったら大丈夫
凛,聞きたくないっ！！
奏,まあ、聞いて？こんな簡単な表現は嫌なんだけど……一目惚れって信じる？
凛,信じないっ！そんなのあったとしても、恐ろしくチョロイ女っ！ビッチ！！
奏,ひどいわね……でもね？特別な何かを感じて、惹きつけられたの。そして、それはあの子もそう
凛,あの子！？どの子！？
奏,Ｐさんと一緒に旅行してた子
凛,～～～っ！！一緒って……んんっ！！ん～～～っ！！プロデューサー！？
モバＰ,凛、とりあえず落ち着こう。想像してるようなことはないから。ほら、凛だけだぞ？取り乱してるの
加蓮,う……っ……おろろろろろ
未央,うおぉぉぉ！！北条氏ぃぃ！！マジかぁぁ！うおぉぉ！！！
加蓮,はぁはぁ……ごめん……最終的には私の隣に居ればいいとか言ってたけど、実際目の当たりにすると駄目だ。私、ネトラレ属性ない。完膚なきまでない。キス見た瞬間絶望感に襲われた。Ｐさんが女の子と二人きりで旅行してるの想像すると、焦燥感と不安感で胃がキュウってなって、頭が真っ白になって、血の気も
奈緒,もういいもういい！気持ちは分かるっ！！
