本田未央,そんな、私だって……忘れない……忘れられるわけないよ、うぅ……ぐすん
島村卯月,そうですよ……あんなにキラキラした毎日、私……私っ……ぐすん
渋谷凛,……
モバＰ,おまえたち、こんな俺の為に泣いてくれるのか。くそぅ、目から汗が出やがるぜ……ぐすん
未央,当たり前でしょ、あんなに楽しい時を一緒に作って、過ごしてくれた……ぐすん
卯月,うん、モバ……プロデューサー！さんが、もう私達とは一緒に……ぐすん
モバＰ,っ！そう……もう、そうだな……ぐすん
北条加蓮,……
未央,ぐすん
卯月,ぐすん
モバＰ,ぐすん
神谷奈緒,……
未央,ぐす……へっぶし！
卯月,……ﾌﾌ
モバＰ,ﾝﾌ
先輩Ｐ,もういいか？あれな、未央と卯月な、演技のレッスンしこたまやってもらうから
未央,ちょっ！？
卯月,あぅ……
城ヶ崎美嘉,あはっ★未央と卯月頑張れ～。それから、改めてプロデューサー就任おめでとっ！
モバＰ,おう！ありがとう！やっと研修と称したパイセンからのパワハラから……
先輩Ｐ,パイセン？パワハラ？
モバＰ,……ッス。先輩からのありがたい指導で無事研修を終えることができました
美嘉,でも、寂しいなぁ～。もう一緒に仕事に行くことも滅多になくなるだろうし。ね、凛？
凛,っ！別に。そうでもないかな
未央,おっと、美嘉ねーそこつっついちゃう？……チラ
加蓮,……事務所で会えるし
卯月,奈緒ちゃん奈緒ちゃん。凛ちゃんと加蓮ちゃんなんか……あれ、奈緒ちゃんも？ん？
奈緒,ち、近い。いや、まあ、そのなんだ……
モバＰ,なんだよ～トライアドの三人は俺のことどうでもいいのかぁ。……あれ？結構ダメージあるなこれ
美嘉,……言っとくけど、アタシはプロデューサーのこと大好きだからね！
未央,ほほぅ……私なんて愛してるからね！
卯月,あ！私も私も！
モバＰ,お前達……ちょっと本気で泣ける。ありがとう……あ、卯月ちょっとダブルピースしてみて
卯月,はい！えへっ
モバＰ,かわいすぎんだろ、これ
美嘉,ちょっと！アタシ割と勇気だしたのにっ切り替え早いよ！
未央,ふっふっふ……美嘉ねー、得てしてそういうものなんだよ。プロデューサーというものは
モバＰ,未央……アホっぽいぞ
未央,なにおう！？
凛,……もぅ。拗ねてるのが馬鹿みたい。ごめんね、新しい子に取られちゃう気がして……あのねプロデューサー就任おめでとう。たった三ヶ月だったけど一緒に居れて楽しかった。うぅ……楽しかった
