モバP,何故、ちひろさんは世間一般から鬼悪魔だとか金の亡者とか言われてるのだろう…あんなに美しく慈悲深いのに…
P,考察1.お金を使いたい、浪費癖のようなものがある。多分違う。普段ずっと見てるから言えるけど、身だしなみは最低限に抑えてるし食事も俺と同じ物が多い。考察2.借金。これも違うと思う。この前オフの日に遊びに行った時、オートロックの掛かるマンションに住んでいた。質素な感じだが貧しいという感じではない。あと澤乃井大吟醸美味しかった。考察3.別の理由。多分これ。ちひろさんの部屋にあった写真にちひろさんそっくりの女の子が写ってた。多分妹で不治の病に掛かってるからお金が必要。これだと思う。よく手術の為に募金を～ってあるけど、だいたい3憶くらい必要だった気がする。なんとかちひろさんを助けてあげたいけど3憶は難しい…どうすれば…
千川ちひろ,あれ、まだいたんですか？早く帰らないとお体に障りますよ
P,……
ちひろ,どうしたんですか？黙って
P,俺にちひろさんの手伝いをさせてください！
ちひろ,？？
P,妹さんの手術費用、あといくら必要なんですか！？
ちひろ,？妹は元気ですが…
P,え？手術の為にお金集めてたんじゃ？
ちひろ,お金って…あぁドリンクや封筒ですね。業務ですので全て私の所へ来るわけではないですよ。インセンティブは多少ありますけど…。あとお金無かったら老後が心配ですし…
P,あ、そうだったんですね
ちひろ,急に驚きましたよ、変な事言うんで
P,いや、ちひろさんが心配だったので…
ちひろ,そう思って下さってありがとうございます
P,俺に何かできる事があったら何でも言ってください！
ちひろ,あ、そうですか。じゃあちょっとこっちへ来てください
P,はい痛
ちひろ,白髪1本抜かせてもらいました。これからも私たちの事、よろしくお願いしますね
P,はいちひろ様
