店員,かしこまりました。上ハラミ、牛タン塩、ライスをそれぞれ一人前ですね。
べジータ,さっさとしやがれ
ブルマ,べジータ‥‥‥‥あなた今ライスを頼んだわね‥‥‥‥？ちょっといい加減にして欲しいわ
べジータ,なんだと？それがどうかしたのか？
悟飯,？！
クリリン,おいおいべジータ‥‥‥‥冗談はよしてくれよ
ピッコヨ,信じられん‥‥‥もしかしてコイツはよりにもよって肉と飯を同時に食おうという腹なのか？
天津飯,べジータ、なんて浅ましい奴だ。俺はこんな奴に殺されたのか
ヤムチャ,きえろぶっとばされんうちにな
べジータ,？？？
ヤムチャ,ブルマ、こいつは地球に来たばかりなんだからこっちの常識を知らないんだ。惑星べジータだかなんだか知らないがべジータの故郷は酷く野蛮な所に違いないぜ。
亀仙人,べジータよ、哀れな奴じゃ
べジータ,何を行ってやがる、焼き肉には白飯が付き物だろう。昔っから俺は焼き肉と言えばライスと肉。それだけだ。
悟空,‥‥‥‥‥‥
べジータ,カカロット。貴様には分からんだろうな。白飯と肉を一緒に食ったときの旨さを。タレの染み込んだ肉をこうやって飯の上に乗せてだな‥‥‥‥
悟飯,？！
ピッコロ,見るな！悟飯！
悟飯,うわぁあ～～！！怖いよ～～ピッコロさ～～ん！！(泣)
べジータ,はーっはっはっはっは！！！こいつは旨いぞ！！はっはっは！！。地球人は可哀想な奴等だ！！カカロット！貴様は知らんだろうが俺もナッパも俺の親父べジータ王もサイヤ人は皆この食い方だ！誇り高いサイヤ人にしかこの旨さは理解出来ないんだろうなーっ！！
悟空,だから滅びた‥‥‥‥
べジータ,！？
悟空,界王拳～～～～！！
べジータ,！？ぐふぅ！！
悟飯,う、うわああ～～～ん！(泣)
ミスターサタン,やれやれ、焼肉の美味しい食べ方も知らない無知なイナカ者がまだいたとはね
デンデ,恥を知れ恥を
人造人間18号,はぁ、やれやれもう帰ろう、クリリン。
クリリン,そうだね。
ビーデル,なんで私たちこんなことになっちゃったのかしら‥‥‥‥
べジータ,く、くそったれ～～～！俺はもう焼き肉なんか食わん。
ゴクウ,おいピッコロ…おめぇ何食ってんだよ。てめーは水しか飲まねーはずだろうが
