以下女魔王,うちの領地まで噂が広まってるからみに来てみたけど……
女勇者,ちょっとお尋ねしたい事がありまして
女魔王,勇者って面構えじゃないわね。あんな剣振れるのかしら。はい。私に分かることであれば。え゛……
女勇者,あー
女魔王,くっ……。何この子…もしかして気づいてるの……？
女勇者,すみません、お怪我はありませんか？
女魔王,え、ええ…。ところで聞きたいことっていうのは？。えっ…ずっと変装して来たのだけど……。流石にそこらの人間に見破れるはずは…そもそも私の顔をしっている人間がどれだけいることか……。気付かれている、と考えておいた方が良さげかしらねて
女勇者,……
女魔王,冗談！冗談よ！
女勇者,質問の答えはこの場で切り捨てる、です
女魔王,あはは…冗談だからその剣をしまってほしいのですが……。なにを…──っ！。なっ…何よコイツ！。善良な一般市民は逃げさせて貰うわ！
女勇者,でもアレ、あなたを追いかけてるみたいですよ？
魔王絶対殺すマン,ｺｫｫ………
女魔王,何でよ！
女勇者,あなたが魔王だからじゃないですか？
魔王絶対殺すマン,ｺｧｱｱ!!
女魔王,いだっ…角折られた！
魔王絶対殺すマン,ｺｫｫ………
女勇者,そのつもりは無さそうですね
女魔王,結局殺すならどうでもいいじゃない！
女勇者,あなたがどうでもよくないように、彼にとってもどうでもいいことじゃないんですよ。多分
女魔王,なんでよ！あぶなっ……。あら、気が利くわね。お願いするわ
女勇者,いきますよ。せやぁぁああっ！！。あ、外した
女魔王,何やってるの！…って、え？地面が……
女勇者,あー…まぁ酸素なくなればそのうち死ねるんじゃないですか？
女魔王,それ苦しくないの？
女勇者,多分苦しいと思います
女魔王,ダメじゃない！くっ……死にたくなかったら離れるんじゃないわよ！
女勇者,これは？
女魔王,ここら一帯に結界を張ったわ。地球がどうなろうとここにいれば安全よ
女勇者,ちゃっかり魔王絶対殺すマンの所から向こうは結界の範囲外にしてありますね…
女魔王,あなた…これからどうするつもり？救うべき世界ももう存在しない訳だけど。ぁ……
女勇者,ま、あなたも期待はずれでしたけど
女魔王,あぁ…やっと終われる……。普通の村娘に生まれたかったなぁ……。せめて…来世は……
