へへっ、これでネタばらしされた時に、,ふふーん、あんたの仕業だってお見通しだよっ
……こいつ、なにが,人間の裸を見たところで、なにも感じない
あたしの大声で目を覚ましたのか、隣の部屋から壁越しに,うるせえぞ！
・当初の名前は,メルちゃん♪
そしてもっと重要な第二の問題は、この書き込みをした者が、あたしの二つ名である,キラッ
ゲー研での部活,といってもキラッについて話してただけだが
俺は首を傾げたが、黒猫は,後で解る
俺は書き込みフォームにカーソルを合わせると、黒猫から指示された通り、ひねりも無く,記念真紀子
昨日の黒猫の指示は、,キラッの書き込みの直後に書け
だけどキラッに関する話で、,秘密がある
その言葉に反応するように、キーボードを叩く音が止み、画面内には,PAUSE
そう桐乃が言い終わる前に、,ひぃっ！？
黒猫は、引っ込んでなさい、とばかりに、,ふん
冷静になって考えてみると、これは,ああ、なるほど
そう言いかけたところで、,兄貴！
そして最後の一字、,乃
四六時中ツンツンして、俺を,クソ兄貴
そう言ってそそくさと部屋を出る桐乃を、俺は,ちょっと待て
俺には、ドラゴンボールの神龍に,願い事の回数を増やしてくれ
猫なで声の,お兄ちゃ～ん
