二宮飛鳥,ときに、文香さん
文香,･･････
飛鳥,読書中に船をこぐなんて珍しい昨日は遅かったのかい？
文香,はい、実は昨晩一睡も･･･ふわぁ
飛鳥,一睡も、って･･･どこか悪いんじゃないのか
文香,いえ･･･そんなことは
飛鳥,熱はどうかな
文香,あっ
飛鳥,･･･文香さん
文香,はい
飛鳥,本当に昨晩だけなんだね？
文香,･･･はい
飛鳥,未だ嘗て見たことないレベルで充血しているんだが
文香,そんなに、酷いのですか･･･？
飛鳥,まとまったオフが取れたから、と事務所のディスプレイに連日連夜囓りついてゲームしてた紗南もここまでじゃあなかったね
文香,あーるてぃーえー･･･と、言ったでしょうか
飛鳥,ボクも詳しいワケじゃないが、5.6時間プレイしっぱなしって事もあるらしい
文香,しかしあの後、仁奈ちゃんと一悶着あったように記憶しているのですが･･･
飛鳥,･･･選りにも選って、極めて視界の取れない虚無僧の気持ちになっていた仁奈が電源コードを蹴飛ばしてね
文香,なるほど･･･だからあのような、絶望的な顔をされていたのですね･･･
飛鳥,･･･話を戻そうか何か心当たりは無いのかい？
文香,いえ、見当もつきません･･･
飛鳥,ふむ
文香,ただ、昨夜川島さんからこの本を受け取って、帰宅して読み始めてから･･･
飛鳥,どう考えてもソレだよ
文香,ようやく先ほど三割がた読み終えたのですが･･･母国語でないとはいえ、こうも苦戦するとは思わず･･･
飛鳥,･･･川島さんに訳してもらったと、ボクはそう記憶しているが
文香,はい･･･フランス語の原著を英訳していただきました
飛鳥,さっきまでソコにいた似非パリジェンヌに見つからなくて幸いだったね･･･
文香,フレデリカさん、血が入っているだけの方ですからね･･･あ
飛鳥,文香さん･･･涙するまでに彼女を憐れんで･･･？
文香,い、いえ違うんです･･･急に涙が
飛鳥,なんて、冗談だよ恐らく眼精疲労だろう。そちらは後で清良さんにでも診てもらうとして
文香,･･･何を、するのですか
飛鳥,自覚しているかどうかは分からないが･･･貴女は寝不足で事務所に来ることはあっても、人の話を遮ってまで書に耽るようなコトは決して無かった･･･違うかな
文香,･･･そんな事はありません飛鳥さん、それをこちらに
飛鳥,冷静さを欠いたね･･･そうして食い下がることが何よりの証左だと気付かないのかい？
文香,･･･！それは･･･っ
飛鳥,今日の貴女は異常だよ、だからボクは文香さんからコレを遠ざけたいと思う･･･異論はないね？
文香,･･･ふぅ。そう、ですね･･･すみません、どうかしていたようです
飛鳥,なに、捻くれているボクでも仲間の身を案じるコトくらいできるさ。それに推測に過ぎないが、この本への執着と眼の元凶は十中八九コレだ･･･であれば、然るべき専門家に協力を仰ぐのが道理だろう？
文香,と、言いますと･･･？
飛鳥,日本土着の神仏なら歌鈴さんなんだが･･･この問題は海を越えているからね
文香,つまり、ここにヘレンさんを
飛鳥,･･･惚ける余裕が出てきたのは喜ぶべきかな。着信音？何故部屋の---。にゃあああっ！？
白坂小梅,ふふ･･･び、びっくりした･･･？
飛鳥,ン゛ン゛ッ･･･いるならいると言ってくれないか、小梅
小梅,今度はナナちゃんみたい･･･えへへ
飛鳥,おっと、今日何人目かの聞く耳持たないタイプだね？
小梅,ご、ごめんなさい･･･飛鳥くん
安部菜々,へっぶしょい！！
高垣楓,あら菜々ちゃん、風邪ですか？
菜々,い、いえ･･･。折角お二人とオフを合わせた温泉旅行なんですから、体調管理は万全ですよ！
川島瑞樹,じゃあ、朝から温泉入って湯冷めしちゃったのかしら
菜々,まっさか～そんな子供みたいに！ナナたちもういい年じゃないですか
瑞樹,･･･菜々ちゃん？私たちだからいいけど、事務所では気をつけてね
菜々,はっ、はいぃ･･･
楓,お二人とオフを合わせてお風呂･･･菜々ちゃん、中々やりますね
菜々,あ゛っさっきのは違うんです事故というか何というか･･･
