将来が心配で夜も眠れません,嘘
普段はそれなりに整っていると,目以外は
昨晩の礼もついでだから言っておこうと問い掛けるが、当の本人は頭に,？
朝ならではの,おはよう
女子と会話する際の3種の神器、,なるほど
社会の恐ろしさ,妄想
そして、毎日毎日をコアラばりにボーッと過している俺ももはやコアラなのだ。,錯乱
関係ないけど、なんでも,ジョークだよ。ジョーク
一色は俺たちの応援,主に由比ヶ浜の
ホント可愛くない。可愛いのに、可愛くない。,哲学
自由に見えて、自由じゃない。決定権という手綱を握らせることで、,答えを出せ
わからない、理解できないものに対して、,知りたい
家でやる、という案事態は,出掛けなくて済むから
ちなみに俺は,ちょっと男子ー意見出しなさいよー
今でこそ早起きを奨励するような意味合いで使われるが、元々は,早起きしても3文しか徳がありませんよ
はっ！こ、これがまさか,寝てて気づかなかったよ
夕方17時くらいに送ったメールに対しての返信が、翌日の朝届いた,ごめーん寝てた
返信をタップし、文字を打ち込んでいく。文字打ちという作業に慣れていないので少々まごつくが、まずは,了解
漠然と何か、という想いだけできてしまったが、曇りなき眼で見定め、決める。,アシタカ
適当に歩いていて見つけたスイーツショップで,当モール限定！
結果的に依頼自体が取り下げになったが、一度は断ったのも事実だ。それよりも気になるのは、なぜ,依頼を断った
イニシャルを得ていることはヒントではあるが、,これ以上は話さない
ん？同性の友人に“好き、だから,戸塚ボイス
しかし由比ヶ浜の陰で,計画通り！
まあ、うん、いいんじゃない？,適当
