彡(―)(―),ふぁ～あ...
(´・ω・`),おはようお兄ちゃん
彡(ﾟ)(ﾟ),おはよう原ちゃん、起きるの早いな
(´・ω・`),お兄ちゃんが起きるのが遅いんでしょ、だって今9時だよ
彡(ﾟ)(ﾟ),ﾌｧｯ!?もうそんな時間なんか！？
(´・ω・`),早く朝ごはん食べなよ
彡(ﾟ)(ﾟ),ん、先トイレ行ってくるわ。戻ったでー
(´・ω・`),ねえ、これ見てよ
彡(ﾟ)(ﾟ),新聞か？ワイは普段あんま読まへんけどな。なになに...アフリカで新種のウイルス発見、感染者は高熱がでてひどい場合死に至る...。でもアフリカやろ？ワイらには関係ないやん
(´・ω・`),そうでもないよ、もしかしたら感染が広がって日本に来るかも
彡(ﾟ)(ﾟ),でも遠いんやしまだ大丈夫やろ！
(´・ω・`),まあ知っておいたほうがいいと思うよ
(o'ω'n),ただいまだおん！
彡(ﾟ)(ﾟ),おんちゃん！どこ行ってたんや！？
(o'ω'n),自分探しの旅だおん！
(´・ω・`),旅って、どこに？
(o'ω'n),アフリカだおん！
彡(ﾟ)(ﾟ)(´・ω・`),！？
彡(ﾟ)(ﾟ),アフリカって、今新型ウイルスが見つかったところやん！大丈夫なんか？
(o'ω'n),なんの話だおん？全然なんともないおん！
(´・ω・`),まあ、一応検査はしとこう。うーん...
彡(ﾟ)(ﾟ),どやったん？
(´・ω・`),異常はなかったよ...健康そのもの
彡(ﾟ)(ﾟ),じゃあおんちゃんは安全なんやな！
(o'ω'n),もう帰っていいおん？
(´・ω・`),いいけど...なんか引っかかるんだ...
彡(ﾟ)(ﾟ),なにがや？
(´・ω・`),なんか...健康すぎるというか...嫌な予感？変な感じがするんだ...
彡(ﾟ)(ﾟ),でもウイルスは出なかったんやろ？
(´・ω・`),そうなんだけど...なんていうかな...うーん...
彡(ﾟ)(ﾟ),ちょっとうんこしたなってきたな...トイレ行ってくるわ
(´・ω・`),あ、そう？ちょうど僕も行こうと思ってたんだ、はやくしてね
彡(ﾟ)(ﾟ),ありがとな、行ってくるわ。あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！
(´・ω・`),出た？僕いくよー
彡(ﾟ)(ﾟ),あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！
(´・ω・`),まだ出るの？はやくしてー
彡(ﾟ)(ﾟ),あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！
(´・ω・`),えっ、まだ！？
彡(ﾟ)(ﾟ),な、なんか変や！うんこが止まらん！。しばらく動けん！野グソしてくれ！
(´・ω・`),しょうがないな...。あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！。あああああああああああああああああああああああああああああああ！！！！！！！！！！！ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！。本当だ、止まらない...なんで...！？。！？。通行人が漏らして倒れた！？...大丈夫ですか！？。ひどい熱だ...まさか！？。とにかく検査しないと！
彡(ﾟ)(ﾟ),あー、トイレ詰まってもうたわ...原ちゃん、だれやそれ？
(´・ω・`),この人が急に脱糞して倒れたんだ！検査するよ！。これは...未知のウイルス！？でも新聞で見たやつと若干違う...
彡(ﾟ)(ﾟ),どういうことや！？新型ウイルスはアフリカちゃうんか？...てなんかクラクラしてきたで...
(´・ω・`),！もしかして！。やっぱり！お兄ちゃんからも同じウイルスが出た！ということは僕も...
