羽沢つぐみ,……おーい、おーい……
つぐみ,朝ですよー、起きてくださーい……。……起きない。困ったなぁ……気持ちよさそうに寝てるし、このまま眠らせてあげたいんだけど……うーん……。あんまり強く揺さぶったりしたら痛いかもしれないし……。あ、そうだ。モカちゃんが居眠りしてる巴ちゃんを起こす時、耳に息を吹きかけてたっけ。あれなら痛くないだろうし、巴ちゃんもすぐに目が覚めてたから……ちょっとやってみようかな。ちょっとお耳、失礼しますね……ふー。あ、身悶えてる……効果あるみたいだね。もうちょっとで起きるかな……。ふー、ふー……。…………。起きそうで起きない……。どうしよう……。……モカちゃん、巴ちゃんがそれで起きないなら耳たぶを甘噛みするつもりだったって言ってたっけ……。耳たぶを甘噛み……。そ、それはやっぱり恥ずかしいな……。でもそれでちゃんと起こせるなら……恥ずかしいけど……。あ、あー……。わっ！？あ、えーっと、おはようございます。起きてた……？。あ、今起きたところなんだね、うん。良かった。私の顔が近い？あ、これはちょっとね、あなたを起こそうとしてて……。その、耳に息を吹きかけるとすぐに起きるって友達が言ってたからちょっと試してみたんだ。よかった……甘噛みしようとしてたのは分かってないみたい……。うん？今は朝の7時だよ。朝早くに起こしちゃってごめんね？。今日はちょっと気合入れて掃除をしなくちゃって日だったから……早めに起きてくれると、お布団も干せて助かるなって思って……。あ、でもまだ寝てたいなら全然気にしないで――え、起きてくれるの？。ちょうど早く起きようと思ってたから助かるって？……そう言ってくれると……嬉しいな。そしたら顔洗ってきなよ。私はその間にお布団干して、朝食の仕上げしちゃうね。あの日見た黄昏の空ー照らすー光は燃えるすかーれーっと♪。あ、顔は洗い終わった？もうすぐご飯できるから、テーブルでもうちょっと待っててね。ふんふんふーん♪。……んー？どうしたのー？。……エプロン付けた後ろ姿が可愛い？。あはは、可愛いって言ってくれるのは嬉しいよ。今すごく幸せだって？うん、私も幸せ。……はい、それじゃあお待たせ。今日のご飯は……白いご飯にお味噌汁、卵焼き、鮭の塩焼き、納豆、ベーコンエッグ、ホウレン草のおひたし……。……うん、ごめんね。あなたの言いたいことは分かってる。喜んで食べてくれるかな、美味しいって言ってくれるかな……って考えてたら……つい張り切って作り過ぎちゃって……えへへ……。あ、でも、無理して全部食べなくていいからね？私が勝手に盛り上がって作り過ぎちゃっただけだから。……え？全部食べ切るって？。作り過ぎちゃった私が言うのもなんだけど、本当に無理はしないでね……？。……昨日の夜からお腹が減ってたから平気？2食分でも3食分でも食べきるから任せろ？。う、うん、それじゃあ、どうぞ召し上がれ。すごい……本当に全部食べちゃった……。……すごく苦しそうだけど……無理させちゃってごめんね……？。え……美味しすぎて食べ過ぎただけだから気にしないでって？。……そう言ってくれるのは嬉しいんだけど……。あ、でも苦しいからってすぐ横になるのはダメだよ、体に悪いんだから。……いや、でもそんなこと言ったら一番悪いのは私だよね……。こんなんじゃ……お嫁さん失格……だよね。……そんなことはない？幸せだから平気？。…………。……ありがとう。あなたは本当にいつも優しいね。あなたの優しさにいつまでも甘えないように、私、頑張るねっ！。ふぅ……これでお布団も洗濯物も干したし、掃除機もかけたし……お掃除は一段落かな。色々手伝ってくれてありがと。……これくらいお安い御用？もっと頼ってくれって？。…………。それじゃあ……お買い物、付き合って貰ってもいい？。うん、お夕飯の材料とか、そういうのの……荷物持ち……かな。……だめ？。……どこまででもお供するしなんでも持つ？あはは、ありがと。それじゃあ、一緒にお買い物、行こっか。……ふぅ、これでお買い物は終わりだね。え？思ったよりも荷物が少ない？。うん、今日はあんまり買い足さなきゃいけないものもなかったから……。……もっと力になりたい？。うーん、それじゃあ……えいっ。……えへへ、左手に買い物袋、空いた右手は私……で、どうかな？。幸せで涙が出そう？ふふ、私もかも。……せっかくだし、ちょっと公園の方までこのまま散歩しよっか？。えへへ、ありがと。それじゃあ一緒にお散歩だね♪。うーん、ここの公園も昔から変わらないな～。うん、昔からよく、アフターグロウのみんなで遊んだりしてたんだよ。何にもない小さな公園だけどね……私たちの大事な思い出があるところなんだ。……せっかくのいいお天気だし、ちょっとベンチで日向ぼっこでもしてこっか。……ふぅ。…………。なんていうか……平和なお休みだね。こうやって暮らすようになってからずっとバタバタしてたもんね。うん……引っ越したりなんだりで、色々忙しかったね。だからこうやって、あなたと２人でのんびりしてられると……やっと実感が湧いてくるなぁ。あなたは……幸せ？。……うん。私も幸せだよ。えへへ。あ、そうだ。朝早く起こしちゃったし、お掃除に荷物まで持ってもらっちゃって……疲れてない？。そんなに疲れてない？うん、そっか……。え？あ、ううん、なんでもないよ。ただ、疲れてるなら……私が膝枕してあげよっかなって……。ええ？急激に疲れが押し寄せてきた？今すぐ横にならないと死ぬかもしれない？。くすくす……そっか、あなたに死なれたら私も困るなぁ……。じゃあ私の膝、使う？。うん……はい。どうぞ。……ふふ。今まで何度もこうしたけど……あなたの頭の重みって本当に癖になりそうだね。きっとこれが幸せの重みなんだなぁー……って思うな。ん、なぁに？頭を撫でてくれないと再起不能になるかもしれないレベルで疲れてるの？。ふふ、しょうがないなぁ。甘えん坊さんなあなたも……私は大好きだよ。んーよし。これであとは焼き上がるのを待つだけだね……クッキー。お昼はちゃんと分量考えて作ったし、おやつはクッキーくらいがちょうどいいよね。あの人はお風呂掃除してるし……ちょうど終わるくらいに焼き上がるかな。あ……そういえばテレビつけっぱなしだった。電気代がもったいないから消さないと……。…………。ワイドショーで浮気の実態みたいな特集やってる……。昔は少しも興味なかったけど……あの人は……そんなことしないよね？。……スマホのチェック……良妻の仕事……。…………。テーブルの上にはあの人のスマホが無造作に置かれてる。きっとやましいことがないからああして置いてあるんだろうから、私はそれを信じなきゃ……信じなきゃ……。……か、確認するだけ……ちょっと見るだけだから……。あの人はロックもかけてないから……何もないって信用できるんだけど……。でも万が一があったら……早いうちなら軽傷で済むから……。ごめんなさい……ちょっとトークアプリの履歴……見させてください……。え。…………。……3日に1回のペースでそんなメッセージが届いてる。…………。これ……冗談だよね……？。ひゃぅ！？。あ、お、お風呂掃除終わったの？。あ、えっと、これは……その……ごめんなさい！。あなたのことを信じてない訳じゃないけど、テレビでそんな特集やってて……少し不安になっちゃって……。……え！？沈められる！？だ、誰に！？。ひまりちゃんに！？え、このメッセージって冗談じゃ……。……1回本気で巴ちゃんに吊るされかけたの？。えぇ……私初耳だよそれ……。だ、大丈夫だよ。私の方こそ……こんなくだらないテレビに流されて……あなたのことを疑ってごめんなさい。うん……ありがとう。あ、お互いさまって言ったら変だけど……私のスマホも……見る？。……え？待ち受け……あっ！。……違うの、これは違うの。ほら、1週間前に……ね？あなたの寝顔がすごく可愛かったから……つい出来心で……撮影しちゃっただけなんです。待ち受けにしてるのは……思ったよりベストショットになったから……いいかなって……。も、もう！そんなに笑わないでよぉー！。っ……そんな、急に愛してるって言われたって……私だってあなたのこと……愛してるもん。…………。あ、そ、そうだ、クッキー焼いてたんだ！ほら、あなたの大好きなキャロットクッキー、もうすぐ出来るから一緒に食べよ？。ふぅ……お風呂あがったよ～。綺麗にしてくれてありがとね。おかげで気持ちよく入れたよ。んー？どうしたの――ひゃ！？。ちょ、ちょっといきなり……ひゃんっ。……え？いつも……お疲れ様？。私が疲れてると思って……マッサージ？。そ、それは嬉しいけど……私は言葉だけでも十分嬉し――きゃっ。あ、ぅぅん……あぁ……。んっ、え？肩……けっこう凝ってる？。そ、そうかな……私はそんなに疲れてる気がしないけど……んんっ！。か、体は正直だなって……こういう時にいうセリフじゃ……あぅっ。うう……ひゃ、やぁ……！。……うぅ、汚された……。人聞きが悪いこと言うなって……もう、いきなり無理やり揉みしだかれたって……蘭ちゃんに言うよ？。えっ、ど、土下座して命乞いするほどのことなの！？。私関係で下手な冗談を言うと死を覚悟する目で睨め付けられるって……それも初耳なんだけど……私……。もう……みんな大げさなんだから。それだけみんなから愛されてるって？。……うん。そうだと嬉しいな。小さな頃からずっと一緒の幼馴染だもん。みんな、私の大切で大好きな仲間だよ。え、あなたは……そうだなぁ、どれくらいだろう？。たまに意地悪するし、えっちだし、あんまり高い評価じゃないかなぁ。……なんて、冗談だよ。あなたもみんなも、比べることなんて出来ない大切な人だよ。……うん。これからもずっと、よろしくねっ。もう寝る時間だね。久しぶりにゆっくり出来たお休みだったけど、気付けばあっという間だったね。明日はいつも通りの時間に起こせばへーき？。……うん、分かった。それじゃあ今日も1日、お疲れさまでした。……うん、あなたも私も……ね？。…………。……ふふ。ああ、ごめんなさい。こうやって一緒に寝るの、すっかり慣れたなぁって思って。最初の頃は全然眠れなかったよね、お互い。今じゃ安心してすぐに寝付けるようになったけどね。……どうしたの？……なんだか寝付けない？。うーんそっかぁ……。それじゃあ――。ねーんねんころーりーよーおころーりーよー。……うん？子守歌だよ？。そんな子供じゃない？えー、でも公園で膝枕されてた時は、頭も撫でてくれないと死ぬ―って言ってよね？。はーい、それじゃあ頭も撫でながら歌ってあげよっか。ねーんねんころーりーよーおころーりーよー。ぼーやはーよいーこーだーねんねーしーなー。……どう？寝れそ？。予想外に心地よくてすぐ眠れそう？。そっか。それならよかった。うん。それじゃあおやすみなさい。お互い、いい夢を見ようね。……あなた
モカ,っていうお嫁さんになったつぐがお世話してくれるディスクをＣＤのオマケに付けたいな～ってモカちゃんは思います
蘭,賛成
巴,賛成
ひまり,賛成
モカ,賛成多数によりこの議案を可決しま～す
蘭,胸が熱くなるね
巴,ああ……久々に燃えてきたぜ！
ひまり,最っ高のモノを作ろうね！
巴,よし、そうしたらまずどこで収録するかだな！
