高嶋友奈,昔、友達にひどいことを言ってしまった
友奈,謝らなければ、と思った。だけど……私には勇気がなかった。謝れないまま時間だけが過ぎていき、結局私は転校することになって、その友達とはそれっきりになってしまった。とても、後悔している。もう二度と、あの子に謝ることはできなくなってしまったから。それ以来、私は他人を傷つけないように、同じ間違いを犯さないように、細心の注意を払いながら生活している。辛くても苦しくても、どんな時でも……笑顔を浮かべて。明るい人だ、気配りができる人だ、ムードメーカーだ、なんて言われるけど、本当の私はただただ他人に怯えているだけの弱い人間でしかない。本当は、とても嫌になることもあるけど、それでもやっぱり他人を傷つけるほうが嫌だったから、私は皆の思い描く高嶋友奈を演じ続けるしかなかった。そんな日々にも慣れてきたある日のこと。迷い猫を追いかけて、路地裏？と言われるような場所に迷い込んだら、そこには私と同い年くらいの女の子が動くことなく座っていた。一瞬だけ嫌な想像をしてしまったけど、やっぱりそんなことはなくて、女の子はただ単に地べたに座っているだけのようだった。ひどい顔をしている……。それが正直な女の子の第一印象。でも、そんな顔は鏡でいつも見ていたから、直感的に私と同じなのだと思った。──放っておけば潰れてしまう。それが分かっていたから……あの時の自分を見ているように思えたから、私は声をかけていた。少しだけ勇気が必要だった。大丈夫？
少女,……
友奈,女の子は何も言わず私を見て、何故だか怯えているように見えて、最後に目を細めた。だから、私は怖くなんてないんだよ、といつもの笑顔を被せてみる。……ちょっとだけその子の気持ちが分かってしまっていたから、笑顔は少しだけ失敗していたのかもしれない。それは、もう謝ることのできない友達へのしょくざいだったのだと思う。私の口は自動的にこう告げていた。もし行くところがないんだったら、良ければなんだけど……うちに来る？
少女,……。……良い、の……？
友奈,私は笑顔で頷き──今度は上手くいったと思う……ううん、違う、本心からの笑顔だったから成功も失敗もないんだ。私が許されることは決してないけど、この時、ほんの少しだけだけど、誰かから許してもらったような気がした。だから、自然に笑えていたんだと思う。私は女の子の凍えるように冷たい手を握った。女の子もそれに僅かに応えてくれて、お互いの手はほんの少しだけあたたかくなった。これが、郡千景ちゃん──ぐんちゃんとの出会い。……あれ……？。気が付くと、私は知らない場所に居て、多分大きな森の中に居るのかな？足元に大きな木の根が伸びているのが見えた。でも、この根……いくらなんでも大きすぎるし、それに色がとっても鮮やかで……きれい……。思わず感激してしまう。見渡してみると、周りには同じように大きな植物がいっぱいあって、どれもカラフルって言葉がぴったしな色ばっかり。……あれ？でも、この光景ってどこかで……？。……！。まさか、この場所って！？。思い当たり私は首を必死に動かして、周りをよく観察してみる。──やっぱりだ！。ここって……結城ちゃんは勇者であるの樹海、だよね……？。私が今見ている光景は、ぐんちゃんと一緒にハラハラしながら見ていたアニメ結城ちゃんは勇者であるに出てきた樹海と呼ばれる場所にそっくりだった。ええと、私、夢でも見ているのかな……？。熱中して見ていたアニメだったからその影響で見た夢なのかも。でも、頬をつねると……痛い！やっぱり夢じゃない？でもでも、ぐんちゃんは夢でも痛みはあるって言っていたし……いや、だけど、うーん……。今の状況がよく分からなくて、私はちょっとだけ混乱し始める。だけど、そんなことをしている余裕なんて本当はなくて。何！？。交通事故でもあったような音だったよね、今の？でも、こんな大きな森の中で事故って……？。気付けば私は、音のした方向に無意識に歩いて、走っていて、音がどんどん大きく激しくなっていく。"そこ"にあったものたちが見えていたはずなのに、ううん、見えていたからがむしゃらに走った。必死に見えないふりをして。そして
女の子,こっから先は……通さないッ！！
友奈,目の前で小柄な女の子が──ばーてっくすと、戦っていた。痛そう、なんて言葉で言ってはいけないくらいにその子は傷ついていた。それなのに……身体中ボロボロで真っ赤な血がいたるところから溢れていて、多分私よりも小さな子のはずなのに……悲鳴も泣くさえもしないで、必死にばーてっくすへと大きな武器を振るっていた。その姿は勇気のない私が憧れた──勇者に、間違いない。だけど、その女の子が勇者なのだとしたら、アニメの中の誰かのはずで、だけどその子は見たことのない子で──。現実とは思えない光景に目を奪われていたのだと思う。自分が左手に何かを握りしめていたことに今更気付く。落としてしまったそれは、一冊の本。そう、ぐんちゃんと心待ちにしていた──。……鷲尾須美は、勇者である……！。その可愛らしくも儚げな表紙を見て、私はようやく思い出した。さっきこの本が届いて……一緒に入っていた手甲を私が触ってしまって、それで……それで！。本に目線を向けていた時間は少しだけだったはずなのに、目の前の光景は目まぐるしく変わっていた。ばーてっくすが……女の子を、攻撃して……た、倒れて！？。血が本当にひどい！地面に流れるくらい流れるなんて！こ、このままじゃ……！？。見ているだけの私が涙を流しそうなくらいひどい怪我なのに、女の子は、女の子は──！
女の子,帰るんだぁ！……守るんだーっ！！
友奈,あんな大怪我なのに、女の子は、立ち上がって……
女の子,化け物には分からないだろ、この力！
友奈,大きな武器を、必死、に……振り、回して……
女の子,これこそが、人間様の……！気合と！……根性と──ッ！
友奈,真剣な瞳と、心の底からの叫びが……女の子の凛々しい声と、重なって……
女の子,魂ってやつよォオォォォーッ！！
友奈,その姿があまりにも尊くて……私は、涙を流していた。……あぁ……。女の子の姿に心を震わせられていても、それでも、声が上手く出せない。何としてでも言葉にしないといけないのに、喉の奥に何かが引っかかってどうしても言葉にならない。多分、女の子には見えていないのだと思う。私にしか見えていないはずなんだ。女の子の真後ろ、心臓の位置に大きな鋭い針が迫っていて、それが今にも突き刺さろうとしている。一秒すらない時間の中で、やけにゆっくりと私の時間は過ぎていき、悲惨な未来の訪れを私はただ待つだけ。あんなに必死で、文字通り命懸けて戦っている子が居るのに……私はここで何をやっているのだろうか？。今が夢なのか現実なのか正直分からないし、右も左も何もかも分からないことばかり。それは認める。だけど、どんな状況であっても、誰かが傷つくのを見ているだけなんて……許せない。許せるはずがない。そんな自分を私は決して許せない！。何より。誰よりも必死なあの子を私は、絶対に！。──死なせたくないっ！！。やめろぉおぉぉぉーッ！！。身体は勝手に動いていた。自分でも信じられない速度で景色が流れていく。敵うはずはないと知っていたのに、それでも私はあいつらの前に飛び出して、右手を固く握り、思いっきり拳をぶつけていた。打撃音がやけに大きく響き、三体のバーテックスの視線のようなものが一斉にこちらを向いた。……良かった、あいつらの注意が私に向いてくれて。……うん、あの子は無事だ。それだけはホッとして、多分私はここで死んでしまうのだと思った。──それなのに
少女,……まさか……アタシたち、以外にも……勇者、が……！
友奈,私の身体に光がはしったかと思ったら、それは右腕の先から桜色に広がり、私の服の形は一瞬で変わっていた。動きやすい、装束のような、どこか神聖な服──ううん、衣に。気付くと右拳にはあの手甲がはめられていて、不思議なことに私が今どうなったのか、これからどうすれば良いのかが、全部分かった。そして、手甲はハッキリと教えてくれる。あの子も言ったように私が──。勇者になった。……の、だと。……すぅ……はぁ……。勇気のない私だから勇者は憧れだった。だから、本当に勇者になれたのだとしたらとても嬉しい。だけど、自分に相応しいのかと言われれば素直に頷けない。そんな気持ちは確かにあったけど、今この時だけは置いておく。目の前のばーてっくすは依然として存在しているのだから。ばーてっくすに私のさっきの攻撃は全く効いていなかった。一瞬だけ攻撃はやんでいたけど、また雨のような攻撃がやってくるだろう。──これもすぐに分かった、今の私の力じゃ全然足りていない。だから、自分の中のとても深いところから"それ"を呼び出す。すぐさま拳にまとわせた。その瞬間、私の身体が風のように軽くなり、世界がさらにゆっくりとなる。どんどん自分の身体だけが加速していき、スローモーションの限界点で私は"それ"を完全に捉えることができていた。"それ"の名前が頭の中に浮かび上がる。私は自分の想いをのせて叫んでいた。──お願い！力を貸して──！。一目連《いちもくれん》っ！！。疾風となった私はばーてっくすたちに拳を足を、何度も何度もぶつけていく。女の子の持つ武器のように簡単には傷をつけることができなかったけど、連打は徐々に会心の手ごたえを作っていく。幼い頃から学んでいた武術の技を、守るために、その全てをぶつけていた。やがて、ばーてっくすの身体の一部がとてつもなく脆くなる。見逃さず、私は渾身の力を振り絞って！。これでっ！どぉーだぁー！！。頭の中で鮮明に思い出す。今の私になら再現できるはずだ！。勇者ーっ！キィーック！！。アニメで見た結城ちゃんの鋭く綺麗な蹴り技は、ばーてっくすの身体の一部を貫いていた
女の子,……くっ……！アタシだって！……が、頑張らない、と、いけないのに……！
