隙らしい隙がないように思えるが、初見ではアクが強すぎるのが唯一の欠点。,佐藤
三船美優…26歳。165cm。だし汁。あれは駄目ですこれも駄目ですと制限を積極的に課していく日本の文化・教育によって誕生した悲劇の,元
心,どんな時も私らしくスウィーティー過ごしたいんだ～♪。おっつスウィーティー♪あ、おはよう。美優ちゃん
美優,おはようございます…心さん。ふふっ、今日も元気みたいですね。鼻歌が聞こえてきましたよ
心,おいおい。アイドルなんだから朝からでもテンションアゲアゲの気分上々でいくのは当然だろ☆美優ちゃんもノってこうぜ☆
美優,Yeah
心,欧米か
美優,すみません。気分を上げていくという感覚がわからないもので。現状、幸せではあるのですが…
心,ま、幸せならいいんじゃね。モチベーション高いっつーことだし☆
美優,そうですね…やる気には満ちてます♪
心,いいね、いいね～♪美優ちゃんその笑顔、最高っ☆
美優,ふふ、照れてしまいますね
心,あ、ところで美優ちゃんさ。そろそろ誕生日だろ？
美優,…誕生日…誰のですか？
心,いや、美優ちゃんの
美優,…。言われてみれば…そうですね
心,間ァ。自分の誕生日忘れてんなよ☆
美優,OLになってからは誕生日というものを強く意識することがなくなっていたので…特別な日という感覚が希薄なんですよ
心,寂しいなー…切ないなー…年に一度だぞ？バースデーだぞ？ケーキ用意して、みんな集まって、パーっと祝う最高の日だぞ？
美優,そうなんですか？
心,そうなんですか、じゃないよ…まったくもう。よし決めた☆美優ちゃんの誕生日は、はぁとが盛大にお祝いしてやっから覚悟しとけ☆
美優,…ありがとうございます♪ただ、それほど大ごとにしなくても結構ですよ。心さんに覚えてもらえていただけでもすでに嬉しいのですから
心,くぅ！健気！けど、そんなこと言われたらますます頑張りたくなっちゃうだろ☆つーか、美優ちゃんはこれやりたいこれ欲しいみたいなものはないの？
美優,やりたいこと…
心,好きなこと言ってみろよ☆昔みたいに何でもいいって流されるばっかじゃないんでしょ？
美優,…そうですね。先日、みくちゃんも誕生日はどんなワガママでも許される日なのと言ってましたし…思い切って私もやりたいことをさらけだしてみましょうか
心,そうだ、そうだ。ドーンとこい
美優,では、Pさんと結
心,待てィ！
美優,まだ皆まで言ってませんが…
心,ケッコまで言いかかってたよね？そりゃ、滅多にない美優ちゃんのワガママは受け入れてあげたいけどはぁとの器のサイズにもは限界があるわけよ。大きすぎる欲望の前には砕け散っちゃうの☆
美優,…大人はそうやってすぐ駄目っていいますね
心,あ、なんか子供みたいな不満が出てきたね。ずっと溜め込んでたやつか、これ？
美優,あれも駄目…これも駄目では…子供の自主性など育つはずがありません
心,よしよし、ごめんね。後でトイザらス連れて行ってやるから機嫌直せよ☆
美優,いいです…オモチャはAmazonで買いますから…
心,時代の移り変わりを感じさせるようなことを言うなァ
美優,大人になり、それなりの稼ぎがある今…シルバニアファミリーのコンプリートもクリック1つで楽勝なんですよ…ふふふ♪
心,駄目なやさぐれ方してるゥ。仕事終わったらとりあえず飲みに行こう！
美優,ちくしょう…私は子供の自主性を尊重する親になりますからね…
心,ほーら、レッスン行くぞー。頑張るぞ美優ちゃーん
美優,あ、まだ言いたいことが…あああ
心,うん。やっぱ仕事の後はげそ天だよな～☆
美優,美味しいですよね…♪
心,ほっ…やさぐれモードは過ぎたかな？。で、朝のお願い以外でやりたいこと思いついたの？
美優,ドーナツをバケット一杯に盛って、朝までダラダラと映画を見ながらつまみたいです
心,欧米か。つかそれ確実に太るやつだぞ
美優,そうですね…ぜひ一度やってみたいことではあるのですが…
心,まあ暴飲暴食が魅力的なのはわかるけどさ、アイドルなんだし別のものを考えような☆
美優,また駄目ですか…まったく心さんはワガママなんですから
心,理不尽ッ
美優,仕方ありません許してあげましょう…その代わり、げそ天もう一本頂きます
心,あ、うん。最近、美優ちゃんもマイペースになってきたよな
美優,自分のペースを保たなければ…他の子に呑まれてしまうんですよ…みんなキャラが濃すぎですまったくもう…
心,それはぁとも該当すんの？
美優,心さんは代表格ですよ…お友達なので呑まれはしませんけど
心,真正面からお友達って言われるのスゲー嬉しい。はい、ビール
美優,どうも…頂きます
心,いい飲みっぷりだなー
美優,ふぅ…飲まなきゃやってられませんよ…
心,何々？ストレス溜まってんの？
美優,そりゃ溜まりますよ…アイドルとしてデビューさせてもらったことは感謝してますけど…手は出されませんし…脈があるのかないのかわかりませんし…他の子ばかり構ってますし…
心,名前は出してないけど誰のことを言ってるのかすぐわかるわ…
美優,ええい…！いっそ誕生日に私をもらって欲しいですよ…！プレゼントはいらないのでプレゼントをもらってください…！
心,どうどう。ほら、湯葉食えよ。湯葉☆
美優,ひんっ…まったくこの前はわざと酔っておんぶしてもらって…私の部屋まで運ばせたのに…普通に介抱して終わりですよ…ウーロン茶飲ませて、頭に濡れタオル置いて…さよなら…？そこは野獣になってしかるべきじゃないですか…！
心,わざとやってたんだな
美優,あったりまえですよ…かなり勇気を出したのに…らのに…ウーロン茶て！にゃんでやねん！
心,おーい、みくちゃん混じってんぞー。美優ちゃん。お酒まわるの早すぎだっつの
美優,はぁ…心さん…誕生日は2人きりで祝いましょう…心さんと一緒に過ごすのが一番ですよぉ…
心,それでいいのかよ…
美優,…どうせ欲しいものは手に入りませんから
心,…
美優,あー…オートミールが食べたいです…
心,欧米か。つか脈絡がなさすぎんだろ
美優,店員さん。ピザくださーい…
心,欧米か。居酒屋にピザはないっつの
店員,ありますよ
心,あるんかーい☆
美優,センキュー…♪
心,だから欧米かァ！
店員,ユアウェルカム
心,ノってんじゃねえぞ、このヤロー☆
店員,ファンです。サインください
心,あ、うん。どっちの？
店員,はぁとさんので！美優さんのもください！
心,お前大好きだ、こんにゃろめ！シャツにも描いてやるよォ！
店員,あざーっす！
美優,ええと…ここにサインですね…
心,おいおい。大丈夫か？フラフラしてんぞ？
美優,余裕ですよ…ほら見てください…かつて部長に毛糸と呼ばれた字ですよ…
心,知らねーよ☆
店員,あの…ところで美優さん？どうしてイモトアヤコの似顔絵を描いているんですか？
美優,似顔絵…上手でしょう？得意なんです♪
心,フリーダムゥ
美優,ふふふ…♪イッテQのサインもしちゃいます…出演したことありませんけど♪
心,ごめんな。この子もうただの酔っ払いなんだわ
店員,これはこれで嬉しいっす！意味不明っすけど！
心,いい奴だなー…大学生か？
店員,うっす！
心,うんうん。また来るから美優ちゃんのサインは今度な。騒ぎになるから他の奴には黙ってろよ☆
店員,あざすっ！嬉しいっす！
心,ほら。行くよ、美優ちゃん
美優,んん…豚骨ラーメン食べに行きましょう…
心,はいはい。行くぞー☆。さて…誕生日どうすっかな…
仁奈,誕生日おめでとうごぜーます！美優おねーさん！
みく,おめでとうにゃあ！
楓,ふふっ、事務所の上階で誕生会…♪
瑞樹,おめでとう。ささやかだけれど祝わせてちょうだいね
心,感激で泣いていいぞ☆いいんだぞ？
早苗,はい。プレゼントは手錠でよかったかしら？
菜々,よくないですよッ！？何に使わせるつもりですかッ！？
早苗,そりゃナニよ
美優,皆さんありがとうございます…心が温かくなりますね…♪
瑞樹,あら。ところでプロデューサーくんは？
美優,あのあんちくしょうは仕事だそうです
瑞樹,言葉遣い
美優,メールでおめでとうだけって…今度会ったら関節を執拗にヘディングしてやります…！
心,ほーら、バースディなんだから荒れんな～☆
美優,荒れてません…
仁奈,美優おねーさん！お歌を用意したので聞いてくだせー！
みく,この純真さに涙が出て出てくるにゃ
菜々,みくちゃんはまだ若いんですから。涙が出る歳でもないでしょう
みく,え、ナナチャンは？
菜々,あ゛
仁奈,ハッピバースデートゥー美優おねーさーん♪
早苗,うーん。いい声♪お酒が進むわ～♪
楓,そうですね。私も演歌風に歌っちゃいましょうか♪
みく,もう出来上がってるのッ！？
早苗,楓ちゃん。やれやれー♪
楓,ハァァァァ…ッピィバァアスディ…トゥーユゥゥゥ…ヒャッハァァァァァァッ！
みく,それ輝子ちゃん。演歌ちゃう
心,やりたい放題だな
瑞樹,平常運転よ
仁奈,仁奈も歌うでごぜーます！美優おねーさんも一緒にでゅえっとしやがりましょう！
美優,いいですね…じゃあ歌いましょうか♪
菜々,美優さんはいいお母さんになりそうですね
美優,でしょう？
みく,食い気味
美優,今日はヤケです…仁奈ちゃん。全力で歌いましょう…
仁奈,おー！やる気満々だー！
美優,ええ…やる気に満ちてます
心,殺る気にしか聞こえねーぞ☆
楓,お酒まだありますか？
早苗,足りないよ～ん♪
みく,お水と氷しかないよ。酔っ払い
楓,え
早苗,え
瑞樹,今日は美優ちゃんに介抱させられないもの。節制なさい
楓,…ウッス
早苗,ん～…お口が寂ちい…
菜々,あ、ひじきの煮込み作ってきたんです。ミネラル豊富ですよ
早苗,おお～、いいねいいね♪
みく,渋いね
菜々,こ、こ、こ、これが菜々の学校では流行っているんですよッ！？
美優,くぅーれないにソーマァッタ！あーのおとーこォ♪
心,殺人事件じゃねーか☆
美優,うぅ…喉が痛いです…
心,大丈夫か。お酒は飲んでないんだろ？
美優,ええ…みくちゃんも仁奈ちゃんもいましたし…
心,ほんっといい子だよなー…よし。ところでお腹空いてる？
美優,まあ…ご飯ならお付き合いしますよ
心,あー、うん。はぁとは明日朝早いからもう帰んなきゃいけないんだわ☆
美優,…寂しいです
心,安心しろっつの☆メインディッシュがあるからさ
美優,メインディッシュ？
心,ま、とりあえず着替えろって☆
美優,ここのお店…でしょうか？心さんは帰ってしまいましたし…少し不安です。…
P,あ、美優さん。こっち
美優,！？
P,誕生日おめでとう
美優,ぷ、プロデューサーさん…今日はお仕事だったのでは…？
P,無理言って抜けてきたんだよ。時間に限りはあるけど、お祝いさせてほしいんだ
美優,…。セッティングは…心さんですね？
P,あれ？バレないようにうまくやってやんよ☆って言ってたのに
美優,ふふっ…バレバレですよ。隠す気もなかったんじゃないですかね♪
P,座りなよ
美優,そうですね…失礼します。…心さん...ありがとうございます♪
P,乾杯
美優,ええ…乾杯です♪。一生忘れられない誕生日になりそう…♪。心さん。誕生日はどうもありがとうございました♪
心,気にすんなっつの☆で、どうだったの？
美優,楽しく食事をした後は
心,うんうん
美優,手錠を有効活用させていただきました♪
心,待て☆
美優,ふふふふ…もう2度あの日は忘れませんよ…♪
心,何があったんだよ…
美優,…。心さん
心,ん？
美優,心さんの誕生日は…盛大にお祝いさせてくださいね♪
心,うん。期待してるぞ☆
