ミリP,以下、P
P,……ふぅ、一段落かな。それにしても、今日は音無さんも青羽さんもいないなんて……。……一人だと、やっぱり流石に寂しいな。……いつもこういう思いばっかりしてるなら、たまには気を使ってあげないといけないかもなー
田中琴葉,以下、琴葉
所恵美,以下、恵美
琴葉,ひゃぁあああ！？
恵美,わっ、そんなに驚いた？
琴葉,も、もう恵美！驚かさないで！
恵美,もー悪かったってー……。んで、何やってたの？事務所に用があるなら、そのまま入っちゃえばいいじゃん
琴葉,そ、それは……その
恵美,？ま、いいけどさ。おっはよー、プロデューサー！
P,お、恵美！おはよう！
恵美,……あれ？今日小鳥いないんだ
P,ああ、青羽さんと一緒に研修に出かけちゃってな
恵美,そっかー……そういう事なら、ちょっと失敗しちゃったかなー
P,何か、音無さんに用事でもあったのか？
恵美,うーん……この前小鳥に借りた本、返そうかなーって思ったんだけど
P,音無さんから……何借りたんだ？不健全な本じゃないよな？
恵美,もー、心配性だねプロデューサーは！ただの恋愛小説だって！
P,……本当に、ただの恋愛小説なんだな？
恵美,ホントホント！。……略奪愛がテーマだったのは黙っておこ
P,それなら良いんだ……安心した、また変な物渡してないとも限らないしな。ま、違うならそれでいいや。そうだ、恵美！折角だし俺の話し相手してくれないか？二人ともいないから寂しくってさ
恵美,アタシは今からエレナとレッスンだからダーメ！
P,ぐぅ……恵美と話してると楽しいのに、残念だな
恵美,……もー！そんなおだてたって何にも出ないよ？
P,おだててないよ、事実だしな！
恵美,……ホント、ずるいんだから
P,ん？
恵美,なんでもない！それじゃ、レッスン行ってくるね！
P,おう、ケガしない程度に頑張れよ！
恵美,はーい！。……もう、プロデューサーってば
琴葉,…………
恵美,うわっ！琴葉、まだ張り付いてたの！？
琴葉,だ、だって……
恵美,……ほーん？。……今ならプロデューサー、一人占め出来ちゃうよ？
琴葉,！
恵美,にゃはは、やっぱり図星なんだ！
琴葉,恵美！からかわないでってば！
恵美,ゴメンゴメンって！
琴葉,もう……
恵美,でも、ホントに今なら一人占め出来るよ？折角なんだし、話に行けばいいと思うけど？
琴葉,そ、それはそうなんだけど……その
恵美,もー、琴葉はホント乙女だねぇ……。……そうだ！折角小鳥がいないんだし
琴葉,えっ、恵美？
恵美,ここは、やっぱり最初のツカミが肝心でしょ！さ、行くよ琴葉！
P,……やっぱり、味気ないなぁ。皆仕事だし。こんな事なら営業に行きたいけど、誰も事務所にいないのはマズイしなぁ……。誰か来たか！？おはよ――
琴葉,事務員ファッション
P,……どうしたんだ、琴葉
琴葉,あ、あの……やっぱり着替えてきます！
P,待て、せめて理由を説明してくれ！
琴葉,り、理由ですか……？
P,うん、話してくれるか？
琴葉,今日、小鳥さんがいないみたいだから……プロデューサー、寂しいんじゃないかなって思って
P,だから、音無さんの恰好なのか？別にそのまま琴葉が来ればいい話なんじゃ
琴葉,だ、だって恵美がこっちの方がいいって！
P,……面白がってただけじゃないか？
琴葉,……恵美、許さないから
P,まったく……琴葉が事務所に来てくれるだけで嬉しいんだから、無駄に気負わなくたっていいって
琴葉,そ、そうですか？
P,そうそう……ホント、誰も来ない事務所の寂しさと言ったら
琴葉,もう、プロデューサーったら……。そうだ！折角の小鳥さんの恰好だし、お仕事手伝います！何か、私にやれる事ありませんか？
P,そんな……別にいいよ、琴葉はゆっくり休んでてくれ
琴葉,でも、小鳥さん達いないし仕事多いんじゃ……？
P,ま、まぁそれはそうなんだけどさ……でも、琴葉に書類任せるわけにもいかないしな。ふぅ……っと
琴葉,肩こってるんですか？
P,まぁ、こういう仕事だしな。大丈夫、いつもの事だから
琴葉,そういう訳にもいきません！書類がダメなら、せめて肩揉むくらいはしますから！
P,でも、アイドルに肩揉ませるなんて事出来ないって……
琴葉,プロデューサー？今の私は事務員ですよ？
P,だから、そういう問題じゃ……はぁ、分かったよ
琴葉,良いんですか！？
P,ダメって言っても食い下がりそうだしな。それじゃ、宜しくお願いするよ
琴葉,はい、任せてください！。そ、それじゃ失礼します……
P,なんか奇妙にドキドキする気が……
琴葉,んしょ……んしょ……どうですか、プロデューサー？
P,ああ、良い感じだ。日々の疲れが消えていくな……
琴葉,かなりこってるじゃないですか……プロデューサー、ちゃんと運動もしなきゃダメですよ？
P,そう言われても時間がないんだよ……仕方ないだろ？
琴葉,時間があってもやらないだけですよね
P,うぐっ
琴葉,まったく……ラジオ体操で良いのできっちりとやってください
P,ラジオ体操で良いのか？
琴葉,はい。アレ、身体の色々な部位を使うからいい運動になるんですよ？
P,それは良いことを聞いたな……。そうだ！どうせなら、765プロ総出でやるか！運動苦手でも出来るしな
琴葉,その時は私も誘ってくださいね？
P,ああ、期待してるぞ？体操のお姉さん！
琴葉,もう……具合はどうですか？
P,良い感じ！
琴葉,それなら良かったです……もう少しだけ、続けますね
P,あー……うん、親父がマッサージしてもらいたがってた理由が分かる気がするな
琴葉,お父さんですか？
P,そう、いっつも俺に肩揉めってうるさくってな……
Ｐ,俺もいつか琴葉みたいな孝行してくれる娘が欲しいよ
琴葉,娘、ですか……
Ｐ,ん？どうかしたのか、琴葉
琴葉,……プロデューサーから見た私は、子供ですか？
P,まぁ、まだ高校生だしな……？
琴葉,…………
P,琴葉？
琴葉,私だって……
P,あ、あの琴葉さん？さっきより距離が近づいてる気がするんですけど……
琴葉,私だって、もう18歳なんですからね……？。ど、どうしよう！こんなに顔が近いの初めてかも！？。で、でも女は度胸……だよね！。…………
P,あ、あの琴葉さん？
琴葉,…………
双海真美,以下、真美
P,へ？
真美,ほ？
琴葉,……えっ？
真美,…………
P,……えっと、真美さんや？
真美,……ゴメンね、兄ちゃん。ごゆっくり→！
P,なんか勘違いしてないか！？待て、真美！
琴葉,い、行っちゃいましたね
P,明日の噂が怖いな……
琴葉,…………
P,それでも、マッサージは続けてくれるんだな……
琴葉,ふぅ……どうでしたか、プロデューサー？
P,身体が軽くなった……ありがとう、琴葉
琴葉,いえ、喜んで貰えたなら良かったです！
P,さ、琴葉にマッサージもしてもらったし仕事するぞ！ある書類全部片づけるペースでやってやるぜ！
琴葉,あっ……
P,どうかしたのか、琴葉？
琴葉,い、いえ……大した事じゃないです
P,そうか？それなら良いんだけどさ
琴葉,…………。…………
P,……琴葉、どうかしたのか？もしかして、疲れさせちゃったか
琴葉,い、いえ！そういう事じゃ、ないんですけど……
P,？
琴葉,プロデューサーのお手伝いするつもりだったのに、ここでじっとしてるのも悪いなって思って
P,そんな事気にしなくて良いんだぞ？さっき俺の肩揉んでくれたじゃないか
琴葉,で、でも……
P,うーん……本当に気にしなくて良いんだけどなあ。そうだ！そういう事なら、最近の琴葉の話を聞かせてくれないか？
琴葉,私の話、ですか？
P,そうそう。例えば……そのカチューシャ新しいのだろ？音無さんの予備じゃないし
琴葉,！？わ、分かってたんですか？
P,まぁ、プロデューサーだからな！
琴葉,……似合ってますか？
P,勿論！琴葉の髪の毛によく映えるカチューシャだと思うよ
琴葉,そうですか……良かった。実は、これ恵美が選んでくれたんです！
P,へぇ、恵美がか？道理で似合ってるわけだ……
琴葉,恵美の事、信頼してるんですね？
P,琴葉の可愛い所、アイツは沢山知ってるからな！引き立て方も良く分かってるだろうし
琴葉,そ、そんな可愛い所なんて
P,照れなくたっていいのに……
琴葉,もう、プロデューサー！ニヤニヤしないでください！
P,悪かったって！それじゃ、続き聞かせてくれるか？
琴葉,はい……それで、その時エレナが――。それで恵美が――
P,うんうん
琴葉,……私ばかり話してて、すみません
