北条加蓮,お待たせー
加蓮,ごめんね？急にモバＰ以下Ｐ
高森藍子,いいえ。……打ち合わせ、いいんですか？もし、無理に切り上げたんだったら――
加蓮,違う違う。それがさ、聞いてよー
・北条加蓮,藍子と
・高森藍子,加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
・高森藍子,北条加蓮ちゃんと。加蓮ちゃんと。加蓮ちゃんと
・北条加蓮,藍子と
加蓮,打ち合わせはすぐ終わったの。確認っていうかちょっとしたことっていうか、そんな感じで
藍子,はあ
加蓮,でさ、最初に藍子を待たせて今トイレからって言ったのに、Ｐさんってば話を続けようとするんだよ？。しかも聞いてよ。割り込んで来るからよほど大切なことかって思ったらさ――。また体調を崩してないかとか、風邪を引いてないかとか！暖かくなる今の時期がヤバイんだぞって！もう聞き飽きたわよ！
藍子,ふふ。それだけＰさんが、加蓮ちゃんのことを大事にしているってことですよ
加蓮,それも何回も聞いたー！
藍子,ごめんなさい～っ
加蓮,ったく……
藍子,あっ。Ｐさんが、加蓮ちゃんのことを心配したのって――
加蓮,？
藍子,あのお話をしたからかな……？
加蓮,……どのお話をしたのかな？
藍子,ほら、この前、春物を探してみようってショッピングに行こうって加蓮ちゃんが誘ってくれて……。その時に試着して、買った服があるじゃないですか。薄いふわもこのシャツ
加蓮,あったあった。パッと見てすぐ決めたヤツよね
藍子,暖かすぎなくて、涼しすぎなくて――
加蓮,夏にもいけるんだよねー。しかも結構どれでも合わせやすい色の
藍子,あの時、加蓮ちゃん、一緒に試着した写真をＰさんに送ったんですよね？
加蓮,やっぱバレてたかー
藍子,そんなにすぐに見てほしかったんですか？
加蓮,まあねー
藍子,……あれっ、珍しい。加蓮ちゃんが素直に認めた……？どういうことでしょう……？
加蓮,……それだけで探偵みたいに口元に手を置いて考え始めるのってすっごく失礼じゃない？私に
藍子,え～
加蓮,失礼でしょ……。あと、見てほしいって言っても私じゃなくて藍子をだからね？
藍子,私？
加蓮,だって藍子にピッタリのだったし。まるで藍子用にオーダーメイドしたってレベルで
藍子,加蓮ちゃんの方が似合うと思うけれどな……。でもこの間、Ｐさんが写真のお話をして、加蓮ちゃんのことばかり言っていましたよ？
加蓮,……はい？
藍子,すごく似合う、とか、新しいコーデで閃いたことが、とか……。あと何だったかな？。そうそう、新しいファッションのお仕事を、だそうです。良かったですね、加蓮ちゃん
加蓮,私は藍子を見てほしかったんだけど……。まぁいいや
藍子,ん～……。あの時、加蓮ちゃんのスマートフォンから、Ｐさんにメールをしたんですよね？それだと普通、自分を見て、って加蓮ちゃんが言っているって思うんじゃ……？
加蓮,あぁそれもそっか。次から同じことがあったら藍子のスマフォ借りるね
藍子,は～い
加蓮,さーて何着せて送ろっかなー。水着かなー、ちょっと大人なルームウェアかなー
藍子,イヤですよ！？普通の私服でいいじゃないですかっ
加蓮,あははっ。……っていうか藍子的にはいいんだ
藍子,？
加蓮,いや、一応自分も映ってる、しかも簡単だけどコーデ決めてる写真送ったのにＰさんガン無視で、私のことばっかり話しててしかもこっちに仕事って、藍子的にはそれでいいのかなって
藍子,よく分かりませんけれど、加蓮ちゃんのお話でたくさん盛り上がったので、たぶんいいんだと思いますよ？
加蓮,……アイドルとして悔しいとか、そういうのはないの
藍子,それは――。……あはは。何言ってるんですか。加蓮ちゃんのことで盛り上がって、加蓮ちゃんにお仕事のお話が来たんですよ？とってもいいことじゃないですかっ
加蓮,あっそ……。そういえばまだ注文してなかったっけ
藍子,加蓮ちゃん、ここに来てすぐに電話に行っちゃいましたよね
加蓮,先に頼んでおいてくれてよかったのに。あっ、そうだ。久々にアレやらない？
藍子,あれって？
加蓮,ほら、相手が何を欲しがってるか当てるヤツ。今日はサンドイッチの気分とか、今日はシチューの気分とか
藍子,ふふ、なんだか懐かしいですね。いいですよ？
加蓮,言ったね？絶対当ててやるからっ
藍子,じゃあ――。じ～
加蓮,メニューメニュー。今月の限定は何かなー。桜寿司？桜っぽいちらし寿司なんだ。ホント色々やるなぁここの限定メニュー
藍子,じ～
加蓮,これはなんか違う気がする。でも普通のメニューって気もしないし、スイーツ系――
藍子,じ～
加蓮,……、じっくり見られると照れるんだけど？
藍子,じ～
加蓮,聞きなさいっ
藍子,いたいっ。だって、こうしていた方が分かりやすいかなって……。それに、せっかく加蓮ちゃんが目の前にいるんですから、加蓮ちゃんを見て考えたいじゃないですか
加蓮,だからって、ちょっと見すぎ
藍子,……ダメ、ですか？
加蓮,……そんな頼み方されて断れる人がいないって知ってるでしょアンタ
藍子,？？？
加蓮,あぁうん、やっぱりそうだよね。はいはい。好きなだけ見ればいいじゃない
