丸山彩,ふむふむ……あー、そっかぁ……
大和麻弥,おはようございます
彩,あ、おはよう、麻弥ちゃん
麻弥,はい、おはようございます、彩さん。今日はまだ彩さんしか来てないんですね
彩,うん。今日は私が一番乗り！あ、そうだ。麻弥ちゃんも一緒にこれ見ない？
麻弥,はい？なんですか？
彩,この前のライブの感想をエゴサしてるんだ。ほら、また私、ちょっとＭＣ失敗しちゃったからさ……
麻弥,ああ、いつものやつですね。そうですね、他の皆さんが来るまでやることもありませんし、ご一緒させていただきます
彩,うん！じゃ、私の隣に座って
麻弥,はい、失礼します。どれどれ……
彩,…………
麻弥,……やっぱり彩さんらしくて良いっていう意見が多いですね
彩,うん。ファンの人たちが喜んでくれてるなら私も嬉しいんだけど……でもやっぱり、ほら
麻弥,あー……。一部からは天下を目指すのならいい加減慣れるべきだって声も出てますね
彩,そうなんだよね。はぁ……あんなに練習してるのになぁ……
麻弥,ライブ前とかはずっと千聖さんが付きっきりで見てくれてますもんね
彩,千聖ちゃんには本当に頭が上がらないよ……嫌な顔の一つもしないで、ニコニコしながらずーっと見ててくれるんだもん
白鷺千聖,おはようございます
若宮イヴ,おはようございます！
氷川日菜,おはよーございまーす
彩,あ、おはよう、みんな
麻弥,おはようございます、みなさん。３人同時なんて珍しいですね
千聖,ええ、偶然事務所の前でばったり会ったのよ
日菜,珍しいこともあるもんだよね～
イヴ,こういう時、縁は異なもの味なもの、というんですよね！
彩,うーん……あんまり言わないと思うなぁ……
千聖,ところで麻弥ちゃん、そんなに彩ちゃんに寄り添って何をしているの？
麻弥,彩さんと一緒に前のライブの感想を見ていたんですよ
日菜,彩ちゃんがまたＭＣで噛んでたやつ？
麻弥,ええ、そのライブです
彩,反省の意味も込めてね、何か参考になる意見がないかって見てたんだ。あ、そういえば私のことは賛否両論だけど、麻弥ちゃんはすっごく褒められてるね
麻弥,え、そうなんですか？
彩,うん。麻弥ちゃんがどっしり土台になってるからリズムが安定してるとか、ライブ慣れしてるから見てて安心感があるとか、麻弥ちゃんがライブ中に付けるコンタクトレンズになりたいとか
麻弥,え、最後の本当に呟かれてるんですか……？
日菜,あ、それあたしも見たよ。コンタクトレンズ派の人と眼鏡派の人がなんかすっごいバトルしてて面白かったなぁ
麻弥,えぇ……
イヴ,みなさん、それだけマヤさんのことが好きなんですね！とても良いことだと思います！
麻弥,そうなんですかね……？
彩,そうだと思うよ。ほら、今度のライブは是非眼鏡でやって欲しいって呟きもあるし。それにほら、やっぱり麻弥ちゃんのドラムっていつもしっかりしてるから、私も歌いやすいもん。リズムがおかしくなりそうな時は麻弥ちゃんの音をちゃんと聞く、って注意してるし
千聖,…………
