白金燐子,い、いきなりどうしたの……？
宇田川あこ,もう怒ったよ！紗夜さんに復讐してやるんだから！
燐子,ふ、復讐……！？。ど、どうしよう……。喧嘩なんてどうやって止めれば……
あこ,今日だって！！
氷川紗夜,すみません付き合わせてしまって……
あこ,むしろいいくらいです！紗夜さんもついに深淵なる闇の……え、えっと、一員になりましたね！！
紗夜,い、いえ別にハマったわけでは……
あこ,いやーネトゲ仲間が増えるのはうれしいです！！
紗夜,……聞いていないようね
あこ,で！今日はなんのクエストやるんですか？
紗夜,はい、このマークがついているところは全部やりたいと思ってます
あこ,…………えっ？ん？ぜ、全部ですか？
紗夜,当然です。マークがついていては気になって仕方ないじゃないですか
あこ,い、いやー、あの…………
紗夜,さあ、行きますよ
あこ,ひええええええええええ！！！！。さすがのあこもあんな地道な作業はきつかったよ……
燐子,た、大変だったね……。よっかた……。喧嘩じゃなくて……
あこ,だからささやかな仕返しをしても許されるはず！。クックック……。堕天せし女神の……、…えーっと、こう、受けるがいい！。クックック……。完璧なる策……
燐子,あこちゃん！？それは命知らずにもほどがあるよ！？
あこ,いや……、真の堕天使は退かぬ！媚びぬ！省みぬ！。いこう！！
湊友希那,今日の練習もお疲れ様
今井リサ,みんないい感じだったよねー！んー！このパフェおいしー！紗夜も一口食べる？
紗夜,いえ、結構です
リサ,ポテト待ち遠しいのが……
燐子,全身から伝わってきます……
紗夜,！！！！
リサ,紗夜ー、お待ちかねのポテトだよー
紗夜,ま、待ち望んでなんていません！大勢でつまむならポテトがベストだと判断したまでです！
燐子,あこちゃん……。ほんとにやるの？
あこ,心を鬼にするんだ宇田川あこ！！！
紗夜,まったく……もぐもぐ。今井さんは……もぐ、とんだ勘違いです
あこ,ぐうう！！！
友希那,あこ？どうしたの？
あこ,あんな笑顔の紗夜さんからポテトをとるなんて……。あこには……
リサ,さーよ！一つもらうね！
紗夜,あっ……。い、いえいいでしょう
あこ,！！このタイミングなら！！。あっ！あこも今日はポテトの気分だからもらっちゃいますね！。これでほとんどのポテトを自分のお皿にもってけば…………！？
紗夜,はしたないですよ？宇田川さん？
あこ,すみません一つで大丈夫です。ポテトこわいポテトこわい……
燐子,あこちゃん……。大丈夫？
リサ,二人ともこんなとこでなにしてんの？
燐子,あっ、今井さん……。実は…………
リサ,あはは！なるほどねー。ちょっと面白そうじゃん！。よし！ここはお姉さんがいい作戦を考えてあげよう！
あこ,はっ！？あこは今までなにを！？
燐子,よかった……。あこちゃん戻ってきた……
あこ,橙色の悪魔の……あー…、だ、出汁……
リサ,これなら仕返しにもなるし健康にもいいね！
燐子,好き嫌いをなくそうとするお母さんみたい……
あこ,なるほど……。紗夜さんの弱点を突く策……。これは勝った！！
友希那,一度休憩にしましょうか
リサ,じゃあ……。はい！今日の差し入れだよー
紗夜,これは……
