※ぐだ子の名前表記を,立香
マシュ,それは男性と女性のグループが交流を持ち、交際を目的にして行われる合同コンパの略称のことでしょうか
メイヴ,ええその通り、わざわざ説明ありがとうマシュ。そう、その合コンを今からやるの！
鈴鹿御前,会場もこうしてすでにセッティング済み。あとは相手を待つだけだし！
立香,それで、参加者は？
メイヴ,あら、ここにわざわざ呼んだ時点で理解できないのかしらマスター？
マシュ,ま、まさか先輩を合コンに！？だ、だめです！そんな、先輩はもっとちゃんとしたお付き合いを
鈴鹿御前,あ、言っとくけどマシュも数に入ってるし？
マシュ,えぇ！？
立香,私はいいけどマシュはだめ
マシュ,先輩！？
メイヴ,そんなこと言わないの。別に私達も意地悪で参加させようっていうわけではないのよ？
マシュ,では一体どうして……
鈴鹿御前,すべての特異点を消滅させ、人理を守ったマスターとそのサーヴァント。いい響きだよねー？。おまけにどっちも美少女ときた。これはもう平和になった世界で男共が放っておくわけないし？
メイヴ,だから、私達がいる間に、二人には男を手玉に取る技術をできるだけ多く学んでもらおうって考えたの。なんせ私達のマスターだった女の子と、戦友の女の子が、どこの誰とも知らないクズに誑し込まれたりしたら、つまらないでしょう？
マシュ,そ、それで合コンですか……？
鈴鹿御前,今までは特異点で生き残るための技術と知識を優先して身につける必要があったけど、もうそんな必要もないっしょ！。だから、こっからは女の子らしく生きてくための知識を覚えてほしいじゃん？その手始めに合コンは最適ってダ――
メイヴ,ま、ホントはクーちゃんとロマンスしてから、カルデアでの生活を終えたい私の欲求を満たすほうが優先だけどね？
鈴鹿御前,は、話と違うし！？マスターとマシュのためだからってわざわざ協力したのに！？
メイヴ,それもあるけど、やっぱりこんなのんびりした環境でクーちゃん達と一緒なんて今後もうありえないでしょきっと。だったら、それを全力で利用しないと女王メイヴの名が泣くわ！でしょ、マスター？
立香,そのほうがメイヴらしい
メイヴ,ほらね？
鈴鹿御前,えぇー
マシュ,で、でしたらやはり先輩を巻き込む必要はないのでは……
メイヴ,ううん、第一の理由が私とクーちゃんのロマンスのためだとしても、マスターとマシュに男に慣れてほしいのも本当よ？
鈴鹿御前,あ、良かったー。流石にそれが嘘だったら私の立場なさすぎだし
メイヴ,だから、マスターとマシュの参加は絶対。ちゃんと手取り足取りじっくり体に教えてあげるから、そこは信頼してね
マシュ,いえ、あの、むしろそのほうが余計に心配といいますか……それに先輩ならきっと、外に戻られても大丈夫ですよ！
鈴鹿御前,あまいあまーい！むしろマスターみたいなタイプが一番危ないし？というかマシュもだけど。二人共優しいんだから、そこに付け込んでくる連中がいたらどーすんの？
マシュ,そ、それは、言葉で説得すればきっと分かってもらえます。戦闘以外で解決する方法だって、今の時代ならいくらでも
鈴鹿御前,うーん、やっぱマシュは良い子だわ……良い子すぎて心配だわー
メイヴ,マシュ？男は皆結局下半身に従うものなんだから、理性や言葉でどうにかなるなんて幻想よ？
マシュ,そんなことはありません！確かにおと――ランスロット卿のようにどうしよもないダメダメな人もいるかもしれませんが
ランスロット,はくしゅ！！
ガウェイン,おやランスロット卿、風邪ですか？
ランスロット,う、うむ……なにやらものすごく心が落ち込むような、体が重くなるような……
トリスタン,サーヴァントが風邪になるなど……これは一大事なのでは？
ガウェイン,ええ、そのとおりです。急ぎナイチンゲール嬢の所に向かわれるとよいでしょう。我々も付き添います
トリスタン,決してランスロット卿をだしにして目の保養をしに抜け出そうなどとは考えていませんから、ご心配なく
ランスロット,心無い笑顔で言われても信用出来ないが……確かに保養は大事だ。では早速
レオニダス,どこに行こうというのですッ！！
ランスロット,い、いや、どうも風邪を引いたようなので、少しばかり休憩に……
レオニダス,風邪！確かにそれが事実なら一大事でしょう！しかし！！。私は今日、あなた方をみっちり鍛えてデータを取っておいてほしいとダ・ヴィンチ殿から頼まれたのです！！。体調不良も貴重なデータ！さぁ、その状態でトレーニングをするとどうなるか調べてみましょう！！。他のお二人にもとことん付き合っていただきますよ！さあ！さあ！！さぁッ！！！
3騎士,うわぁああああ！！！
マシュ,レオニダス王のように、信頼出来る人も大勢いるはずです！
鈴鹿御前,なにか今のマシュの言葉で、天国と地獄にはっきり別れた奴がいそうな気がするし
マシュ,そ、そうでしょうか？
鈴鹿御前,まぁマシュが良い子なのは置いといて、やっぱりそれでも覚えておいてほしいことってのはあるの
メイヴ,いざっていう時のためにね。それとも、私達からなにかを学ぶことは嫌かしら？
マシュ,嫌というわけでは……！ただやはり、先輩はともかくわたしにそのような機会は訪れないでしょうし……
立香,そんなことないよ。むしろ私よりマシュのほうが、外に行ってからモテモテになるよ、きっと
マシュ,あ、ありえません！わたしより先輩のほうが可愛い以上、普通の生活に戻った時大変なのは先輩です！
立香,いやいや、マシュのほうが可愛いし
マシュ,いいえ！先輩のほうが可愛いです！
立香,マシュのほうが！
マシュ,先輩のほうが！
レオナルド・ダ・ヴィンチ,はいはい。どっちもこの姿の私には及ばないけど可愛いから喧嘩しなーい
マシュ,ダ・ヴィンチちゃん！どうしてこちらに？
ダ・ヴィンチ,せっかく色々のお膳立てをしたのに、一向に合コンが始まらないから様子を見にきたのさ
メイヴ,……ねぇダ・ヴィンチ。もう正直この二人で仲良く暮らさせたほうが良くない？
鈴鹿御前,思った。めっちゃ甘々空間作るの得意すぎだし
ダ・ヴィンチ,んー、でも出来ればそういうことは、マシュも立香ちゃんも平和な世界で色々見てから決めてほしいんだ。もちろん二人の仲は十分知っているけれど、ほら、それでも二人はまだまだ若いからね。どういう道を選ぶにしても後悔しないように、教えられることは教え込んでおきたいのさ
立香,もしかして、合コンの発案もダ・ヴィンチちゃんが？
ダ・ヴィンチ,その通り。正確に言えば、私が調べたいこととメイヴの悩みと。そして暇そうにしていた鈴鹿御前を納得させるいい手だから、してみようってなったわけさ
鈴鹿御前,あれ、私ついで？
ダ・ヴィンチ,まぁまぁ。このカルデアでもトップクラスに女子力高いサーヴァントの1人といえば君だ。君くらいになると、合コン中に立香ちゃんやマシュに、男を手玉に取る方法を教えるのも簡単なんだろう？
鈴鹿御前,そりゃ当然だし！
ダ・ヴィンチ,だったら安心だ。正直メイヴだけだと、二人が妙な技術まで身につけかねないからね。そこをうまくバランス取ってくれると、私としても喜ばしいところだ
メイヴ,妙な技術ってなによ妙な技術って。この女王メイヴの肉体がなくても男を堕とす方法をせっかく――
ダ・ヴィンチ,だからそこまでは求めてないんだってば。変な男に引っかからない防衛方法くらいでいいのさ
メイヴ,……変な男、ねぇ
ダ・ヴィンチ,おーっとなにやら意味深な視線！しかし天才はそれを無視しよう。ともかくマシュ、立香ちゃん
マシュ,は、はい
立香,……
ダ・ヴィンチ,せっかく平和な世界で可愛い君たちが生きていくんだ。そのサポートを出来る内に出来るだけさせてほしい。もちろん、無理強いはしないさ。でも、もういなくなったアイツと同じで、私もいずれここからいなくなる身。だから、サポートがちょっとくらい無茶な内容になったとしても、許してはくれないかな
マシュ,……ダ・ヴィンチちゃん……分かりました。そこまで言われるのでしたら、マシュ・キリエライト、全力で合コンを楽しみます！
ダ・ヴィンチ,ありがとうマシュ。立香ちゃんは？
立香,私も楽しんでみるよ
ダ・ヴィンチ,うん、良い返事だ！流石は人類を救ったマスターとその相棒だ！これで私も実証じっけ――じゃなかった
立香,今なにか不穏なことを言いかけなかった？
ダ・ヴィンチ,なんのことかなー？ともかく、合コンをすると決まった以上あとはメンバーだ！
メイヴ,もちろんクーちゃんは最優先で登録したわよね？ね！？
ダ・ヴィンチ,いやー、それなんだがね？
マシュ,どうしたんですか？
ダ・ヴィンチ,さっきからカルデア中にこの合コンのことを告知して、参加者の募集をかけてるんだけど……
鈴鹿御前,全然くる気配ないし？
ダ・ヴィンチ,おかしいなぁ……流石に円卓の騎士達は合コン相手にはまだ早いと思って、レオニダス王に足止めさせたんだが。他の面々はなにをしているんだ？美少女四人が待っているというのに
立香,ダ・ヴィンチちゃんは参加しないの？
ダ・ヴィンチ,ほら、私は今後のためのデータ計測の必要があるし、ホームズ達に頼んでいることで急に呼ばれる可能性もあるから
鈴鹿御前,あー、それって最近格納庫で悪巧み！って感じで色々やってるっぽいやつのこと？
ダ・ヴィンチ,ふふ、それは秘密だとも。万が一のことを考えてだが、あれは種明かしされないほうがいい部類だからね
鈴鹿御前,えー、気になるしー
マシュ,ダ・ヴィンチちゃんは一体なにを……
ダ・ヴィンチ,天才は常に色々考えているものだよマシュ。ともかく遅い、遅いじゃないか。男子がいないと合コンは始まらないぞ！
メイヴ,まったくいつまで待たせるのかしら。私がいるのだからクーちゃんなんかは飛んで来てくれてもいいくらいなのに……
ダ・ヴィンチ,……やはり私が発案したと告知文に書いたのが不味かったのかなぁ
立香,人が来ない原因それじゃないですか？
鈴鹿御前,絶対それだし
メイヴ,ちょっとなに一番やっちゃいけないことしてるのよ！
ダ・ヴィンチ,だ、誰一人として擁護してくれない……い、いいさ！このまま誰も来なかった場合は、仕方ない、私が――
メイヴ,……ん、ちょっと待ちなさい。その必要はなさそうよ。今この部屋に向かって来ている存在を感じるわ
鈴鹿御前,え、マジで？
メイヴ,ええマジよ！しかもこの感じ……かなりの勇士ね、とても強い力を感じるわ……！
鈴鹿御前,そりゃサーヴァントなんて強い連中が多いし当然じゃん？
メイヴ,そういうことではなくて……ケルトの力を感じるのよ！しかもこれだけの気配……きっとクー・フーリンよ！！
立香,嬉しそうだねメイヴ
メイヴ,当然でしょう？私達をこれだけ待たせておいたとしても、最初に来るのがあのクー・フーリンならそれだけで許せるもの！。さぁ、どのクー・フーリンが来てくれるのかしら！ランサーの？キャスターの？若いランサーの？それともそれともバー――
スカサハ,残念、私だ
メイヴ,なんでよッ！！
スカサハ,はは、そう喜ぶな
