モバＰ(以下Ｐ),……ちひろさん、急に何を
ちひろ,プロデューサーさんは御存知なんですか？
Ｐ,え、あ、はい。…シスタープリンセス、簡単に言うと１２人の妹を題材にした恋愛ゲームです
ちひろ,まあ１２人もですか！親御さんも頑張ったんですね……妹に恋愛感情？
Ｐ,恐ろしくて誰も触れなかった所を的確に突いてきますねちひろさん
ちひろ,？
Ｐ,……仕方ない、これは私がプレゼンテーションしなければならないようだ。というわけで
ちひろ,わ、わざわざフリップを出さなくても……
・破天荒探偵系妹。,チェキデス！
Ｐ,かなり簡略化しましたが…だいたい分かりましたか？
ちひろ,プロデューサーさんが紗枝ちゃんを異様に推してる理由は分かりました
Ｐ,まあ、そんな妹萌えが流行った時代があったんですよ
ちひろ,なるほど…その時代のニーズってやつですね
Ｐ,ええ、まあそんな感じです。それにうちでも妹路線で売り出してるアイドルもいますから全部が全部時代のニーズとも言い切れませんね
ちひろ,フフッ…なら、プロデューサーさんも１２人の妹に囲まれたいとか？
Ｐ,ハハッ、それは夢のある話ですね…っと、では約束があるので営業に行ってきます
ちひろ,はい、気を付けて行ってくださいねー。…………
？？？,………
Ｐ,(しまったな、ガチャにお金を回しすぎてシスプリのBlu-rayが…いや、なんとかなるか)
？？？,お兄ちゃん、おはよう！
Ｐ,……はい？
卯月,えへへ…なんか恥ずかしいね、お兄ちゃん///
Ｐ,。う…卯月？急にどうし…
卯月,お兄ちゃん！わ、私ね…その！。お兄ちゃんの事…大好きだから！！///。お仕事、頑張ってね！/////
Ｐ,。ハッ！
ちひろ,大丈夫ですか？
Ｐ,夢を…夢を、見ていました。とても荒々しく、雄々しい夢を……
ちひろ,プロデューサーさん？
Ｐ,あ、いや、何でもありません。チラッと卯月の姿を見たような気がして…
ちひろ,卯月ちゃんなら先程レッスンに行かれましたよ？
Ｐ,(…夢か？いや、疲れてるのか……？)
ちひろ,それじゃあプロデューサーさん、ちょっと買い物に行ってきますので留守番をお願いします
Ｐ,え、あ…はい。…夢だとしても、破壊力のある夢だったな
？？？,あ！お兄ちゃま！
Ｐ,…はい？
歌鈴,お兄ちゃま…？
Ｐ,……歌鈴？
歌鈴,お兄ちゃま大丈…きゃぁっ！
Ｐ,(あ、そこはいつもの歌鈴っぽい)
歌鈴,ううっ…いたーい……
Ｐ,大丈夫か、歌鈴
歌鈴,あ…えへへ///。…あ、違う違う！今日は歌鈴がお兄ちゃまを応援しに来たの！
Ｐ,応援？
歌鈴,お兄ちゃま、最近ずっと仕事で忙しそうだったし…だから歌鈴がお兄ちゃまを応援するの！
Ｐ,おお、チアリーディングの衣装…智香から借りたのか
歌鈴,フレッ！フレッ！お兄ちゃま！頑張れ頑張れお兄ちゃま！
Ｐ,キレのある応援、レッスンの効果がちゃ…くじつ………。……歌鈴？
歌鈴,なんでしゅ…なんですか、お兄ちゃま？
Ｐ,スカートの下、履いてる…？
歌鈴,……。////。し、下着…忘れてました…/////
Ｐ,。凄い勢いで走り去ってった…。なんていうか…その、何が起こってるんだ…？
？？？,あっ！やっほー兄ぃ！
Ｐ,
茜,あにぃ！元気がないなら走りましょう！ウーッッボンバーーーー！！！
Ｐ,誰だお前は
茜,あれ？確か走るの大好きな子だと…
Ｐ,いや、確かにそうだけど
茜,なら走りましょう！走っていい汗かいてあにぃに元気になってほしいです！！！
Ｐ,吹き込んだの誰だ…いや待て待て、走るのは良いからせめて着替えさせて
茜,本当ですかっ！？。じゃあわた…僕、待ってるから！早く来てね……あにぃ！
Ｐ,。…ちょろいな、俺。茜と一緒に一時間くらい走ってたわ。しかし誰だ…個人的には嬉しいが、これで仕事に支障が出たらたまったもんじゃないぞ
？？？,あら…何か困り事？お兄様
Ｐ,
幸子,フフフッ、そんなお兄様も可愛いですね。まあボ…私以上とは言いませんけど
Ｐ,おい人選ミスだ
幸子,じん…何でですか！！ボクこそ小悪魔で可愛い役がピッタリでしょう！？
Ｐ,お前が小悪魔だったのは初期ＳＲぐらいだよ
幸子,なにぉぅ！？
Ｐ,もうキャラ崩れてるぞ
幸子,ッ！？。な、何を言うのかと思えば…異な事をおっしゃいますのね
Ｐ,異な事て
幸子,うぅ…こんなはずじゃ……お兄様を魅了して最近付き合ってくれない買い物の約束をしてもらおうとしたのに……
Ｐ,買い物くらい一緒に行ってやるからキャラを元に戻せ
幸子,本当ですか！？約束ですよ！！
Ｐ,お、おう
幸子,フフッ、ぼ…私の魅力にお兄様もメロメロね♪
Ｐ,もういいから元に戻りなさい。…昨日の流れからしてちひろさんの仕業か…？まさかシスプリBlu-rayに使う分の金を搾り取る気じゃ……
？？？,おにいたま…何かかんがえごと？
Ｐ,
みりあ,くしし…みりあも一緒に考える！
Ｐ,天使かよ
みりあ,それでね、おにいたまは何を悩んでたの？
Ｐ,大丈夫だ、悩むことはないと今知ったからかわいいな…今度妹役で何か仕事とってこよう
みりあ,あ…くしし///
