草野優衣,うーん……
安芸真琴,どうしたんだ、優衣？
優衣,真琴ちゃん、実はね……今度騎士くんが私の家にお泊りに来るの
真琴,は、はぁぁぁーー！？マジかよ、なんでいきなりそんなことが
優衣,実はね、この間実家のお店で働いていた従業員の1人が飲酒運転して人を轢いたけど、停車しないでその場から立ち去って逮捕されちゃったの
真琴,おい待て、それすげー大問題だよな！？
優衣,それでね、一応うちのお店の従業員がしちゃったことだから、何かお詫びをしたいって私が言い出して、そしたらお母さんが自宅に招いておもてなしをしようってことになったの
真琴,はぁ！？それって轢かれたのアイツってことかよ！？
優衣,うん。幸いにもかすり傷程度で済んだけど
真琴,よくかすり傷で済んだな
優衣,で、どうやっておもてなししようか悩んでいてね
真琴,なるほど……あいつ、優衣の家に泊まるんだよな
優衣,うん
真琴,なら話が早い！すげーチャンスじゃんか。このまま既成事実を作っちまいなよ
優衣,き、既成事実って///
真琴,またとないチャンスだろ！Re:Diveがリリースされてから新しいキャラも増えて、しかも全員記憶を無くしててギルドも別々になったって設定だろ。ならここで一気にアイツとの距離を縮めるしかねぇだろ？今後キャラが増えたら、他の奴に取られちまうぞ
優衣,それは……そうかもしれないけれど……。____ということがあったの
優衣妹,お姉ちゃん、確かに今回はチャンスだよ！その騎士くんって人のこと、ずっと好きだったんでしょ？
優衣,うん。でもその……いざとなると勇気が出なくなるというか、恥ずかしくなるというか……しかもいきなり騎士くんが泊まりに来ることになるなんて……///
優衣妹,はぁ……お姉ちゃんに積極性があれば、今ごろとっくにその人と結ばれてたかもしれないのにね
優衣,うぅぅ……
優衣母,話は聞かせてもらったわ
優衣妹,あ、お母さん
優衣母,優衣、騎士くんと結ばれたいのなら、このチャンスを確実に掴み取るのよ
優衣,掴み取るって？
優衣母,私がお父さんのハートをゲットしたように、優衣にも積極性があればきっと騎士くんのハートをゲットできるわ。そうだわ、優衣と騎士くんが結ばれるよう、少々面倒だけれど手を打ちましょう
優衣妹,私も手伝う！
優衣,手を打つって……何をするつもりなんだろう……
騎士くん,いろいろ大変だったけど、草野の家に招かれたんだし、遠慮せず楽しむことにしよう。草野の家は定食屋さんだから、きっと美味しい料理でもてなしてくれるんだろうな……
優衣妹,いらっしゃいませ
騎士くん,えっと、君は確か……草野の妹さん？
優衣妹,はい、草野優衣の妹です。お待ちしておりました～！
優衣母,いらっしゃいませ、騎士くん。今日は騎士くんのために最高のご馳走を用意しておいたよ
騎士くん,あ、草野のお母さん、お久しぶりです。その……一つ聞いてもいいですか？
優衣母,何かな？
騎士くん,あの、確か草野さんのお宅は定食屋さんだったと思うんですけど……何かあったんですか？。えっと、なんか前来た時と随分雰囲気が違うというか、もはや別のものに見えるんですけど……
優衣母,うふふっ、実はつい最近改装したの。騎士くんは改装後初のお客様だから、期待しててね
騎士くん,は、はぁ……
優衣妹,ではでは、こちらへどうぞ～
騎士くん,…………
優衣妹,あれ、どうかしましたか？
騎士くん,いや、なんでも……
優衣妹,それでは後でとびっきりのご馳走をご用意しますので、しばらくゆっくりしてください
騎士くん,あ、行っちゃった……
優衣妹,お母さん、ターゲットを愛の巣に誘導しておいたよ
