モバＰ,以下Ｐ
千奈美,何、天井を見上げて。ノってほしいの？
Ｐ,うぉっ、いたのか？！。や、これはその、別にあの病気じゃないぞ。そうだなぁ、言ってみれば免許の更新だ
千奈美,はっきり言いなさいよ
Ｐ,献血
千奈美,……献血？
Ｐ,そう、献血。そろそろだな、ってさ
千奈美,説明して
Ｐ,へぇ。興味湧いたのか？
千奈美,……気紛れよ
Ｐ,さいで。コレ見れば分かるよ
千奈美,献血カード、ねぇ。あ、裏にいっぱい書いてある……
Ｐ,献血した回数とか、血液型とか。で、真ん中辺りにあるのが献血出来るようになる日なんだ
千奈美,それでそろそろ、なのね
Ｐ,あぁ、結構楽しみなんだよ
千奈美,ふーん……この10回っていうのは多いの？
Ｐ,かなり少ない方かなぁ。俺よりずっと若い子でもそれくらい……あぁ。塩見さん。あの子はよく行ってるみたいだ
千奈美,そう
Ｐ,反応が薄いな
千奈美,あの子はあなたの担当じゃないでしょ
Ｐ,それはそうだけどさ。趣味で顔を合わせたりしないのか？
千奈美,趣味の領域でまで他の子と会いたくないわ
Ｐ,負けず嫌いと人嫌いは違うぞ
千奈美,……違うわよ。それはそうと。このカードの赤色はいいわね
Ｐ,おっ、分かってるな
千奈美,じゃあ嫌いよ
Ｐ,冷たいな……。カードのデザインは変えることも出来る。俺は色合いが好きだからそのままなんだけどな
千奈美,あなた、カードホルダーまで同じ赤じゃない
Ｐ,そうだっけ？
千奈美,カードを取り出す時見せてたでしょ？。その色、この辺りで探しても売ってないのよね
Ｐ,ん、カードホルダー欲しいのか？
千奈美,……あなたには関係ないわ
Ｐ,探すならオフの日にでも手伝うよ
千奈美,嫌よ、あなたみたいな冴えない人は
Ｐ,センスならあると思うけどなぁ
千奈美,よく言えるわね
Ｐ,お前を見つけたこととか
千奈美,……
Ｐ,そう怒るなよ
千奈美,ふんっ。……で、それはネットで買ったの？
Ｐ,いいや、献血で貰った
千奈美,あら、こんな所に乞食がいるわ
Ｐ,やめろ、心が折れる
千奈美,乞食
Ｐ,やめて……
千奈美,で、どうして貰えたのかしら？
Ｐ,覚えてないなぁ。何回目かの記念だっけか
千奈美,貰ったっていうのに覚えてないのね
Ｐ,毎回だからな。いつも貰うのは洗剤なんだ
千奈美,ますます献血らしくないわね
Ｐ,マウスパッドとかカップ麺とかは時々だなぁ
千奈美,待って。本当に乞食じゃないの？
Ｐ,そう……だと思う
千奈美,いやに不安げね
Ｐ,他の人なんて碌に気にしてないからさ
千奈美,貰ってるのはあなただけだったりしてね
Ｐ,怖いこと言うなよ……
千奈美,面倒臭い男ね、冗談よ。でもカップ麺なんてあるのね
Ｐ,血液にはよくなさそうだよなぁ。んー、やっぱ人が足りないんだろうな
千奈美,それは献血する人ってこと？
Ｐ,そういうこと。輸血されるのは８割以上が50歳以上らしい
千奈美,少子高齢社会だものね
Ｐ,そ。それに血ってあんまり保たないんだ
千奈美,すぐ固まるってことかしら
Ｐ,多分そうだな。その辺りは柳さんが詳しいんじゃないかな
千奈美,柳？
Ｐ,あれ、会ったことない？
千奈美,また他人の担当の子の名前かしら
Ｐ,確かに俺の担当じゃないけどさ
千奈美,どうしてその子が詳しいのよ
Ｐ,元看護士だから
千奈美,……変わった人なのね
Ｐ,変わった人だよなぁ
千奈美,反復しないで気持ち悪い
Ｐ,……
千奈美,献血には何歳から行けるの
Ｐ,16歳から。19歳なら問題ないよ
千奈美,行くとは言ってないわよ
Ｐ,強いるつもりはないけどさ。でも若い人にはどんどん行ってほしいね
千奈美,赤十字の回し者みたいね
Ｐ,輸血を待ってる人がいるのは事実だろ
千奈美,う。……誤魔化さないで
Ｐ,誤魔化すって、何をだよ
千奈美,ドヤ顔
Ｐ,すまん
千奈美,でもそれならそもそもがおかしいじゃない
Ｐ,おかしい？また俺を貶すのか？
千奈美,そんなことしてたら一日が終わるわ
Ｐ,ひどい
千奈美,ああもう、脱線させないで。募集してるのにどうして日数を空けさせるのよ
Ｐ,あー、当初はなかったらしいな
千奈美,ならどうして
Ｐ,それは俺が色々貰えるのとも関係ある。元々、献血の対価は金だったそうだ。まぁ輸血って医療行為に貢献するなら妥当だよな。でもこれが問題になった
千奈美,？
Ｐ,分からないか？。それじゃ臓器を売るのと大差ないじゃないか
千奈美,……あっ
Ｐ,でも輸血を待ってる人は大勢いるよな。しかも血液は未だに人造出来てない。で、しょうがないから金じゃなくて粗品になった。日数を空けるのは抜き過ぎ防止なんだ
千奈美,そっか……。日付の横の200mlとか400mlっていうのは？
Ｐ,様式の違いかな。血漿と血小板を合わせて４種類だ。先ず数値の方。これはよく全血って言う。要するにそのまんま血を抜くんだ
千奈美,400mlって多いのかしら……
Ｐ,多いけど抜かれてもあんまり困らないぞ。立ち眩みを起こし易くなる、くらいだ
千奈美,意外に大したことないのね
Ｐ,その日に重い荷物持てなくなるのはまあ困るかな
千奈美,ヒョロヒョロのくせに
Ｐ,何を言うか、触ってみろ
千奈美,きゃっ。……あ、ホントだ……
Ｐ,献血の注射針は太いから血管の修復が遅い。その分だけ内出血し易くて……おーい
千奈美,何かしら？
Ｐ,そろそろくすぐったい
千奈美,へぇ
Ｐ,やめて。あと座って用を、ってこれは関係ないか
千奈美,あぁ、男はそうよね
Ｐ,用を足すと水分が抜けて血圧が変わるからな。ただでさえ血を抜いた後だから危ないんだ
千奈美,それを私に言ってどうするのよ。遠回しなセクハラかしら？
Ｐ,違う！違うからな！
千奈美,必死だとよりそれっぽいわね
Ｐ,違うんだよ……頼むよ……
千奈美,そう。ま、黙っておいてあげるわ
Ｐ,ちなみに200mlだと次回までの間隔が短い
千奈美,当然ね
Ｐ,実は日数換算すると200mlの方が多く献血出来る。でも400mlでの献血が推奨されているんだ。なんでもその方が輸血のリスクが小さいんだと
千奈美,あなたの血が入るリスクの方が大きいわ
Ｐ,俺を虐めて楽しいか？
千奈美,とても
Ｐ,気を取り直して。血漿や血小板っていうのは成分献血なんだ
千奈美,まさかそれだけを抽出するの？
Ｐ,ああ。デカいマシンでやるんだ
千奈美,へぇ、そんなことが出来るのね……
Ｐ,ただ時間は凄く掛かる。献血バスじゃ無理だ。献血ルームでなら多分出来る。血液センターなら間違いない
千奈美,ルーム……それは病院の中にあるの？
Ｐ,場所にもよるけど駅前ってことが多い。献血、って検索すると判るからやってみろ
千奈美,指図しないで
Ｐ,……じゃあ、気が向いたらでいいから。待つのが嫌ならルームの予約も出来る。全血の希望者を集めれば献血バスも呼べる。結構手軽にやれるもんだよ
千奈美,それは分かったけど。じゃあ何が楽しみなのかしら？
Ｐ,正直に言うと全血400までの待ち時間だな。大抵ＴＶも漫画も雑誌も新聞もフィギュアもある。そして菓子食べ放題で飲み物も飲み放題。アイスまで置かれてるルームも多いな
千奈美,矢っ張り乞食じゃない
Ｐ,……そうかも。いやいや、ちゃんと意味があるからな。さっき言った通り成分献血だと時間が掛かる。そういう人は予約しておかないとかなり待つ。で、時間を潰す必要が出るワケだ。無論、全血でも多少待つぞ。長いと二〇分くらい。漫画は大体どこのルームでも人気だな
千奈美,小さいラーメン屋と同じじゃない
Ｐ,大抵はワ○ピが最新まで全巻揃ってるレベルだ
千奈美,それは……凄いわね。ならお菓子と飲み物も暇潰し？
Ｐ,いや、血を抜くからそれを補う意味合いが強い。特に飲み物だな。待ってるとかなり勧められるよ。コーラもココアもコーヒーもオニオンスープもある
千奈美,随分と至れり尽くせりね。あなたみたいな人にも優しいなんて
Ｐ,みたいなって……。来る人拒まずなんだよ。でも例外はある。例えば北条さんは無理だな、多分
千奈美,何それ。病弱だったからかしら
Ｐ,まあな。過去に輸血を受けてそうだろ。輸血の経験があると駄目なんだよ
千奈美,今度は私が、と思って行っても……
Ｐ,ああ、粗品だけ渡されて帰ることになる
千奈美,……粗品はくれるのね
Ｐ,来る人拒まずだからな
千奈美,私は平気かしら
Ｐ,ケガの有無や病歴、海外の渡航歴なんかも条件になるぞ。気になるなら行く前に調べた方がいい
千奈美,概ね大丈夫だとは思うけどね。アイドルとして。注射痕はよくないでしょ？
Ｐ,相談してくれれば撮影は調整するぞ
千奈美,それに腕細い分だけ血管も細いもの
Ｐ,あっちもプロだから大丈夫だよ
千奈美,……痛い？
Ｐ,普通の注射よりは、多分
千奈美,……
Ｐ,……ルームの場所知らないだろ。一緒に行くか？。席が隣になると顔も見えるぞ
千奈美,行くっ
