このＳＳは、７６５プロＡＳと株式会社セガ・インタラクティブ,セガR&D1
小鳥,むっ…！っ…！
Ｐ,…。
小鳥,ああっ！？そんなところから！？
Ｐ,…。
小鳥,んなーっ！やられたぁー！
Ｐ,音無さん、あきらかに俺が森入ったのわかったでしょう？
小鳥,いやー…、イケルかなと思ったんだけどなぁ…。ｸｽﾝ
Ｐ,さ、今度は右レーンで待っててあげますからね
小鳥,クゥーっ！そんな安い挑発になんか乗らないんだから！
Ｐ,いやぁー快勝快勝！
小鳥,むむむぅ…今回はメンツが相性不利だったんですぅ！
Ｐ,味方のせいにするのは感心しませんよ音無さん
小鳥,ふーん、今回はたまたま運が良かっただけですー
Ｐ,まぁまぁ、気分が良いんでこれからご飯でもどうですか？おごりますよ
小鳥,えっ？…そ、それってもしかして？
Ｐ,？
小鳥,も、もちろん！おごられちゃいます！。ふぅ、ご馳走様でした
Ｐ,美味しかったですね
小鳥,そうですね、これでさっきの試合に勝っていれば尚美味しくいただけたのに…！
Ｐ,アハハ
小鳥,そうだ、プロデューサーさん
Ｐ,？…なんです？
小鳥,このワンダーランドの世界なんですが、結構可愛い子が多いじゃないですか？
Ｐ,まぁ、そうですね。魅力的なと言ったら良いでしょうか
小鳥,この音無小鳥、妄想には少し長けていましてね？
Ｐ,これから音無さんが何をしたいか何となく予想ができましたよ
小鳥,あ、そうですか？
Ｐ,７６５の皆をワンダーランドの世界に当てはめたら～とか言いたいんですよね？
小鳥,正解！さっすがプロデューサーさん！
Ｐ,しかし、面白そうな話ですよね。何度かワンダー雑談をしていますしね。
小鳥,そうでしょう、そうでしょう！
Ｐ,ちなみに小鳥さんはどうお考えですか？
小鳥,ふっふっふ、まずは小手調べ春香ちゃんから！
以下表記,[]内は値
春香,シュネーヴィッツェン
Ｐ,春香はシュネですか、まぁ妥当ですね。メインキャストであるサンドリオンとも思いましたが
小鳥,髪型やリボンが特徴的ですもの！どちらかというと春香ちゃんはシュネ寄りかなーと思って
Ｐ,技名も凝っているんだなぁ…。これ対面したらどうなるんだろ…。ムッ、対面は春香か！
春香,あ！プロデューサーさ～ん！奇遇ですね～！
Ｐ,あー気をつけろよ春香、そんなに突っ込んでくｒ
春香,わぁっ！
Ｐ,イッテェ！！。有り得るなコレ…
小鳥,さぁ、では次は千早ちゃんにしましょうか！
Ｐ,千早かぁ…。あまり想像できないな。
千早,ロビン・シャーウッド
視界,ミニマップ上で敵が表示される範囲
スリープ,行動不能、味方キャストが触れると解除
ブラインド,ミニマップ非表示
Ｐ,ほーロビンですかぁ～。いや確かに似合いますね
小鳥,でしょうでしょう！
Ｐ,それなら千早にはアレ、言って貰いたいですね。
小鳥,あ、アレですね？
Ｐ小鳥,必ず仕留める！！
Ｐ,ですよねー！
小鳥,そうですねー！
Ｐ,ロビン千早か…。これは厄介そうだぞ。アレー、相手方のアタッカーが見当たらないぞ？。まぁその分、楽に塔は折らせてもらうかなーっと。イッテェ！…少し、遊び疲れちまっタナ…
千早,ふふ、修行が足りませんよプロデューサー
小鳥,次はどうしましょうか？
Ｐ,うーん。律子とかどうです？律子と言えば…
律子,スカーレット
小鳥,やっぱりスカーレットちゃんですよね！同じメガネ属性持ちの！
Ｐ,そうですよね、他にも律子に似合うキャストはいるんですが、やっぱり属性でこうなりますよね
小鳥,素晴らしいですプロデューサーさん！
Ｐ,しかし技名ふざけすぎたか？これだと…。アレー、またしても相手方のアタッカーが見当たらないぞ？。まぁその分、兵士処理は楽にやらせてもらうぜーっと
律子,こらー！！
ﾄﾞﾁｭﾝ,ｽﾀﾝ
Ｐ,うあっ…！律子！？森から！？
律子,プロデューサー？すこーしオシオキが必要みたいですね？
Ｐ,あ…あぁ…
律子,覚悟してくださいねー！！
Ｐ,…少し、遊び疲れちまっタナ…
律子,ふぅ、さて次は誰をセッキョウしようかしら
Ｐ,無残にやられた俺の姿があった
小鳥,私も妄想してみましたが、ボコボコにやられました
Ｐ,…き、気を取り直して次行きましょう！ほら、やよいとかどうですか？
やよい,温羅(うら)
自身のスピードと攻撃力と防御力が大幅に上がり、硬質化,やられ発生なし
Ｐ,これはまた…。もっとこう…ミクサちゃんとかいたでしょう？
小鳥,いえプロデューサーさん、やよいちゃんは温羅(うら)よ！
Ｐ,えぇー…
小鳥,もちろん、身体はやよいちゃんのままで大暴れしてほしいわ！
Ｐ,え、えぇ～…。予想外だ…こんなやよい…
やよい,あ、プロデューサー！おはよーございまーす
