ぷちコレあたりの時間軸です。,イベントとかなんとか
麗奈,服を買いに行くわよ！
紗南,え？なんで二回言ったの麗奈ちゃん
麗奈,あんたの反応がうっすいからでしょ！？
光,麗奈……急にどうしたんだよ？
麗奈,あのね、あんたら……。服…………お母さんに買ってもらってるでしょ？。やっぱり！全く……
紗南,べ、別に全部が全部じゃないよ？ほら！あたしの場合こういうのってレアだし！(ゲームプリント
麗奈,ふーん……どこで誰か買ったのかしら？
紗南,……あ、あたしが見つけた！
麗奈,へぇ……買ったのよね？
紗南,……………………プライズでした
光,へー！服のプライズなんてあるんだな！知らなかった！
紗南,あるんだよー！今度光ちゃんもいく？あたし、クレーンなら得意だし！
麗奈,だーもう！違うでしょ！？紗南！あんたそれただのゲームの景品じゃない！
紗南,景品でも服だよ！？お金かけて取ってるし！買ってるようなもんじゃん！
麗奈,ゲームのおまけでしょうがアンタの場合！しかも絶対サイズとか見てないでしょ
紗南,まぁ……着れるし？
麗奈,論外！次！光！
光,あたしは……まぁお母さんにまかせっきりというか……
麗奈,まぁそうだろうと思ってたけど。でも光、今度ファッションショー出るのよね？
光,あぁ！クラリスさんと一緒に！楽しみだよ！
紗南,ぷちコレはいつもと違う感じの衣装だからねー、二人とも楽しみだよね！。気にしないで
麗奈,ともかく！ファッションショーに出るのに自分で服も買ったことないとか、ダメに決まってんでしょ！
紗南,そうかな？初めての背伸びってイメージなんじゃないかな？光ちゃんっぽい気がするけど
光,聞いた話だとお淑やかにしないといけないらしいから……クラリスさんと秘密の特訓するんだ！
麗奈,……お淑やかとか(ﾎﾞｿｯ
光,なんだよ麗奈ー！笑うんじゃない！これはお仕事なんだぞ！
麗奈,いや、だからこそでしょうが！だからこそ服を少しは知りなさいよ！
紗南,そんな必死にならなくても……光ちゃんならパーフェクトにこなしてくれるって！
麗奈,あのね、紗南。さっきアンタが言ってた初めての背伸び
紗南,何？それっぽくていいかなと思ったんだけど？
麗奈,中学2年生が初めての背伸びしちゃいましたってどうなのよ？……痛くない？
光,え？そんなことなく……あれ？
紗南,んー……どうだろ…………
光,……なんか恥ずかしいな
麗奈,その意識があっただけいいわ
紗南,それはそれで需要ありそうだけどねー
麗奈,それに！私達が今後活動するにあたって！イベント後の初仕事のアンタにこけてもらっちゃ困るの！
紗南,そっか、ついにユニット組んだんだもんねー私達
光,イグニッションZERO……うん、カッコイイユニット名だよな！
麗奈,そうよ！だからこそ、光がこのファッションショーで無様なトコロを見せようものなら……
紗南,見せようものなら？
麗奈,イグニッションしないでゼロになってしまうのよ！
紗南,……………
光,…………
麗奈,…………。……何か言いなさいよ
紗南,うん、そうだよね、ゼロになるよね優しい目
光,ごめん麗奈。そうだよな、イグニッションしないとダメだよね
麗奈,う、ウルサイ！
紗南,まぁ麗奈ちゃんの言い分はよくわかった。実際そんな気もしてきたかも？
麗奈,そう？紗南にしては珍しいじゃない
紗南,あたしのことなんだと……いや、行くならあのショッピングモールかなって
麗奈,近場で言うと……多分そうね？
紗南,光ちゃんと麗奈ちゃんで服選んでる間、あたしはゲーセンにいるから！
光,いや、紗南も探すんだぞ！？
紗南,なんで！？
麗奈,そこでホントに驚いた顔するんじゃない！
紗南,……わかったよ。光ちゃんの服をぱぱっと探してゲーセンに……
光,そうだな！服を見つけたらすぐおもちゃ屋に……
麗奈,……アンタたちねぇ……服のこと覚えるために行くんでしょうが！
紗南,えー、だってどうせそんな服を詳しく見ないよ？
光,あたしたちよくわからないしなぁ……麗奈もそんなにわかるわけじゃないだろ？
麗奈,そこは、ほら。この服かわいい……とか………
光,麗奈？
紗南,どうしたの？
麗奈,いや、アンタらがキャピキャピ服を選んでるとこ想像したら……笑えてきたわ
紗南,ちょっ！？さすがに酷くない！？いくらあたし達でも！
光,そうだぞ！？あたし達だってもうちょっと大人になったら……
麗奈,なったら？
紗南,……………………………しないね！
光,どうしよう……自分でも浮かばなかった……5年後のヒーローのこと考えてた……
麗奈,自覚あるなら直しなさいよ二人とも……
P,で？
麗奈,車出しなさい！
P,いや、俺仕事中なんだけど……
光,あれ、そうなのか……それなら歩くか？
紗南,真壁ちゃん取れそう？
P,あぁ、アナザー衣装までバッチ……リ……
紗南,車、出して？
P,HAHAHA何言ってるんだ紗南、今は仕事中ダゾー？
紗南,学校の校舎凄いよね？
P,そうだなー、お前らイグニッションZEROのMVが捗っ……て……
紗南,出せるよね？
P,……はい
麗奈,さぁ紗南！光！いくわよ！
紗南,うん！じゃあアプデあったらしいから行ってくる！
麗奈,じゃあアタシは新しいイタズラの素材を……ってそうじゃない！
光,そうだぞ麗奈。あたしたちは服を買いにきたんだ！
麗奈,何よ急にやる気になって……なんかした？
光,なんかいろんな服が並んでるとこ見たらさ！次のお仕事楽しみになってきた！
P,お、マジか。3人共頑張ってくれよ。……俺は帰るから
麗奈,何言ってるの？帰りも送るのよね？
P,ウッソだろ……？いやまぁ……いいけどさ？ちひろさんへの言い訳、付き合えよお前ら
紗南,Pさんはフードコートで休んでるってさ
光,よっし、いくぞ二人とも！
麗奈,なんか急にやる気出されるとこっちが……
紗南,まぁまぁ、そんな天邪鬼しなくてもいいじゃん？テンションゲージって大事だよ？
光,紗南はどうするんだ？結局ついてきてくれるの？
紗南,まぁねー気が変わったかな、得意ジャンルじゃないけど、今回はミラクルヒカリって感じで！
麗奈,知識あるんじゃない……
紗南,いや、ほら。ゲームと実際のは違うというか……自分の服には……ね？
光,よしっついたっ！……で、どうしよう？
麗奈,先導してたのにノープランなのね……。まぁ光らしいけど
光,どういうことだよ！とりあえず……合う服を選ばないとな！
紗南,そうだねー。あたし光ちゃんと服の趣味近いし、力になれるかな？
光,大丈夫だ！紗南の選んだ服ならあたしは着こなしてみせる！
麗奈,いや、アンタら。いつもと違うのを買うって話でしょうが
光,そうだった……んー……なんだろうな？
麗奈,光のイメージっていうと……
光,……(ｺﾞｸﾘ
紗南,短パン
麗奈,いっつもTシャツになんか羽織ってるだけよねあんた
光,ひっ、否定できない……
紗南,まぁアレだよね、Tシャツと上着は別に買ってて、その場のノリで着ちゃう感じの
麗奈,わかりやすい親が服買った場合のパターンよね。着回しできるように
光,べ、別にいいだろ！？いろんな組み合わせでベストマッチしたりフュージョンアップするんだから！
麗奈,まぁいつもの光のイメージはわかってるし、それと違うのを選べばいいんでしょ？
紗南,いつもは結構ボーイッシュだから……反対は……
光,ガーリック？
麗奈,ガーリッシュね
紗南,ガーリッシュ……っていうと……
光,Cuアイドルのみんなみたいな感じかな？
麗奈,そんな感じじゃない？それなら割と浮かぶんじゃない？
紗南,そうだね、ここ結構広いし……そうだ！
光,どうしたんだ紗南？なんか面白そうな
紗南,光ちゃんだけ着る役もつまんないだろうし、ゲームしよう！
麗奈,は？ゲーム？
紗南,ほら、だって今日は光ちゃんのファッションのためなんでしょ？それなら着るだけなんてダメだよ！
光,確かに。服の良さもわからないとダメだよなぁ。ということは紗南。もしかして？
紗南,うん！お互いに服を選びっこしようよ！
麗奈,なんかすっごい急に女の子し始めたわねアンタ
紗南,ルールは簡単！相手に着せたい服を持ってきて、みんなでそれを来て一番似合う服を選んだ人が優勝！
光,着せる相手は自由なの？
紗南,その辺はせっかくだし二人分選ぼ？制限時間は1時間！ね？麗奈ちゃん？
麗奈,……まぁいいわ！アンタらに負けるレイナサマじゃないことを思い知らせてあげるわ！
光,お、やる気だな麗奈！あたしも負けてられない！二人に合う服を選んでやるさ！
麗奈,紗南、正座
紗南,えっ
麗奈,え、じゃない！？あんた今回のコンセプトは！？
紗南,相手に着てほしい服選び……だよね？
麗奈,合ってる、あってるけど！あぁもう！紗南がゲーム提案した時点でわかってたわね……
紗南,心外！あたしのことなんだと思ってるのさ！
麗奈,その言葉は自分が持ってきた服見てから言いなさい！。まず紗南、それは？
紗南,え？可愛いでしょ？いやぁこんなとこに売ってるなんて……
麗奈,そうね、カワイイ系よね。わかるわ。すごくわかるわ
光,どうしたんだ麗奈。いきなり川島さんのマネなんて？
麗奈,そりゃそうよ。だってね。それ私が魔法少女やった時の服でしょうが！？
紗南,あはは……レアアイテムかなって
麗奈,レアだけど違うでしょう！？服だって言ってたでしょ！？
