夏樹,ったく、だりーはいつまで経ってもにわかだなぁ
李衣菜,もぉ～～！なつきちってば！
文香,………。はぁ………
Ｐ,どうした文香、そんな溜め息ついて
文香,あっ、プロデューサーさん………
Ｐ,何か悩み事でもあるのか？
文香,い、いえ………別にそんなことは………
Ｐ,そうは見えなかったぞ？ほら、遠慮せずに言ってみなって。俺はお前のプロデューサーだ。どんな悩みでも聞いてやるぞ？
文香,プロデューサーさん………。いえ、本当に大したことではないんです。ただ、多田さん達が羨ましいなと思っただけで………
Ｐ,うん？。どういう意味だ？
文香,多田さんや木村さん達みたいに、仲のいい親友みたいな存在が羨ましいなと思いまして………
Ｐ,何を言ってるんだ。友達ならお前にだってたくさんいるだろう？。事務所の仲間達がそうじゃないか！みんなお前のことを友達だって思ってるはずだぞ？
文香,確かに、事務所のみなさんには、とてもよくしてくれています………でも。言い方が悪いかもしれませんが………友達ではありますが、親友と言う程の関係ではないと思うんです………
Ｐ,あー……そう言われると、そうかもしれんかなぁ………。いや、待て！お前にはありすがいるじゃないか！。数々のユニットで一緒になった仲のありすがいるじゃないか！。公式でも推されてる感もある、正に大親友という間柄じゃないか！
文香,確かに、ありすちゃんとはとても親しいですけれど。でも、それは妹のような存在で………親友とは呼べないのでは………
Ｐ,確かに歳離れてるしな………
文香,ご存知かと思いますが、私は昔から気が弱くて、引っ込み思案な性格で、いつも部屋の片隅で本ばかり読んでいました
Ｐ,ん？急にどうした？
文香,だから、あだ名で呼び合うような親友なんて、私には一人もいなかったのです
Ｐ,ああ、そうか………俺も友達多くなかったから気持ちわかるな
文香,だから子供の頃から、ずっと孤独でしたから………親友という存在に、憧れを抱いていたんです。なので、多田さん達が本当に羨ましいです………あんな親友は、私にはいないから………
Ｐ,………。あだ名で呼ぶ親友か………。――よし！。ふーみちゃん♪
文香,えっ！？
Ｐ,今度一緒に、遊びに行こうぜ―――っ♪
文香,！！！！
Ｐ,はははっ、なーんちゃｔ
文香,本当ですか！！プロデューサーさん！！
Ｐ,えっ！？
文香,いつ！いつですか！？いつ遊びにいきますか♪
Ｐ,えっ、いや、あの………
