モバP(以下、P),参ったな・・・
未央,どうしたのプロデューサー？
卯月,大きな段ボールがたくさんありますね
凛,プロデューサー宛の荷物？
P,うん、まぁ・・・俺の実家から届いたものなんだけどさ
未央,へぇ～！なになに、お土産とか？
P,いや俺の私物
未央,へ？
P,前々から実家にある私物を持って行けって言われてたんだけど中々実家の方に帰れなくてさ。それでお袋が業を煮やして直接送ってきたんだろうな
凛,でも何でプロデューサーの私物が事務所に届くの？
P,俺最近引っ越したろ？親に住所教えるの忘れてたんだよね
未央,えぇ・・・しっかりしなよ
卯月,あはは・・・
P,こんなにたくさん一気に持って帰れないし・・・仕方ない分割して持って帰るか
未央,結構色々あるねー・・・・あ、中学の卒業アルバムだって！
卯月,あ、本当ですね！
P,こらこら、人の物を勝手に漁るんじゃない
未央,ちょっとだけ見せてよ！ね！？
P,・・・別に面白い物なんかないぞ
未央,いやいや～、中学生のプロデューサーとか激レアでしょ～・・・何組？
P,もう忘れたよ
卯月,あっ！この人じゃないですか！？
未央,おぉ！・・・・ぷふっ！あはは！プロデューサーちっちゃい！
P,わ、笑うな！中学生の頃なんだから小さくて当たり前だろ！
卯月,わぁ可愛い～♪
凛,うん・・・///
未央,ゴメンって～、でも見慣れた大人の子供の頃の写真ってなんか面白いじゃん？
P,見せるんじゃなかったよ
未央,さて、他にプロデューサーが映ってるのはないかな～。ん？何か落ちた・・・
卯月,お手紙みたいですね・・・P君へ○○より？
P,そ、それは！
卯月,あれ、これってもしかして・・・
未央,ラブレターだぁ！！！。○○さんだって！どのクラス！？
P,ほらもういいだろ！返しなさい！
凛,いたよ○○さん
未央,しぶりん早い！
卯月,すごく綺麗な人ですよ！
未央,こんな可愛い元カノがいたなんてプロデューサーも中々隅に置けませんなぁ～
凛,・・・
P,・・・元カノなんかじゃないって
未央,あ、そうなの？
P,隣の席の人に自己紹介の手紙を書くっていうのがあって、それで貰っただけだ
未央,なーんだ
凛,
卯月,でも手紙を残してるという事は・・・
P,・・・。昔の話だ
未央,おやおや～？
P,もういいだろ
未央,告白とかはしなかったの？
P,。してない、というかできなかったな。○○さんはみんなの人気者でいわゆる高嶺の花ってやつだったから。俺みたいな平凡な男子なんかじゃとてもとても。それで結局サッカー部のキャプテンと付き合ったんだっけかな
