湊友希那,初秋の風が撫ぜる歩道橋
友希那,めっきり冷え込んだ夕闇の風。今日も今日とて、今日が過ぎゆき陽が沈む。いつ終わるとも知らないけれど、今日が確かに終わっていく。ただなんとなく立ち止まった私は西の彼方の稜線へ視線を送る。地方都市と呼ぶのも憚られる関東の片田舎。歩道橋から望むその街の寂れた景色は郷愁を呼び起こし、空っぽな私の胸を容赦なく殴りつけてくる。生まれた街の景色と、数多くの美しき思い出と、それらを共にしたかつての仲間たち。それと、誰よりも何よりも多く、私の中に存在する幼馴染の影。どんなに手を伸ばしたってもう二度と届かないそれらが、私を完膚なきまで打ちのめす。その途方のない寂しさと後悔に立ちすくむ。どれほど強く願っても消えてくれないそれらが私の足にまとわりついてきて、動けなくなる。そのままどれくらい経っただろうか。歩道橋の下を通り抜ける車の数を数えきれなくなったところで、ようやく私の足にまとわりつく幻想は消えてくれた。空はもう暗い色で塗りつぶされていた。ため息を吐き出して、私はひとり、家路と消すに消せない思い出を辿る。何がいけなかったのか。誰が悪かったのか。頭の中に呼び起こすのはこれで何百回目かの悔悟。大切な幼馴染がいて、大切な友達がいて、大切な夢があって、大切な日々があった。しかしそれは３年前に脆くも崩れ去った。原因はなんだったのか、なんて、まるで他人事みたいに考える。この思考こそが過ちであって、私が今こうして独りでいる原因なのだ。当たり前に続くと思っていた。何があったってリサはリサで、みんなはみんななんだ。私はただ愚かしくそう思い続けていた。あこが出て行った理由を、燐子が声を振り絞った理由を、紗夜が諭してくれた理由を、リサが何も言わなかった理由を、考えようともしなかった。独善的な思考に縋り、ただ自分が思うように、信じるままに進めばいいんだと自分勝手に思い込んでいた。だからだろう。ロゼリアがロゼリアでなくなってしまったのは。険峻な坂道ほど登るのは大変で、転げ落ちるのは早いものだ。気が付いた時には全部が手遅れで、私とかつての仲間たちが一つの場所に戻ることはなかった。それでも愚かな私はそれでいいんだと思っていた。信じた道を進んだ結果だから、と無理矢理納得した振りをしていた。その気持ちもすぐに崩れ去った。どんなことがあったって傍にいてくれる、と。ただの傲慢でしかないその思考で接していた幼馴染に別れを告げられたからだ。何がいけなかったのか。誰が悪かったのか。その問いに向き合った時にはもう手遅れだった。全部が終わってしまっていた。もう少しだけ、あとちょっとだけでも早くそうしていれば。そんな後悔を重ねているうちに、私はひとりぼっちになっていた。輝かしい思い出は姿を変え、悪夢となって私の心を責め立てる。全部お前のせいだと夜な夜な枕元でがなり立ててくる。外を歩けば思い出の残滓がいたるところに垣間見えて、立ちすくんでしまう。だからもう、あの街にはいられなかった。高校を卒業すると、私は遠い県外の大学に通い、そこから電車で２０分ほど離れた賃貸マンションで一人暮らしを始めた。寂れた街に不釣り合いな５階建ての１ＤＫ。そこと大学と、あとはアルバイト先を行ったり来たりするだけの生活だ。情熱も希望も何もない、空っぽの生活だ。それも仕方のないことだろう。湊友希那という存在はあの日から……何よりも大切だった幼馴染に別れを告げられた日から、ただの抜け殻になってしまったのだから。拠り所だった歌も音楽も、今ではどうしようもない悔恨を煽るだけのものでしかないから、意識して避け続けている。大学でも誰とも話すことなく、ただ流れ作業のように講義を受講する。そしてかつての幼馴染との記憶に縋るように、コンビニでアルバイトをする。ひとりの部屋に帰れば、ただぼんやりと時間を潰し、床につく。陽が昇れば、決まった時間に起きて決まった時間に家を出る。まるでリビングデッドのように、事務的に日々をなぞるだけの生活だ。最初は辛かった。けど、半年も経つ頃には楽になった。きっとこれは罰なんだ。自分勝手に大切な人たちを振り回し、傷付けた罪を償っているんだ。そんなどうしようもない現実逃避を胸中で呟くようにしてから、楽になれた。こんな私でもまだみんなと繋がりを持てているような気持ちになれて、大きな申し訳なさと寂しさと一緒に、ほんのわずかな嬉しさを感じられた。けれどふとした時に蘇る本当の思い出は容赦なく私の心を嬲った。その痛みのやり過ごし方も少しずつ分かっていった。それから１年が経った現在。湊友希那の１９歳の秋は、そうやってなんとなく過ぎている。……ただいま。もうとっくに陽は沈んでいた。真っ暗な部屋に帰ってきた私は小さく言葉を吐き出す。今日言葉を吐き出したのはこれで何度目だろうか。右手の指を４本上げたところで、虚しくなったから考えないことにした。バイトが無ければそんなものだ。気にすることでもない。部屋の明かりを点ける。ガランとしたダイニングキッチンには小さなテーブルと椅子が一脚、それと背の低い食器棚と最低限の家電しかない。もう見慣れた室内だ。手にした鞄をテーブルの上に乗せると、私は隣接した７帖の寝室へ向かう。扉を開けると、小さな光がすぐに目に付く。ちょうど１年前ほどになんとなく始めたアクアリウム。２０センチキューブ水槽のライトだ。水槽の右奥に配置した流木と申し訳程度の有茎水草。その隙間から水槽の唯一の生体であるゴールデンハニードワーフグラミーがふよふよと顔を覗かせている。……ただいま。今日５個目の言葉をグラミーに向かって投げかけてから、水槽の傍らに置いた人口餌を一つまみ、水面に落とす。グラミーは触覚のような腹びれを伸ばしてせかせかとこちらの方へ泳いできて、水面に浮いたエサを口にする。その様子を見て、私は今日もここにいる理由を見つけられたような気分になって、少しだけ安心した。それからいつものようにどうしようもなく虚しくなった。その気持ちを無視して、部屋の明かりは点けないままベッドに腰かけて、小さなライトを頼りにしばらくぼんやりと水槽を眺める。外掛けフィルターから流れる水が水面を揺らしていた。それに反射したライトが天井に光の波を映し出している。綺麗とは思わないけれど、心が少しだけ楽になったような気がした。どれくらいそうしていたか分からなくなったころ、私のお腹の虫が鳴き声をあげる。寝室の明かりとテレビをつけて、扉は開けたままダイニングへ戻る。今日の晩御飯は何を食べようか。少し考えて、すぐに面倒くさくなったから、冷凍庫にしまってあった冷凍うどんをレンジで解凍した。それをプラスチックのどんぶりに移して、生卵を落として醤油と白だしをかける。全く手間のかからない釜玉うどん。寝室からはテレビのバラエティー番組の音声だけが聞こえてくる。シンとした場所にいると、どうしても、どうしようもないことばかりを考える癖がついてしまっていた。その癖といつまでも拭えそうにないネットリとした寂しさを誤魔化すために、私は部屋にいる時は大抵見もしないテレビを点けていた。私とは遠い世界の笑い声。それを聞きながら、簡素な晩御飯を食べる。食べながら、人間は現金な生き物だとぼんやり考える。寂しくても辛くても虚しくても、お腹は減るし眠くもなる。つまり身体は生きたいと言っている。きっともっと大きな絶望の中に落とされればそんなこともないんだろう。死にたがる心が生きたがる身体を制して、ゆっくりと朽ち果てていくんだろう。だから、大切だったはずのモノたちは、私にとってただそれだけの存在だったんだ。生きたい。死にたくない。それだけの欲求を覆すこともなく、全てを懸けてもいいと思えた青春の日々は私にとってそんなものでしかなかったんだ。…………。箸を止めて、打ちひしがれた様に天井を仰ぐ。……何度目だろう。自分を、湊友希那という存在を消してしまいたいと思ったこの思考を浮かべるのは。かつての大切な人たちの何もかもを否定することを考えてしまって、いっそ世界が終わってしまえばいいと思ったのは。その回数を数えるのも億劫だし、取り返しのつかない自分の愚かしさを考えるのももう面倒くさい。つまるところ、私はただ私が一番大切なだけだ。綺麗な言葉で繕った建て前。それをはがしていけば、結局行きつくどん詰まりはちっぽけなそれなんだ。昔から何も変わらない。変わっていない。変わることはない。だからこそこうなったんだ。……寝よう。６個目の呟きを吐き捨てて、重い足取りでどんぶりと箸を流し台おいて水に浸ける。シャワーは明日起きてからでいい。今日はもう、夢の世界へ逃げてしまおう。寝室でスルスルと力なく部屋着に着替えると、テレビと明かりを消して、水槽のライトをタイマーごと切って、私はベッドに身を横たえた。時間はただ流れる。空っぽな思考で空っぽな身体を動かして、湊友希那は変わらない日々をなぞっていく。朝起きて、電車に乗って大学へ行って、週３、４回アルバイトをして、また１ＤＫに帰ってくる。休日は溜まった洗濯物なんかを片付けて、水槽の水換えをして、空虚な笑い声が響く部屋でぼんやりと過ごす。何も変わらない、何の変哲もない日常をただ事務的に塗りつぶしていくだけ。きっと大学を卒業するまでそうしていって、その先のことは知らないし考えたくもない。出来ることならかつての思い出に似た幸せな夢を見続けていたい。醒めないその夢を見ながら、ずっと眠っていたい。そう願っても私はスマートフォンの無機質なアラームに毎朝たたき起こされて、現実というものをまざまざと目の前に突き付けられる。それに悪態をつくことももうしなくなった。生きるということはそういうことなんだろう。無駄に賢しくなった私はそう思うようになったから。アルバイトをしているコンビニは、大学から歩いて３０分強、駅からは２０分ほどの場所にあった。私の１ＤＫがある場所よりは幾分マシな街の片隅、そこそこ大きな道路に面した駐車場の大きい田舎のコンビニだ。かつての幼馴染の面影をどこかに見出せるかもしれない、なんていう未練がましい気持ちだけで始めたバイト。第一に実感したことは、リサがどれだけ大変な思いをしていたか、そしてそれを小さじ一杯ほども理解しようとしなかった自分の配慮の無さ。バンドにバイトに部活動。そのどれもに精力的だった彼女の苦労や苦悩、それを一度だって私は本気で考えただろうか。答えは否だ。ただロゼリアとしての今井リサだけを目にして、私の理想を自分勝手に押し付け続けていただけ。誰よりも優しい彼女に甘え続けていただけだ。今さらそんなことに気付いてより虚しくなったことを鮮明に覚えている。それでも。私は馬鹿な人間だ。もう何もかもやり直せないのに、ただただ虚しくなるだけなのに、未だに彼女との思い出に縋っている。こんなことをしていたって何も変わらないのに、それでもふとした時に不意に幼馴染の影が見えるような気がして、それに空虚な喜びを感じられる。……そんな理由だけでバイトを続けていた。接客業だが、私はいつも必要なことだけを話して人に接している。ただ事務的に人に接している。そして胸中に想起した記憶の都合のいい部分だけを愛でて、自分の中に籠っているのだ。そんなどうしようもないことを重ねているうちに、今年もいつの間にか夏が終わっていて、金木犀の香りもしなくなって、気が付いたら１０月になっていた。私がバイトをしているコンビニに新人の女の子が入ってきたのはその頃だった。近所に住む高校１年生の女の子。少し緊張したような面持ちであるものの、さっぱりと肩口で切り揃えられたショートヘアーやぱっちりとした大きな瞳から明朗さを感じた。その女の子は私と同じ時間のシフトに入ることが多く、歳も近いということもあって、店長は教育係に私を任命した。それにただ事務的に頷いて、彼女にやることを淡々と教える。思い返してみると、今まで私がこのコンビニで一番の新参だった。こんな私でも人の面倒をみることになるなんて、と思うと、世話焼きな幼馴染に近づけたような気分になって、少しだけ嬉しくなった。１週間も経つと、すっかり彼女は打ち解けた様子で、バイトの暇な時間に声をかけてくるようになった。見た目通り明朗快活な少女だ。コロコロと表情を変え、愛想よく、あるいは不測の事態にアワアワと慌てる様子は見ていて飽きない、と評されるものだろう。お調子者とも言えるその明るさのおかげか、他の従業員や常連のお客さんともすぐに仲良くなっていた。まるで私と正反対な子だ。……別に、大学から近かったからよ。そんな彼女へ、私はいつものように、小さく呟くように言葉を返す。ええ。……さぁ。多分そうなんじゃないかしら。…………。あなたはどうしてなの。……そういう性分だから。正直これっぽっちも興味はなかった。どうしてか私に懐いている様子だけど、彼女だって仲良くしたところで、近い将来すぐに別れるだろう人間だ。そう思っていた私の心は、続けられた言葉に強く波立つことになる。……っ。頭の中にグワングワンとディストーションをかけた不協和音が反響していた。私があの日から頑なに避け続けてきたことを、目の前の彼女は明るく輝いた表情で楽しそうに語る。次から次へと紡がれる言葉の数々が私を殴りつけてくる。でも大丈夫だ、その痛みのやり過ごし方ならもう知っている。ただジッとして、いずれ痛みが去るまで堪えていればいい。それでいいんだ。じきに私の弱い心だって痛みに慣れてくれるから。……そう。一通りまくし立てる様に、いつの間にか夢やらなにやらまで語った彼女に小さくそう返す。その眩いばかりの姿と言葉に心が張り裂けそうだったけれど、この子は何も悪くない。悪いのは全部私だ。いつかの別れも今抱えている空っぽも、全部私のせいだから。……頑張って。なんと言うべきかかなり悩んでから、私は短く応援の言葉を吐き出す。それを聞いた彼女は、やっぱり眩い表情で強くそう言うのだった。どうしようもない時間の最小単位も、積み重なっていけばやがて月日となって齢となる。時計を止めたところで朝は訪れるし、サンドグラスをひっくり返したところで昨日はやってこないし、ただただ時間は零れ落ちていくだけだ。青春とはなんだったろうか。過ぎ去ったら何が残るんだろうか。かつての熱情とかけがえのない日々はどこへ行ってしまったんだろうか。そんなことを考えて悩むような歳はとうに通り過ぎた。すべて幻めいて終わってしまうものだ。そう割り切ったんだ。今日も今日とてバイトの暇な時間に、彼女はおどけた調子でそんなことを言っては歌を口ずさんでいる。彼女の夢に打ちひしがれてから１週間。もうその痛みにも慣れた私は、耳にしたことがあるその歌を聞き、口を開く。……半音高いわよ。言ってからしまったと思う。音楽のことも歌のことも、もう目にしないし触れないつもりだった。それでも彼女と接しているうちに、心をぐちゃぐちゃにかき回す感傷にも少し慣れてしまっていた。だから思わず気になったことを喋ってしまったのだろう。バツが悪くなって彼女から目を逸らすけど、この子はそれを見逃してくれるような性格じゃないのはここ２週間で痛いほど身に染みていた。……ええ。…………。なんて言うべきか分からず、小さく口の中でまぁ。……昔に少しだけ、ね。今はもう……だから。私の言葉は意に介さず、彼女はそう言ってまとわりついてくる。元から人懐っこい性格をしていると思うけれど、どうしてか私には更に馴れ馴れしいというか、懐いている。その様子がいつかの星に憧れていた後輩や無垢に慕っていてくれた仲間の面影を脳裏に呼び起こして、胸がジクリと痛んだ。けど、非があるのはどう転んでも私だ。そんなことをこの子に分かれ、などと思えるはずがない。私は諦めるように頭を振ってから、小さく息を吸い言葉を吐き出す。あなたは元から……声が大きく高いわ。……もっと力を抜きなさい。ふざけて歌っている今でも喉に力が入り過ぎているわ。もっと意識を身体の中心……お腹の方へ持ちなさい。そう言って、彼女は胃の辺りを手で押さえる。もっと下よ。腰の辺り。そう。意識はそこに持っていって、肩の力は抜きなさい。喉の力を抜く、といきなり言われても難しいでしょう。……ええ。私が相づちを打つと、彼女は肩をぐるぐると回してから両手を腰のあたりに置き、スッと息を吸い込んでもう一度歌を口ずさむ。これはなんの歌だっただろうか。いつ以来とも分からない、自ら進んで歌を聞くという行為。日常生活において歌や音楽を耳にしないということは難しいことだ。テレビやラジオ、お店なんかの有線放送で流れてくるものはどうしたって耳に入ってくる。だから私はそれらを違う世界のものだと思いこむようにしていた。大学や電車の中では誰かの口ずさむ歌が聞こえないように、何も流していないイヤフォンをつけて歩く癖がついていた。歌や音楽。それは湊友希那とは関係のない、遠い誰かが勝手に流す雑音。そう思い込んで、自分自身を守ってきた。私にとってはただの音の塊。私には関係ない。私の心を波立たせて、悲しくて虚しくて寂しくて涙を落とすこともしない。もう割り切ったんだ。不完全な青春を終えて、不完全な夢はあっけなく打ち砕かれて、不完全な挫折の末に、不完全なりにも大人になったはずなんだ。……なのに。……正直に言えば、まだまだ全然ね。きちんとお腹から声が出ていないし、音程をうろ覚えな箇所が多すぎるわ。でも……素敵な歌声ね。眩しすぎる彼女からは目を逸らして、私はポツリと小さく声にする。バンドを始めたばかりの高校１年生。技術的な面で言えばただの素人の頼りない歌声。プロなんかと比べることすらおこがましい、かつての私であれば技術不足と切って捨てる音楽。だけど、パッと輝く笑顔を浮かべた彼女のそれが、割り切って冷え切ったはずの私の中の何かを撃ち抜いたような気がした。日々は続いていく。朝起きて、電車に乗って大学へ行って、週３、４回アルバイトをして、また１ＤＫに帰ってくる。そのアルバイトの中に後輩の歌の指導という項目が付け足されて、時間は流れていく。私が少し音楽を齧っていたことを知ってから、ますますあの子は私に懐いていた。日に日に増えていくふざけた軽口とありがとうの数。それに私は何を思っているんだろうか。割り切った。大人になった。無駄に賢しくなった。抜け殻の湊友希那に所在などなくて、行き場所もなくて、ただ空っぽの日々をなぞるだけの人生。いっそ世界が終わればいいのに。最後にそう願ったのはいつだったろうか。それが分からなくなった、１０月の終わりのある１日だった。……どうしたの。遠慮も気兼ねもなく、唐突に私を下の名前で呼ぶようになった彼女との、バイト前の事務所でのひと時。特に嫌な気もしないから何も言わずに受け入れたのは先週のバイト終わりの時だったろうか。そんなことを考えているうちに、彼女はいつものようにハキハキと言葉を繰り出してくる。ああ……そういえば今日は給料日ね。そう。来月からは増えるわよ。やたらとオーバーアクションで何故か私に対して落ち着かせるような仕草をする彼女に首を傾げる。テンションが高いのはいつものことだけど、今日はまた一段と明るい。初めての給料がそんなに嬉しいのだろうか。え？。そんなことを思っていた私に、彼女は淡い青色をした小さな紙袋を手渡してきた。……これは。…………。言葉の意味を理解するのに少しかかったけど、そういえばそうだ。今日は１０月２５日。明日は私の２０歳の誕生日だった。そんなこと、ひとりになってからまったく気にしたことがなかった。……ありがとう。よく知っていたわね。そう。分かったわ。どうしてか祝われている本人よりも嬉しそうな彼女に促されるまま、私は紙袋の中身を取り出す。……猫？。中身は三毛猫のぬいぐるみだった。フワフワした手触りで、両手の上に乗るくらいの小さなものだった。…………。……いいえ。猫は……好きよ。猫。そうだった。私は猫が好きだった。野良猫がいれば目で追うし、テレビで猫の番組があれば、それだけは少し見てみようと思えるくらいには好きだった。昔は……あの陽だまりのような日々の中にいた時は常々自覚していたそれも、今となっては懐かしい旧友と偶然顔を会わせたような心持ちだった。……流石に私でもそんなことは言わないわ。いらないなら何も言わずに黙って処分するもの。久しぶりに嫌気の差さない郷愁が胸中に訪れていた。その気持ちのまま軽口を叩いた私に、彼女はいつものような反応をする。ええ。大事に飾らせてもらうわ。……本当にありがとう。そう。輝かんばかりの笑顔。彼女が語る夢に向けられていたものが私を真正面から照らし出す。それに少しだけくすぐったい気持ちになった。その日のバイト終わり。彼女と一緒に定時にあがった私は、今まで発注や品出しでしか触れたことがなかったお酒のコーナーから、缶ビールを１つ手にしてみた。そんな私を見たあの子は友希那さーん、年齢確認されちゃいますよー。そしてビールをレジに持っていったら、顔見知りの夜勤の人にもお客様？身分証明書はお持ちですか？。あと４時間で２０歳だから、大目に見てください。だから私も私でそんなことを大真面目な口調で言って、ビールを買う。コンビニの駐車場であの子にもう一度お礼を言ってから別れを告げて、一人暮らしの１ＤＫの最寄り駅に到着したのは２１時前。駅から出た私は、いつも通る道ではなく、なんとなく線路を沿って家路を辿る。等間隔で線路沿いに連なる街灯。ひとり歩いている夜道に影が２つ出来た。……きっとリサの亡霊ね。そうなら嬉しいな……と、そんなことを思った自分に少しだけ驚いた。少し前の私ならどう感じただろう。きっと、この影がリサの亡霊だとしたら、私に対しての恨みつらみを吐き出しに来たんだと思っただろう。だけど今は違った。かつての思い出の中にある優しい笑顔を浮かべた幼馴染が、後輩からプレゼント貰うなんて、友希那も隅に置けないなぁ～。……そんな風に考えられるようになっていた。…………。気付くと線路は左の方向に折れていき、目の前には住宅があった。街灯も途切れ、私はひとりぼっちになっていた。それが寂しくて、でもその寂しさが温かくて、少しだけその場に立ち止まって夜空を見上げてみる。濁った夜空には申し訳程度の星と大きな満月が滲んでいた。それにフッと息を吐き出して、耳栓替わりのイヤフォンをスマートフォンに繋ぐ。いつかに気まぐれでインストールしていたラジオアプリを起動させると、耳に賑やかな音たちが駆けこんでくる。それを聞きながら、私は再び足を動かし始めた。バリトンボイスのラジオＤＪの曲紹介のあと、聞いたこともない歌が耳に入ってくる。それを遠い世界の雑音だとは思わなかった。そうして歩いているうちに、私は１ＤＫに辿り着く。いつものようにダイニングのテーブルに鞄を置いて、そこから先ほど買ったビールを取り出す。ビールはすっかり温くなってしまっていた。それをあえて冷凍庫に放り込んでから、寝室に向かう。水槽の小さな明かり。それと私を見て、腹びれを伸ばしてエサをねだってくるグラミー。それに苦笑しながら、いつも通りエサを与えて、部屋の明かりとテレビを点けた。ベッドに腰かけて、なんとなくそのままテレビ番組を見つめる。ひとりの部屋。黙りこくった冷蔵庫。笑い声がテレビの中だけで反響している。しばらくぼうっとしてから、そういえば、とダイニングに置いた鞄を手にしてもう一度寝室に帰ってくる。……猫。あの子に貰った猫のぬいぐるみ。どこへ置こうか、と少し迷ってから、水槽の横に置いた。グラミーがそれに興味を持ったのか、ふよふよとそちらの方へ泳いでいって、側面のガラスに腹びれを伸ばしている。ありがとう……ね。視線をテレビに移して、私は呟く。ありがとう。人に感謝することはそこそこあるけれど、感謝されることは少なかった。ひとりになってから先月までのことを考える。最後に感謝されたのはいつだろうかと考えれば、その答えがいつまで経っても出てきそうにないくらいにその数は少ない。……きっと、１０月になってあの子から貰ったありがとうの数よりも少ないだろう。ありがとう。もう一度呟く。その言葉が自分に向けられるたびに、真っ暗な闇に包まれた私の足元に、小さな光が射し込んでくるような気持ちになれた。人に感謝されること。それがただ単純に嬉しかった。認められた気持ちになって、もっとその人のためになりたいと思えるようになっていた。……もしかしたら、リサもそうだったのかもしれない。自分のために泣いたりなんかしない、苦しい時だって泣いたりなんかしない。そんなリサがどうして別れの際に私より先に泣いていたのか。勘違いかもしれないけれど、その理由が少しだけ分かったような気になった。胸中に嬉しさと自嘲と、少しの寂しさが沸き起こってない交ぜになる。複雑だけれど、少し明るい色の多くなった気持ちのまま、テレビ番組を眺める。いつものバラエティーには、僅かながら青春を共にした丸山さんと大和さんと白鷺さんがいた。大和さんからのヒントを聞いて、自信満々にクイズに答えた丸山さんが見事に不正解し、白鷺さんがその罰ゲームとして嫌いらしい納豆を食べさせられていた。……ふふ。それに少し笑えた。こんな風に笑ったのはいつ以来だろうか。少し考えようとしたけど、思い出せそうにないから諦めた。代わりにロゼリアでの日々をもう一度想起する。…………。……あの時は見えるもの全てが輝いていた。信じられる仲間と共に、ただひたむきに頂点を目指す。楽しかった。最高の音楽を奏でられることはもちろん、それ以外の全ても楽しかった。無駄なことなんて１つだってなかった。何をするにしてもみんなとならば楽しいし、嬉しいし、どんなことでも何かしらの糧となって私の中に積み重なっていった。けど、それを壊してしまったのは他ならぬ私だった。私だけが見当違いの方向を見て、みんなを見ていなかった。その結果が今の私だ。青春の残り火みたいな夜露をすすって生きる、１９歳の私だ。もしもあの時、あこが出て行った理由を、燐子が声を振り絞った理由を、紗夜が諭してくれた理由を、リサが何も言わなかった理由を、しっかりと考えていれば。カリスマだとかリーダーだとかプライドだとか、そんな取るに足らないつまらないものなんて投げ捨てて正直になっていたら……きっと何かが変わったんだろう。胸の中で燦々と煌めき続ける美しき思い出。それよりももっと綺麗でもっと素晴らしいものを積み重ねて、みんなと共に笑い合える日々を今も送っていたんだろう。けど、今さらどうこう思ったところで過去は変わらない。昨日はやってこない。それなら……これでいい。あの日救えなかった世界の続きはもう見れないんだ。あの日打ち倒された世界のその後を私は生きるしかないんだ。だから、私は空っぽの私を抱えて、こんな空っぽの私に感謝をくれる人たちを見つめて生きていこう。……そうすれば、またどこかで……あの幸せな日々に近いものを見つけることが出来るかもしれないから。そう思う頃に、いつものバラエティー番組は終わり、次のドキュメンタリー番組が始まっていた。私はテレビを消す。それから不意に懐かしい歌を歌いたくなった。今の今まで目を逸らし続けてきたのに……本当に自分勝手ね。現金な自分に向けた呟きには自嘲の色が濃かったけど、どこかこの心境の変化を楽しんでいる私がいるのも確かだった。……屋上にでも行こうかしら。流石に部屋の中で歌うのも隣人の迷惑になるだろう。だけどこの近辺には背の高い建物はこのマンションくらいだし、屋上であればその迷惑さは限りなく小さくなるはずだ。そう思って、私は部屋を出た。階段を上って、屋上へと続く扉を開ける。関東の片田舎という土地柄がそうさせるのか、このマンションの屋上にはいつでも出入りが出来た。夏に花火大会がある時は管理人さんも含め、ここの住人たちが屋上に集まって花火を見たりもするらしい。私は一度もそういうのに参加したことはないけれど、掲示板にそんな張り紙がしてあったのを見た覚えがある。先客がいたらどうしようか、と少し不安になったけど、今は１０月の終わり。吹き抜ける風は晩秋の冷たいものだ。時間は夜の１０時過ぎで、こんな時間に屋上に来る変わり者や訳ありの人間は私くらいだろう。そう思った通りに、だだっ広い屋上には私以外の人間は見当たらなかった。…………。銀色の手すりにもたれて夜空を見上げる。秋の満月は雲隠れになっていた。その月に向かって、いつかに歌う資格があるのか悩み続けた歌を、今も変わらず悩み続けている私は口ずさむ。何年振りかに歌を歌う。久しぶりに出した歌声はいつかのような力強いものとは程遠い。まるで自分の声が自分のものじゃないみたいな、喉に何かが張り付いているようなもどかしさを感じる。それでも私は歌を歌う。旋律を奏でる。小さな声。震えた声。それにも徐々に熱がこもってくる。脳裏にはいつでも隣にいてくれた大切な人の影が浮き上がる。彼女が引き合わせてくれた大切な仲間たちの姿も浮かび上がる。けれど今の私はひとりだった。正確に音を刻むギターも、楽しそうに跳ねるドラムも、控えめに歌を彩るキーボードも、温かく包み込んでくれるベースも、声を合わせてくれるコーラスもない。それでも……。振り絞るように、届くようにと、空に声を放つ。あなたがいたから私がいた。いつだって隣で支えてくれたから、私が私としていれた。気付くには遅すぎたけれど、今さらもうどうしようもないことだけど、やっと向き合えたから。躓きながらでも前へ歩けそうだから。もしも私のこの気持ちがあなたに届いてくれたら、それ以上の幸せはないわ。どうかあなたも……いつまでも幸せでいてくれますように。だから……。歌声は夜空に吸い込まれていった。残されたのは私と、私の中で微かに熱を持った形のない何か。どこか吹っ切れた気持ちになって、私は笑う。自分とばかり向き合って、人とは決して向き合わずにいたこと。過去とばかり向き合って、今とは決して向き合わずにいたこと。いつまで経っても変わらない、どこまでいっても私は私のままだった。だけど、本当の本当に、いつまでも何も変わらないものなんてない。永遠に変わらないと思っていた幼馴染との関係が変わったように、きっと、空っぽな私の明日も変えられるはずなんだ。あの日に全部を壊してしまった原因も、別れの涙の理由も、もう分かったつもり。だから私はもう、自分のためだけに生きたりしない。誰かのために笑ってみたい。……あなたみたいに。口から出した言葉が私の鼓膜を強く打って震わせた。私は一度、大きく息を吸ってから吐き出す。ずっと変わらないと思ってた。そんなものある訳なかった。でもあなたがそう思わせてくれたから。あなたのせいと、あなたのおかげで、私はもう一度立ち上がれそうだから。騙されて裏切られた気持ちにさせておいて、そのくせ救われて生まれ変われた気持ちにさせてくれるなんて……まるであなたは詐欺師か魔法使いみたいね。ねえ、リサ。空へ向かって、今でも一番に大切な人の名前を呼びかける。それに応えはない。代わりに秋の夜風がひゅうと鳴いた。しばらく屋上で夜風に吹かれてから、私はひとりの部屋に戻る。時刻は２３時。あと１時間で私の誕生日だった。私は冷凍庫からビールを取り出す。この短時間で冷えるか心配だったけど、手に取った缶は予想以上にキンキンに冷えていた。…………。少し迷ってから、私はプルタブを引く。カシュッと炭酸の抜ける音がした。まだちょっとだけ早いけれど、これくらいは許されてしかるべきフライングだろう。そう思い、寝室に足を運んでいつものようにベッドに腰かける。部屋はシンとしていた。水槽の外掛けフィルターの作動音だけが僅かに聞こえてくる。……もうこの静寂に、どうしようもないことを考えることも、拭えない寂しさを感じることもきっとないだろう。もうすぐ誕生日。２０歳として、明日はきっと生まれ変わった私の記念日だ。だから。明日には大人になる私へ。少しだけ気取って、ビールをあおる。っ、けほっ、けほっ！。そして予想外の苦みとアルコールの強い匂いにむせかえった。こんなに苦いのね……ふふ。全然カッコがつかないけれど、それが存外私らしいと思って、愉快な気持ちになる。水槽へ視線を送ると、グラミーと猫のぬいぐるみが不思議そうな顔で私を見つめていた。……という訳なの
今井リサ,……えぇっと？
友希那,そう思うとつい、ね……
リサ,ごめん、ちょっと話が飲み込めないんだけどさ
友希那,……？
リサ,アタシが聞いたのは、友希那が今日元気なかった理由についてだよね？
友希那,そうよ
リサ,それと今の話になんの関係があるの？
友希那,……夢を見たの
リサ,夢？
