・中身の,な
椿,えいっ！よっ…と、う～ん……よいしょっ……ふう…一晩でこんなに積もるなんて……よいしょ…はぁ、慣れない事したから疲れちゃった…
オバチャン,あら～椿ちゃんおはよう。朝から大変ねぇ
椿,あっ、おはようございます。うちの主人が寝坊助なもので…
オバチャン,あらあら、どこの旦那も一緒ねぇ、じゃあ気をつけて～
椿,うふふっ、はい、お気をつけて～………よしっ、もうひと頑張り
P,椿！
椿,あっ、やっと起きましたね。もうっ
P,代わるよ、雪かきは俺の仕事だろ
椿,結構です。もう殆ど終わっちゃいましたし、お寝坊さんに任せられる仕事はありません
P,…でも
椿,……あっ、そうだ
P,？
椿,えいっ
P,ぶへっ！？
椿,ああああ！？ごめんなさい！顔に当てるつもりは無かったんです！ごめんなさいごめんなさい！
P,…いや、まあいいけどさ
椿,ぅ……
P,……
椿,きゃっ！
P,お返し
椿,……やりましたねぇ…えーい！
P,うわっ！このぉ！
椿,きゃあああ！冷たい冷たい！
P,ワッハッハー夫の威厳が身にしみるだろお～
椿,むー、こうなったら…どーん！
P,タックルだとぉ!?。……ハハ
椿,……うふふ
P,ハハハハハッ！
椿,……おはようございます。アナタ
P,おはよう、椿
何か戻ってきたオバチャン,あら～朝から仲良いわねえ～こりゃあ除雪機要らずだわ。オッホッホ
P・椿,！！？？/////////
P,ふい～お疲れ
椿,はい♪お疲れ様です。すぐご飯にしますね
P,いいよ、寝坊したし俺が…
椿,作れますか？
P,時間をいただければ…
椿,はい、じゃあ私がやりますから、洗濯物干しておいていただけますか？
P,は～い
椿,ふぅ…さむっ…
P,椿ぃ～
椿,きゃっ！もうプロデューサーさん、重たいですよ
P,いやあ、椿が寒そうにしてたから暖めてやろうかと
椿,結構です～！
P,そういうなよ～新婚だろ～
椿,やだ、もうっ首筋すりすりしないでください！やんっ////
P,すーはーすーはー
椿,も～！やめてください！ご飯抜きにしますよ！
P,え～
椿,えい～！
P,うわっ！？バカッ手ぇ入れるな手ぇ！！
椿,早く仕事してください！
P,わかったわかったってー！
椿,～♪。(ゆっくり過ぎていく時の流れと、しんしん音を立てて降り積もる雪、何気ない地元の風景がこんなに愛しく見えるなんて)。(結婚って…いいなあ)
P,椿ぃっ！！！
椿,きゃ！！ど、どうしたんですか…？
P,お前これ……コレ、なんだよ…！
椿,はい…？
P,この真っ赤なパンティいつ買ったんだよ！！！！俺まだ穿いてるところ見てないぞ！！！！！
椿,…………プロデューサーさん
P,…はい
椿,……怒りますよ？
P,ﾊｲ、ｺﾞﾒﾝﾅｻｲ…。ごちそうさまでした
椿,はい、お粗末さまでした♪
P,腕上げた？
椿,その台詞、毎週言ってますよ？
P,毎週美味くなってんだからそりゃ言うだろ
椿,ふふふっ、ありがとうございます♪
P,みんな来るのって夜だっけ？
椿,ええ、そうですね
P,じゃあ、それまで……
椿,それまで…？
