梶井基次郎,檸檬
ちひろ,感情って
モバP,はい？
ちひろ,絞り出すものじゃないですか
モバP,はあ
ちひろ,感情って
モバP,はい？
ちひろ,絞り出すものじゃないですか
モバP,はあ
ちひろ,レモンと一緒ですよね
モバP,・・・もう酔ってますか
ちひろ,・・・まだ一杯目です
モバP,・・・ですよね
ちひろ,・・・あ
モバP,はい？
ちひろ,でも、感情っていうのは全部見せちゃダメですよね
モバP,・・・まあ、そうですね
ちひろ,いつまでかなあ、感情をストレートに出して、社会に迷惑かからないのって
モバP,・・・うちのアイドルたちは出してるほうだと思いますけどね、全年齢
ちひろ,それがかわいいんですから、アイドルは別物です、別物
モバP,まあ確かに
ちひろ,社会人ってそうはいきませんよね
モバP,はいはい
ちひろ,怒り、とか理不尽、とか、そういう感情は割と湧くことはありますけど、出せませんもん、どうなるか怖くて
モバP,あるあるですね
ちひろ,口に出すときは感情から濾過されまくってます、何番絞りだよ！っていうね
モバP,・・・今ちひろさんが飲んでるやつ
ちひろ,ん？
モバP,スーパードライですよ
ちひろ,乾いた社会だ
モバP,全くです
ちひろ,檸檬っていう小説、知ってますか
モバP,ええ、聞いたことあります、かなり昔の
ちひろ,読んだことありますか
モバP,理系なんで
ちひろ,・・・まあ、この前文香ちゃんに貸してもらったんですよ
モバP,仲いいんですね
ちひろ,まあ、それくらいは
モバP,カップ麺のふたを文庫本でしていたらマジギレされたことありますよ
ちひろ,自業自得
モバP,その後謝るの大変で・・・ピッチ早いですね今日
ちひろ,まだ二杯目です、普通ですよ、あ、唐揚げください
モバP,ほどほどに、ですよ
ちひろ,はいはい。それで、その檸檬って本、ぶっちゃけわけわかんないんですよ
モバP,駄目じゃないですか
ちひろ,無理です無理です、何かレモンを爆弾に見立てた青年の話なんです
モバP,・・・はあ
ちひろ,それで、店先にレモンとかおいて鬱屈した現状の打破、マジ爽快、みたいな
モバP,こんなそそられないあらすじ紹介久しぶりですよ。それで、文香的にはどうだったんですか
ちひろ,それが普通の人の解釈です、悪くないですよって
モバP,マジか
ちひろ,・・・まあ、レモンは爆弾なんです
モバP,・・へえ
ちひろ,・・・お嫌いで？
モバP,僕はマヨネーズ派閥なんです
ちひろ,あら、今後の参考にします
モバP,・・・
ちひろ,顔に書いてあるんでわかります、勝手に唐揚げにレモンかけるなって
モバP,分かっててやったんだ
ちひろ,勝手に唐揚げに平然とレモンかける女だとお思いで
