【安価】扶桑,山城！アイドルになるわよ！
提督,ふむ、パンツの日か・・・
【安価】提督,添い寝屋、営業中です。添い寝屋、はじめました
山城,海の底から
提督,山城がグレた
山城,麻雀ですか？そうですね、また二人で１７歩でもしましょう・・・！流石姉様・・・！
扶桑,いいえ違うわ、今回は４人で麻雀をするのよ、山城！
山城,ですが面子が・・・
扶桑,今回は新入りの戦艦と一緒に打つわ！あと一人は山城が連れてきてくれるかしら・・・？
山城,・・・姉様、無謀すぎます！
扶桑,それは面子を集めるのが無謀という意味かしら・・・？それとも・・・？
山城,それも無謀ですけど！ウォースパイトさん相手に麻雀って無謀すぎます姉様！
扶桑,伊勢、日向、ウォースパイトには負けたくないの・・・！
山城,姉様・・・！やりましょう・・・！日本の魂を見せてやりましょう・・・！
扶桑,その意気よ山城・・・！
山城,お願い時雨・・・！私たちと麻雀を打ってほしいの・・・！
時雨,え？まあいいけれど、僕でいいのかい？
山城,あなたにしか頼む相手がいないのよ・・・！
時雨,そっか・・・。それじゃあ三麻かい？
山城,扶桑型に友人が少ないってひどい言われようね・・・
時雨,あ、ごめん・・・でも僕がいるじゃないか・・・
山城,そ、そうよね、仲のいい友人だっているんだものね・・・
時雨,でも僕以外が来るんだろう？誰が来るのかな？
山城,ウォースパイトさんよ。
時雨,・・・！あまりにも・・・無謀だよ・・・！
山城,止めないで時雨・・・！これは扶桑型としての意地なの・・・！
時雨,わかったよ、僕は傍観者として君たちの戦いを眺めることにするよ、それでいいね？
山城,ええ、それでいいの・・・私たちの戦いをしっかりと目に焼き付けておいて・・・！
時雨,どうしてこうなったんだろうな・・・
扶桑,ウォースパイトさん、いらっしゃるかしら・・・？
ビス子,あら、扶桑じゃない。どうしたの？それにしても素敵な艦橋ね！
プリンツ,上がってください！コーヒーでも飲んでいきますか？
扶桑,すぐ済むから大丈夫よ、ウォースパイトさんはいるかしら・・・？
ウォー,何か御用かしら？
扶桑,こうして挨拶するのは初めてですね・・・扶桑型一番艦、航空戦艦の扶桑です・・・よろしくね？
ウォー,先日全体では挨拶させてもらってけれど改めて、QueenElizabethClassBattleship二番艦、Warspiteです。よろしく。
扶桑,新しく戦艦の仲間が増えて妹の山城も喜んでて・・・よかったらすこし私たちの部屋に来てくれないかしら・・・？
ウォー,そういうことなら、喜んで。
扶桑,じゃあ、ちょっとウォースパイトさん、お借りしていきますね？
ビス子,え、ええ！
プリンツ,おぁ！扶桑さんの笑顔がなんか怖い！
扶桑,よく来てくれたわね、ウォースパイトさん、そしてここが貴方の墓場よ！
ウォー,？
山城,今から私たちが挑むのは脱衣麻雀・・・！負けた方が脱ぐという伝統的な新人の歓迎会よ・・・！
時雨,いや、そんな伝統海に投げ捨ててよ・・・そんな伝統ないから・・・
ウォー,mahjong？一応ルールは知ってるからいいけれど、脱ぐ？
扶桑,そうよ、負けるたびに一枚ずつ服を脱いでいくの・・・怖気づいたかしら・・・？
ウォー,noproblem.問題ないわ。Warspiteに撤退の二文字はないわ。
時雨,それにしても、どこで麻雀を覚えたんだい？
ウォー,深海棲艦に囚われている時に、人が足りないから、と手伝わされたわ。その時に覚えたの。
