・一日一ストーリー,全部で九つ
理事長,みなさんこんばんは。これより始まるのは“μ’s”というアイドルグループが主役の物語。主役は九人、全部で九人です。えーそれでですが…。あら、まだ何も言えてませんがもう始まりのようです。それではみんなで叶える世にも奇妙な物語。始まり始まりです…。人はいつどんな時も選ぶ、ということをしないといけません。部活だったり買いたいものだったり今日のおやつだったり、どんな小さくても選択肢はできます。でもそんなものでさえ迷うときってありますよね？優柔不断で決められないこと。判断力、なんていいますよね。そこで判断が出来るか、どうでもいいことなら時間をかけてもいいですが忙しい時、今動かないとダメな状況であなたは決められるでしょうか？。迷うから選択肢があるんですよ、迷わないなんて答えは無しです。しかしそんな時選択の手伝いしてくれる…なんてものがあったらどうでしょう？。例えばこんなもの…
凛,かよちん！どう考えてもラーメンの方がおいしいよね？！
真姫,なんでよ！トマトの方がおいしいわよ！！
花陽,え、えっと……
二人,どっち！！！
にこ,…なんでトマトとラーメンなのよ、比べるモノがおかしいでしょ
凛,どちらも食べ物なんだから関係ないよ！
真姫,その通りよ！
花陽,だ、だから…両方美味しいって…
凛,それじゃダメなの！どっちかにしてかよちん！！
花陽,うぅ…ダレカタスケテー！。っ？！
にこ,花陽？
花陽,！。カウントダウン…？！。あ、え、えっと……ラーメンの方が…美味しいんじゃない…かな？。！？
凛,ホント？！やっぱかよちん分かってるぅ～
真姫,はぁ？！ほんとありえないわ凛は
凛,かよちんだって美味しいっていってるんだからラーメンがおいしいの方が正しいにゃ！
真姫,人数だけすべて決まるものじゃないわよ！
花陽,………
にこ,花陽？大丈夫？なんか深刻そうな顔してるけど…
花陽,う、うん…大丈夫…。………
にこ,…？
花陽,あ、ちょっ…！。なんだったんだろう…
穂乃果,花陽ちゃん！ちょっと一緒に来てほしいところがあるんだけど…来ない？
花陽,え…一緒に来てほしいところ…？
穂乃果,それは…行くまで秘密！
花陽,う、うーん……。どこか分からない…のかぁ。！。太る…？もしかしてデザートとかそういうことかな…。でも確か穂乃果ちゃんってダイエット中だったような…しかも私もダイエット中だし…。あっ…。仲間を増やそうってことですか…！そうはいきませんよ穂乃果ちゃん！。あ、ごめん…今日用事があって…
穂乃果,そっか…うん！わかった！じゃあまた明日ね！
花陽,また明日！。ふぅ危ないところでした、また海未ちゃんにガミガミは言われて特訓メニューをするのは勘弁です…。確かにおいしいものを食べたい穂乃果ちゃんの気持ち…よーく分かります…。私もものすごく食べたいです…！！。ですが仕方ありません…。ただいま～
花陽ママ,あ、丁度良かった！
花陽,ん？どうしたの？
花陽ママ,今日炊き込みご飯と普通の白いご飯どっちがいい？
花陽,えっ……。！！。！！。……あれ？。なにこれ…？どうなってるの…。ん？ちょっとまって…。これ０になったらどうなるの？。………。……大丈夫かな。何にも…ないよね…？。………
花陽ママ,あーそういえば最近白いご飯飽きたって言ってたのよね
花陽,…え？お兄ちゃんが？
花陽ママ,そうそう、だから炊き込みご飯でいいかしら？
花陽,あ、うんわかったいいよ
花陽ママ,じゃあ炊き込みご飯に決定～！
花陽,……？。うーん…？。…時間を越すとランダムで選ばれるのかな。…ってこんなところで考えてちゃダメだよね！。ふぁー……。んーっ！。……制限時間は三秒か。…へこたれたらダメだよね！元気出さないと！。よしっ！明日もファイトだよっ！…なんてね
凛,あ、かよちーん！
花陽,あ、凛ちゃんおはよう
凛,おはよう！。ねぇ聞いてよかよちん！
花陽,どうしたの？
