第１局目→咲,宮永咲の、お先におやすみなさい
前回→咲,宮永咲のお先におやすみなさい
咲,うぅ…寒い寒い……。春なんだから夜もポカポカしてて欲しいよ……。早く収録室入っちゃお。……って、うわっ！？。むぐっ
女性,…大丈夫？
咲,わわっ、す、すみません！！。ありがとうございますっ///
女性,ううん、大丈夫だよ
咲,……？
女性,？？どうかした？
咲,い、いえ！えと、その…手に持ってる飲み物大丈夫でしたか？
女性,うん、大丈夫だよ
咲,そうですか…良かった。あ、はいっ。ありがとうございました
女性,宮永さん
