シャニP,以下、P
P,三人とも最近よく頑張ってくれてるしな……お休みにしてもいいんだけど。……よし、打ち合わせ早めに終わらせるか。ただいま戻りましたー
大崎甘奈,以下、甘奈
大崎甜花,以下、甜花
甘奈,ひゃー☆甜花ちゃんメッチャかわいー♪
甜花,な、なーちゃん……恥ずかしいよ
甘奈,あー隠しちゃダメだってばー！
P,…………。おかしい、俺疲れてるのかな。そういえば、最近千雪にももっと休むように言われたな……。……ちょっとコーヒー買ってくるか
甘奈,もー、なんで閉めちゃうの？
P,いや、俺入り口間違えたんじゃないかなと思って
甘奈,え、事務所来たんでしょ？
P,少なくとも、俺が知ってる事務所にメイドは居ないんだが
甘奈,むぅ……ご主人様ノリ悪いよー。甘奈、せーっかくオシャレしたのに……
P,……いや、似合ってるよ？正統派って感じがするし
甘奈,……そ、そうかな？
P,ああ、それは間違いない
甘奈,そ、そんなに自信満々に褒められると照れるよ……
P,それで、なんでメイド服着て――
甘奈,でもね、甜花ちゃんの方がもっと可愛いんだよ！
P,お、おい甘奈！？
甘奈,ほら、見て見て！天使みたいでしょ！？
甜花,な、なーちゃん……この衣装、小悪魔だよ？
甘奈,メッチャ可愛いって事だから良いの良いの！
甜花,あぅ……良いのかな
P,…………
甜花,プロデューサーさん……甜花、どう？
P,あ、ああ……似合ってるよ。そのブリムの所の飾り、衣装と同じ奴か？
甜花,うん……甜花、これ好きだから
P,そうか……うん、甜花らしくて良いと思うよ。元が白いメイド服によく映えてる
甜花,にへへ……褒められちゃった
甘奈,だよねだよねー！甜花ちゃんホント似合ってる！
桑山千雪,以下、千雪
P,ただいま……千雪、聞いても良いか？。なんで二人ともメイド服着てるんだ？
千雪,や、やっぱり気になりますよね……！。えっと……そんなに込み入った事情じゃないんですけど
甘奈・甜花,うーん……
千雪,あれ、甜花ちゃんに甘奈ちゃん？お疲れ様
甘奈,あっ、千雪さん！お疲れ様です！
甜花,お、お疲れ様です……
千雪,はい、お疲れ様です♪。……なんだか難しい顔してたけど、二人ともどうかしたの？
甘奈,えっとね……千雪さん、メイド喫茶って行った事ある？
千雪,え、ええっ？め、メイド喫茶？。そうね……ごめんなさい、私は行った事ないかな
甘奈,そっかー……そうだよねー、行く機会ないもんね
千雪,メイド喫茶がどうかしたの？
甘奈,じ、実はね……文化祭でやる事になっちゃって
千雪,メイド喫茶を？
甘奈,うん……甘奈も、メイド姿の甜花ちゃんは可愛いなーって思ったんだけど。いざやってみよう！って事になったら、何すれば良いのか分かんなくって……
千雪,そうだったの……
甜花,あぅ……誰か知ってる人、いないかな
千雪,……それなら、プロデューサーさんに聞いてみるのはどう？
甘奈,あっ、なるほど！そういうの、男の人は好きって言うもんね！
千雪,……プロデューサーさん、そういうのが好きなのかしら
甜花,千雪さん……顔、怖い
千雪,あっ、ごめんなさい！。……雰囲気が分かれば良いのよね？
甘奈,うん……千雪さん、何か思いついたの？
千雪,うーん……あんまりいい案じゃないかもしれないんだけど。折角だから、実際にやってみると分かりやすいかなって
甘奈,あっ、それいいかも！一回やってれば、どういう感じかって分かるもんね！
P,学校の文化祭の練習、か……
千雪,すみません、ご迷惑でしたよね
P,いや、そういう事情なら喜んで協力するよ
甘奈,ホント？ありがと、プロデューサーさん☆
P,……っていっても、俺行った事ないしなぁ。どういう風にやればいいかとか分からないぞ？
甘奈,メイドさんがおもてなしするのがメイド喫茶なんじゃないの？。なら、プロ……ご主人様をおもてなしすればいいかなーって☆
P,おもてなし、ねぇ……
甜花,が、頑張って御奉仕するから……！
P,……そ、それじゃ頼む
甘奈,はーいおひとり様ごあんなーい♪
甜花,ご、ご案内しましゅ！あぅ……
P,相手はあくまで俺だからな、緊張しなくて良いんだぞ
甜花,が、頑張る……！
甘奈,ほーら、ご主人様！座って座って☆
P,あぁ……なんか慣れないな
甘奈,それじゃご主人様、ご注文をどうぞ！
P,注文……注文か。千雪、こういう時どういうの頼めばいいと思う？
千雪,そうですね……喫茶、なんですし軽食とかでしょうか
P,軽食か……
甘奈,もう……ご主人様、お腹鳴ってるよ？
P,わ、悪い……今朝食パン一枚食べたっきり食べてなくてな
千雪,もう……しっかりご飯は食べなきゃですよ？
P,すまん、次から気を付ける
千雪,はい、良いお返事です♪
