本田未央,――みんなと、もっとお近づきになる方法？
武内Ｐ,……はい
未央,なんか、プロデューサーからそんな言葉が出るなんて、ちょっと意外だねー。やっぱ男として、可愛いアイドルともっと仲良くなりたい感じかな～？
武内Ｐ,い、いえ！そうではなく……
未央,あはは、ジョーダンだって。ゴメンね。それで、じゃあどういう理由？
武内Ｐ,はい。――自身を振り返ってみるに、どうも私は、皆さんによく誤解を与えてしまったり、誤解を受けてしまうことが多いように思います
未央,みくにゃんのデビューとか――あと、らんらんのプロデュースのことでも悩んでたっけ。あとは、まぁ私も……あはは……
武内Ｐ,今後、このようなことが更にあって、アイドルの皆さんへのプロデュースや活動にも影響が出るようなことは避けなければいけないと考えまして……。それで、どうにか改善できないかと思い、千川さんに相談したところ――。もっと皆さんとのコミュニケーションをとり、よくお互いを知り、仲良くなること――とのご指摘を受けたのですが……。やはり、皆さんも年頃の女性ですし……。恥ずかしながら私自身、どのようにして皆さんとの距離を縮めていけばよいのか、見当がつかない次第でして……
未央,それで、私に相談を？
武内Ｐ,はい。本田さんは、とてもフレンドリーで、プロダクション内でも様々な方と交流を持っているとお聞きします。ですから、ご迷惑でなければ、その手腕を参考にさせていただこうかと……
未央,なるほどー
武内Ｐ,……このようなことを、プロデューサーとして頼むというのも、情けない話なのですが
未央,私は、プロデューサーだって十分、みんなと良い仲だと思うけどなー。でも、分かったよ！。プロデューサーには、いっぱいお世話になってるしさ。役に立てることならどんどん協力するよ！
武内Ｐ,そう言って頂けると、幸いです
未央,そっかー。プロデューサーとみんながもっと仲良くなる方法か……
武内Ｐ,……申し訳ありません。本田さんには一度、敬語をやめてみてはとご指摘を頂いておいて、こんなことを頼める立場ではないのは承知しているのですが……
未央,――実は、私もプロデューサーがなんで敬語やめられないか、ちょっと考えてみたんだよね
武内Ｐ,いえ……、それはひとえに私の努力不足の結果でして……
未央,いや、責めてるわけじゃないよ！？。そうじゃなくて――――あれって、やっぱりプロデューサーにとっては、変化が急過ぎたんだと思うんだよねー
武内Ｐ,変化が急……ですか？
未央,あるは――変化球が過ぎた、とか
武内Ｐ,……？
未央,つまりは、いつも会社ではみんなに敬語のプロデューサーに、いきなりガラッとみんなへの話し方、接し方を変えろって言うのは、ちょっと無理があったって話だよ。私たちアイドルだって、いきなり歌やダンス、お芝居を上手くこなせるわけじゃないしさ。上達のために毎日レッスンするように、プロデューサーも、そういうちょっとずつの変化が必要だったんだよ
武内Ｐ,なるほど……。少しずつ慣らして、変えていくと
未央,そこで、未央ちゃんが考えたとっておきのプランをお教えしましょー！！
武内Ｐ,よ、よろしくお願いします
未央,プロデューサー、いつもみんなに会ったらまず挨拶するでしょ？
武内Ｐ,はい。しますが……
未央,どんな感じでする？
武内Ｐ,その日、初めてならおはようございます、仕事の後などならお疲れ様です……など、一般的なものだと思いますが。……もしかして、まずは挨拶から、敬語を無くしていくということでしょうか？
未央,いやいや、敬語はそのままでいいよ。しゃべり方は今まで通りでいいんだ。ただ――挨拶の後にさ、一言二言くらいでいいから付け加えるの
