(´・ω・`),そうだね、ぼくたちの国にようこそ
キノ,(カチャ…)
彡(ﾟ)(ﾟ),まあそう言わずやきうやろうで！
キノ,えっ
彡(ﾟ)(ﾟ),もう入る隙間ないから観戦するで！
キノ,(なんだこの国…)
彡(ﾟ)(ﾟ),あいつらやきうの途中に試合ほっぽり出して違う試合行きおったで！アホか！
キノ,(この国(アカン))
野獣先輩,洗脳され始めたみたいですね…
彡(ﾟ)(ﾟ),ファッ！？お前はやじう！
野獣先輩,この辺にぃ、フリーの球場あるらしいっすよ
彡(ﾟ)(ﾟ),………行くか！
キノ,(付いて来てしまった…この国にいるとやきうと言うのを見るのが楽しい…なぜだろう…)
彡(ﾟ)(ﾟ),さて！ワイらのやきうの始まりや！。せや！バイク盗んだろ！
エルメス,えっ
彡(ﾟ)(ﾟ),ファーwww
キノ,(アカン)
浜松市東区内のショッピングセンターで、ポテトチップスのおまけのプロ野球選手カードの入った袋２５個に、はさみで切り込みを入れたとして、浜松東署は６日、愛知県豊川市中条町宮坪、無職＊＊＊容疑者,５１
同署によると、＊＊容疑者は５日午後１時５５分ごろから約２０分間、同センターで、おまけのカード付きのポテトチップス２５袋,１袋９０円、計２２５０円
おんjの国で、旅人のモトラドを盗んだとして、浜松東署は６日、愛知県豊川市中条町宮坪、無職やきう容疑者,５１
キノ,やったぜ。
エルメス,ひどい目に遭いましたよ～ホント
野獣先輩,もう洗脳されてるから手遅れなんだよなぁ
キノ,じゃけん次の国行きますよーイクイク
エルメス,ああ～いいっすね～
野獣先輩,…(野獣の眼光)
