前スレがありますが、読まなくても大丈夫です！,長いので切っただけです！
提督,ああ。ボタンの掛け違いさえなければ･･･そう、最初の瑞鶴の誘いの時点で
瑞鶴,私は街を見たいだけ、そう、遊びに行きたいだなんだから。提督さんと二人で、だけどね///。提督さんとデート、提督さんとデート！
翔鶴,今度は･･･？。やっぱり･･･？
提督,さっきの瑞鶴の誘いは、姉妹二人と出かけようってことか。そりゃそうか、二人っきりは流石にありえないだろう
翔鶴え、ええ。ではそれで///,て、提督の方からお誘いだなんて
提督ハハ、そんなに照れることないさ,三人で行くんだから
翔鶴そんな、恥ずかしいですよ,二人っきりで出かけるんですから
翔鶴,･･･いっぱいオシャレしなくっちゃ///
瑞鶴ふーん,誘ってあげたいけど･･･ごめんね、今日はデートだから///
翔鶴,瑞鶴ごめんなさい･･･今日は提督と二人っきりでいたいの///
瑞鶴,一緒に部屋を出てきたは良いけれど
翔鶴,どこか適当な所でお別れしなきゃ
瑞鶴,いつもならどっちかがじゃあ一緒に、って誘うところだけど今日は･･･
翔鶴,珍しく瑞鶴が誘って来ないわ･･･助かるけれど･･･。ああ、もう門についてしまう･･･
瑞鶴,門についちゃうわね。素直に待ち合わせがあるって言ってやりすごそうかしら
翔鶴,もしかして･･･いえまさか･･･
瑞鶴,翔鶴ねえの待ち合わせの人って。そんなつもりしか無いくせにーー！
提督,あれ何か今日二人とも雰囲気おかしくない？
翔鶴,私も･･･ワガママしていいのかしら･･･？。でないと･･･瑞鶴に取られてしまいそう･･･
翔鶴はい,･･･えいっ///
提督えっ,しょ、翔鶴が･･･俺に腕を絡めてきて！？
提督そんなことはないが･･･,両腕に華じゃないか！
提督,翔鶴の！翔鶴の胸の感触が腕にっ！。鎮まれ･･･鎮まれ俺の提督！
瑞鶴,提督さんったら、翔鶴ねえの方ばっか見て
店員,男。男
提督,何か店員さんの声に怒りが含まれてる様な？。え、何で二人が向かい合わせで座ろうとするの！？。そして俺はどっちの隣に座ったら･･･！？。お、翔鶴が奥の方へ。じゃあこっちで良いか。微笑ましい姉妹仲だ。さっきの雰囲気は気のせいか
提督いや･･･席が隣だからしょうがないだろう,確かに顔が近い！
提督,翔鶴の頭が俺のすぐ近くにあって･･･。おお、髪が･･･あの綺麗な銀髪に俺の鼻息がかかりそうでヤバイ！。無心･･･無心だ、俺！すごい良い匂いがするとか気づいちゃいけない！。あぁ、でも花の香りの様な･･･。清楚な翔鶴にはピッタリの匂いだ
翔鶴,きょ、今日初めてつけた香水･･･キツクないかしら･･･？
店員お冷お持ちしました,何がむむむ、だ
翔鶴もう、瑞鶴ったら･･･,提督の隣じゃないからと言って
提督そうだぞー,翔鶴と仲良く選びたかったんだろうけれど
瑞鶴,うぅ･･･ｶﾞﾏﾝｶﾞﾏﾝ･･･見てなさいよ、翔鶴ねえ！。い、いきなり頭ポンポンはズルイって///
提督,なんだ、急にしおらしくなって。せっかくだし･･･ちょっとイタズラしてみるか。前から瑞鶴のツインテール、引っ張ってみたかったのだ
瑞鶴,か、顔赤くなってるよね･･･見られたくないよぅ･･･
提督,下向いちゃったし･･･チャンスか？
瑞鶴,あれ、提督さんの手･･･伸びてきて･･･。え！？わ、私の髪に･･･？。私、何されちゃうの？。目･･･明けてられないよぉ
提督,瑞鶴が何時もより大人しいぞ･･･？。ちょっとしたイタズラのつもりなのに、妙に緊張するな。え、何で翔鶴の方が怒るの？？。だからと言って手を握る必要はあるだろうか、いやない！
瑞鶴,翔鶴ねえめ･･･提督さんの隣ってことを利用して！。ワザとに決まってるじゃない！私が隣だったらそうするもん！。それに翔鶴ねえの運で、あんなラッキーなこと起こるわけないじゃない！。見てなさいよー、翔鶴ねえめ～～！。そういえば最近、秘書艦は私ばっかで翔鶴ねえはやってないのよね
翔鶴,うぅ･･･秘書艦をやってないうちにそんな事が･･･
翔鶴くぅぅ･･･,瑞鶴ったら調子にのって～
翔鶴ふぅ･･･,あぁ、でも･･･
翔鶴,１回くらいは、見たかったな･･･
提督,なんだろう、今日は翔鶴が何故か怖い。よっぽど煙草が嫌いなんだろうか
瑞鶴,提督さんの横にいるんだから
翔鶴そうですか･･･,私じゃ役にたたないのかしら･･･
瑞鶴,さっきは怖かってけれどね
提督,いかん、このまま翔鶴を秘書艦にすると駄目になってしまう。主に俺が！。雷、瑞鳳に続いてこんなところにも駄目提督製造機が！
瑞鶴,嫌がる部下に叱ってくれと必死に頭を下げる上官･･･。私って男を見る目が無いのかしら。そんな男に迫られて頬を染めるお姉ちゃん･･･。不幸だわ･･･。翔鶴ねえ、加賀さんの無表情って多分･･･
翔鶴,えぇ、きっと提督を慰めようとして。でもどう慰めていいか分からなくって･･･という感じでしょうね
瑞鶴,加賀さん･･･不器用すぎるよ･･･
翔鶴,そして妻となった時にはもっと･･･
瑞鶴,えっ何でここで頬染めるの！？。我が姉の精神が不安でならないわ。なんか茶番始まった！？。翔鶴ねえ演技下手すぎぃ
提督,やばい、翔鶴いじめるの楽しい。ちょっと困らせすぎたか、もうやめよう。翔鶴が･･･子供がイヤイヤをするように
瑞鶴,涙目で提督さんをポカポカ殴って･･･
提督,可愛い
瑞鶴,翔鶴ねえ可愛すぎる
提督もちろんです！,涙目上目遣い頂きましたー！
瑞鶴,これはズルイわ･･･
提督,この世にも女神がいたか。何で自分が使ってたフォークで”あーん”するかなあ！？
提督ﾓｸﾞﾓｸﾞ,これって関節･･･///
提督ﾓｸﾞﾓｸﾞ･･･お、おいひいよ,味なんて分からんわ
瑞鶴,私今、相当恥ずかしいことしたんじゃ！？。だって今提督さんにあーんって･･･あーんって･･･。だ、誰か私を殺してえ///
提督,危ないところだった･･･。流石に二人にやられたら恥ずかしくて持たない
店員,女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女。女
瑞鶴,提督さんったら･･･ﾃﾞﾚﾃﾞﾚしちゃってさー
店員,女。女。女
提督う、うお！わ、分かりました///,俺の手をぎゅって握って！
翔鶴,さり気なく提督の手を握るなんて･･･なんて卑怯なんでしょう！
店員,女。女
提督,この店員さん可愛いし、正直ドキっとした。既に翔鶴と瑞鶴の不機嫌度合いがヤバイ･･･。もうこのまま何事もなく下がってくれ･･･メイドさん
店員,女。女。女。女。女。女
提督,ば、爆弾落として行きやがったぁぁっぁぁぁぁぁあ！？。怖くて振り返れない。いやでも案外、無事に済むんじゃなかろうか？。提督の彼女に見られるなんて冗談じゃないわ、とか。恥ずかしいです///とかで終わる、そんな感じうんそんな感じ。大丈夫大丈夫･･･よーし、振り返るぞー。良かった、翔鶴はまともだったか･･･。まずいな･･･ケンカになってしまいそうだ。そして最後に矛先が向かう先は。何故言い合いになっているかはこの際、考えない様にしよう。でもこれ、どっちが似合うと答えても角が立つな･･･。･･････よし。誤魔化すか。このまま勢いに任せて突っ走る！
瑞鶴え、あ･･･う･･･,これって喜べばいいの？
提督,うん、混乱してるな･･･この調子で。翔鶴も攻めるっ。妄想をぶっぱなさずして、何の命か！。あかんあかーーん！。本人に聞かせる妄想で何してるんだ俺！？。翔鶴は無意識に工口い妄想に向かってしまうな･･･いかんいかん
提督ぜぃ、ぜぃ･･･,翔鶴の色気は異常･･･
瑞鶴,頭大丈夫かしら･･･
提督,丈を伸ばそうとスカートの裾をいじる翔鶴･･･。翔鶴のご主人様呼び･･･。俺もう死んじゃう。ひ、膝枕だとおおおおお！？。理性が持たないとも言う。いやだってこれ･･･俺が枕にしてるの。翔鶴のHUTOMOMO!!だぜ？。目の前に広がる翔鶴の生足、その先のニーソ･･･。イカンイカン、耐えろ耐えろ！
提督あっ,何時もより短いスカート、膝枕状態で振り向けば･･･
提督あっ･･･,見えなかったって言えば良かった
提督,イイ感じに混乱してきたな
店員,女。女。女。女。男
提督,ん？何だか元気がないな。冷静になってお互い気まずいって感じか、ふむ。となると、俺は邪魔かな･･･？。なら、丁度いいしあそこも寄っておくか。戻ってくる頃には仲直りしてるかな？
提督ハハハ･･･,バレバレか
受付嬢,？
提督,バレてるんなら今日は出直そう･･･。年寄りってほど殊勝な行いはしてないだろうに･･･
大元帥,気付かんとはまだまだじゃのう、さて、妖精の出迎えは頼むぞ？
受付嬢,？。？
提督は、はぁ,その話には触れないで欲しいが
提督,やっぱり･･･
瑞鶴,二人きりで話したおかげで
翔鶴,なんとか仲直り、出来たみたい
受付嬢,？
瑞鶴,あれれ、女の子？
受付嬢,？。？。？。？。？。？。？。？。？。？
大元帥うむ,ワシ嘘はついてないからの
受付嬢,？
提督,今は艤装を付けている･･･翔鶴たちより年下っぽいが。駆逐艦･･･にしては装備が豪華だし、軽巡にしては･･･？
受付嬢,？。？
提督,おぉ、喋るし自走するし、すごいな。いや、秋月もだけれどな。ハキハキして良い子だな
秋月,優しそうな人が提督でホッとしました
瑞鶴,もう、煮え切らないんだから！
提督,これはファミレスの時みたいな冗談では済まないな。真剣に、今の俺の答えを話さなきゃ。もしそれが、彼女たちに受け入れられなくっても。流石に、激怒されるだろうか･･･結局誰も選んでいないことに。俺だけに都合の良い展開を選ぶことを･･･
秋月,ひゃぁぁ///
提督う･･･,何も言い返せない
秋月,うわぁ･･･うわぁ
提督,二人の気持ちに報いてあげたい
秋月,わあ、提督がこっちに･･･瑞鶴さんの所に来るよ！。緊張しちゃうね、長10cm砲ちゃん！。あれ、長10cm砲ちゃんどこ？。ああ、長10cm砲ちゃんが提督の足元に！
提督下から秋月の声･･･,まさか俺が今揉んだのは？
提督いいいいや、そんなわけでは,今までにない冷たい声！？
秋月あ、あぅ～,いいのかな
秋月,私も･･･いいのかな？
翔鶴・瑞鶴,･････････
瑞鶴,こ、殺される･･･
翔鶴,ごめんなさいごめんなさいごめんなさい
時雨,こんな壮大なラブコメ、見たことないよ///
暁,あわわわわわわ///
電,はわわ、抜けがけさんなのです
瑞鶴,こんなの加賀さんが許してくれる訳が･･･
翔鶴,加賀さんからキツイお仕置きがありそうだわ･･･
瑞鶴,あれ、でも何も言って来ない･･･？。加賀さん･･･？
加賀,無表情･･･無愛想･･･私ってそんなに怖く見えるのかしら･･･
瑞鶴,結構早い段階で脱落してた！？
翔鶴,ごめんなさい、ちょっと助かったかもしれません
瑞鶴,ご、ごめんねーみんな･･･抜けがけみたいになっちゃって
翔鶴,でも提督は･･･みなさんとケッコンなさる様ですし･･･その
翔鶴・瑞鶴,ごめんなさい！
金剛,ウーン、まあいいデしょう！
赤城,ええ、誰かが損をするという訳ではないでしょうし
加賀,むしろあの状況下で姉妹愛を見せてくれたのですから。そこは評価するべきでしょう
瑞鶴,あ、平静を装ってる
加賀,･･････っ
瑞鶴,～～♪
陽炎,でもみんな怒ってないし榛名さんも静かだし一件落着･･･。榛名さん･･･？
榛名,この装備と、この装備と、この装備で･･･
陽炎,三式ガン積み！？
瑞鶴,ひぃ！？
榛名,ふふ、瑞鶴さん、翔鶴さん？
金剛,榛名、空母に三式はダメ！三式はダメデース！？
翔鶴,あ･･･あっ･･･
榛名,勝手はっ、榛名がっ、許しませーーーん！
陽炎,打っちゃった！？
瑞鶴,うわっ
翔鶴,ひゃんっ！
陽炎,あ、翔鶴さんも珍しく避けたなー
不知火,陽炎、現実逃避しないでください
青葉,こっちに飛んできます！
衣笠,わわっ、退避―――！
青葉,ああー！？青葉の･･･青葉のカメラがぁ！？。青葉の･･･取材の結晶が･･･
長門,酔わせて喋らせたものを取材と言うか･･･
叢雲,アンタ･･･こんな危ない映像が入ってるなんて聞いてなかったわよ！
時雨,もうこのまま御蔵入りにしたほうがいいんじゃないかな？
青葉,そんな･･･青葉、頑張ったのに
夕張,ああーん･･･もぅ、しんみりしないの！
明石,私と夕張さんとで直してみますから
長門,ふむ･･･ではひとまずこれでお開きとしよう。金剛は榛名を落ち着かせておくように
金剛,了解デース
陽炎,カメラ、直らない方が良い様な気がするわ･･･
赤城,では試写会はカメラが直ってからということで
加賀,一度解散、ということにしましょう
赤城,ええ･･･では、解散！
青葉,ふぇぇ･･･ありがとうございました！。司令官を酔わせて取材しちゃいました！！
