プロデューサー,以下Ｐ
ちひろ,はい、ここしばらくスイーツファイブの皆さんと連日のようにお菓子パーティーをしていたみたいで…
Ｐ,…その4人は？
ちひろ,全く変化ありません！
Ｐ,かな子ォ！！！
ちひろ,どうしましょうか？結構お肉がついてしまったようで衣装が…その…
Ｐ,あ～…とりあえずちょっとかな子と話してきます
ちひろ,はい、行ってらっしゃい
Ｐ,かな子ぉ！
かな子,きゃぁっ！
志保,Ｐさん！ドアはもうちょっと静かに…
Ｐ,今はそんなこといいんだよ！それよりかな子！
かな子,は、はいぃ…！
Ｐ,…何キロ太った？
かな子,Ｐさん！いくらなんでもストレートにそんなこと聞くだなんてデリカシーが
Ｐ,何キロ太ったァ！
かな子,ｺﾞﾆｮｺﾞﾆｮ
Ｐ,はぁ！？そんだけ行くと衣装入んねえだろ！？どうすんだよ！
志保,ちょっと無理すればなんとか入りますって…多分、きっと…
Ｐ,うん、ちょっとこっちの目を見て話そうか
かな子,だ、大丈夫ですよ！
Ｐ,やけに自信満々だな
かな子,この程度は女の子には日常茶飯事です！
Ｐ,ほ～？じゃあこの衣装、パンツだけで良いから入るかどうか見せてみろ
かな子,わ、わかりました！
Ｐ,おう
志保,って、Ｐさん！普通に着替えてるトコ見ないでください！
Ｐ,ん？じゃあちょっと後ろ向いてる。あ、一応破かないように志保が見てやってくれ
志保,わかりました～
かな子,破きませんって！良い機会ですからＰさんには女体の神秘って奴を見せてあげます！
Ｐ,お～お～、頑張れ～
かな子,まずは足を入れて…
志保,かな子ちゃん、流石にこれは…足首の時点でもうダメそうだよ？
かな子,大丈夫ですって！こういうのはお肉を持ち上げながら揺すってやれば…！
志保,あっ！ちょっとずつ上に上がってきたよ！
かな子,ふっふっふ…この要領でもう片方も…よっ！
志保,おぉ～、凄い！みるみるうちに膝のあたりまで！
かな子,ふともものあたりはちょっと苦しいけど…。志保さん！ちょっとお肉を持ち上げるの手伝ってもらって良いですか？
志保,えっ、う、うん
かな子,この辺りのお肉を持ち上げてください！
志保,ここね！よいしょっ…！
かな子,そして揺すりながら…！
志保,上がった！
かな子,もう片方もお願いします！
志保,うん、わかったよ！
かな子,よいしょ！よいしょ！
志保,なんとか上がったね！後は…ファスナーとボタンを閉じるだけ！。でももう上にお肉押し上げて来たのもあってパンパンだよ…流石に閉まらないんじゃない？
かな子,ここからが勝負ですよっ！後はお肉を持ち上げながら限界までお腹をへこませて…ふんっ！
志保,ファスナーが上がった！
かな子,後はボタン…！志保さん、ちょっとまたお肉を持ち上げてください！
志保,わかったよ！
かな子,では…ふんんんんっ！
志保,止まった！やったねかな子ちゃん！
かな子,はい！あ、Ｐさん、もう良いですよ！
Ｐ,聞こえてくる声の時点でアウトだと思うが…一応ちゃんと入ってはいるな
かな子,そうでしょうそうでしょう！女の子はちょっと体系が変わったくらいじゃ何にも問題ないんですよ！
志保,ああ…そんな胸を張っちゃ…
Ｐ,でもそのボタン大丈夫か？かなり無茶して止まってる気がするが…
志保,あっ！覗き込んだら…！
かな子,…ふうっ
志保,あっ、ボタンが…！
Ｐ,アバーッ！
かな子,わぁっ！Ｐさん大丈夫ですか！？
Ｐ,
かな子,Ｐさん…？
志保,Ｐさん？どうしたんです…えっ！？
かな子,志保さん？どうしたんですか？
志保,Ｐさん…死んじゃってる…
かな子,。し、志保さん、そんな冗談…だってボタンが飛んだだけですよ…？
志保,お腹のお肉で飛んだのが悪かったんじゃないかなぁ
かな子,えっ！？
志保,ほら、だってしぼうだし
？？？,ぜっ税に苦で死亡？課金は税じゃ無いから私のせいじゃありませんよ！
