・所々キャラ崩壊があります,主に明石
ウォースパイト,うーん....。あ！Good！やっと見つけたわ！英国製のアンティークキャビネット！。さっそく買っちゃおっと！え～っと値段は....。40万！？うせやろ！？Tooexpensive！高すぎ！。どうしよう....買えなくはないけど流石にこの値段は....。でもせっかく見つけたんだから絶対欲しいし,,,,。うーん....多少無理してでも買うべきかしら....
明石,お困りですか～？
ウォースパイト,oh！びっくりしたわ！。急にどうしたの？アカシ
明石,いや～あの高貴なウォースパイトさんがお金に困ってそうな顔をしていたのでつい
ウォースパイト,うっ....でも、貴女には関係の無い話よ
明石,まあまあそんな事言わずに....私にいい話があるんですよぉ～
ウォースパイト,胡散臭いわね....でも一応聞いてあげるわ何かしら？
明石,じゃあ単刀直入に言いますね。ウォースパイトさん....youtuberになってみません？
ウォースパイト,.....what's?
明石,いや～私最近一儲けしようとyoutubeにチャンネル作ったんですよ！。でも収益化にはチャンネル登録者数とか総再生時間とか色々と条件があるみたいで.....。そのレベルの動画を作るために私一人でやるにはきついかな～って思ってて...
ウォースパイト,....それで私に協力してほしいということね.....
明石,Exactly！その通りでございます。具体的にはウォースパイトさんがロケを行って私が企画・撮影・編集・投稿をする感じです！
ウォースパイト,....なるほど、でもなぜ私に？
明石,単純な理由ですよ、動画栄えする外見に企画の幅を広げる流暢な英語。私自身を使うより遥かにいいかなって思ったんです。どうですか？報酬は弾みますよ？キャビネット欲しくないですか？
ウォースパイト,.....うーん.....。分かったわ....交渉成立よ！
明石,毎度♪じゃあ早速撮影しましょうか！。じゃあ今から撮影始めます！。最初の題目は...英語教室でいいですね？
ウォースパイト,ええ、英語関連の方が最初は私もやり易いしね
明石,じゃあこっちも準備出来たので撮りますね！。3...2...1....どうぞ！
ウォースパイト,Hello！私スパ子！今日からみんなといっしょに英語の勉強をしていくわ！よろしくね！。youtubeのことはまだまだ初心者だけど直して欲しいところやリクエストがあったら教えてね！。それと私の授業は基本的に中学生でも理解できるくらい分かり易く解説していくわ！。でも受験生や社会人で英語試験のスコアを取る人にも役立つような知識や文章も紹介するから！。授業中に出てくる文章を私と一緒に何度もシャドーイングすれば英語力もぐっと上がるから頑張ってね！。まず今日やる内容は英語の中でも基礎の基礎、be動詞よ！。でも油断しちゃ駄目！英語の学習が進めば進むほどこういう基礎って疎かになっちゃうものなの！。be動詞にはisamarewaswereの5種類があるわ！でも文法によって使い方も全然変わって来るの！例えば～。....というわけなの！じゃあ今日の授業はここまで！。この動画シリーズは週3日のペースで投稿するから楽しみにしててね！。あと、この授業が良いと思ったらチャンネル登録と高評価よろしくね！。それでは次にまた会う時まで、good-bye♪。.....これでいいかしら？
明石,うん！すごくいいですよ！バッチグーです！
ウォースパイト,でも動画の途中で緊張して噛んじゃったりしたけど....大丈夫？
明石,まあそこは編集でどうとでもなりますから！じゃあこれ今日の報酬です！
ウォースパイト,Wow！こんなにくれるの！？
