モパP,以降P
ありす,橘です。何回言えば分かるんですか！
P,あぁすまんすまん。ほら、こっちの部屋でやるから、な？
ありす,もう……！
卯月,ありすちゃん、事務所に来てからもう半年以上経つのにまだプロデューサーさんにはツンツンしてますね……
ちひろ,そうねえ……他のみんなと話す時はあんな感じじゃないのに……
心,プロデューサーがなんかしたんじゃね☆セクハラとか☆
菜々,はぁとちゃん！さすがにそれは言い過ぎです！
心,めんごめんご☆さすがにそこまでデリカシーないヤツじゃないよな☆
ちひろ,プロデューサーが嫌いなわけじゃないとは思うんだけど、それにしてもツンツンしすぎよねえ……
智絵里,ありすちゃん……プロデューサーさんとも仲良くして欲しいなあ……
凛,ふーん。まあ、私とプロデューサーの邪魔にならないなら別に……
卯月,あ～！また凛ちゃんがプロデューサーさんの上着を！
美嘉,凛！次私だからね！
ちひろ,……仲が良すぎるのも考えものだけどね……
菜々,……なんだかひと波乱ありそうですね……
ありす,ごめんなさいごめんなさい本気で言ってるわけじゃないんですごめんなさい嫌いにならないで
P,はいはいわかってるわかってる。気恥ずかしいだけだもんな
ありす,ごめんなさい…他の人がいると思ってもないことを言ってしまって……
P,大丈夫だよ。ちゃんと分かってるから、な？気にすんな
ありす,Pさんっ……！ありがとうございますっ
P,よしよし。最初はそれこそさっきみたいなツンツン状態だったけど、いつからか２人の時だけべったりになってしまった。きっかけはあの一連の出来事だったんだろうか……
ありす信号青ですよ！はあ……。いい加減,橘
P,表情が硬い……流石にいきなりスムーズにはいかないよな……
カメラマン,Pちゃん、頼むね
P,はい
ありす,……はい
P,ありすと呼んでも怒らない……こりゃあそうとう参ってるな……
Pよし！ありす、力を抜いてリラックスだ！それから、,どう写りたいか
ありすは、はいっ！,見てもらいたい私……大人っぽく……！
P,よし、今だ！
カメラマン,これは決まり、かな？
P,……ええ！。混乱してるな……よし有耶無耶にしよう！。とりあえずベッドに寝かせよう……。一応ぶつかる軌道じゃなかったけど、相当怖かったはずだ……。あれから念のためにアフターケアでカウンセリングとかも受けさせたけど、フラッシュバックとかはなかった。車も今まで通り乗れるし、ホント、無事で良かった……
ありす,…さん！Pさん！
P,おおっと、どうした？ありす
ありす,どうしたじゃないですよ！私の話、ちゃんと聞いてました？
P,おう……ごめんごめん、ちょっと考え事してて……
ありす,もう……せっかく二人きりなんですから私のことをちゃんと見ててください！
P,やっぱあの出来事が俺にべったりになってしまったきっかけ……なんだろうなあ。俺も甘いのかもしれないけど、あんなことがあった後だとどうしてもなあ……。もうそんな時間か！打ち合わせは終わったから先に行っててくれ！俺もすぐ行く。ありす
ありす,なんですか？
P,ありすも聞いたろ？この後卯月たちのレッスンを見る約束があるんだ。打ち合わせも終わったし、事務所でゆっくりしててくれ
ありす,むぅ～……しょうがないですね……Pさんの仕事が終わるまで事務所で待ってます
P,いや、今日はありすは打ち合わせだけなんだし、休憩したら俺を待たずに早めに帰ったほうが……
ありす,待・ち・ま・す！！親も遅くなるでしょうから、Pさんと帰ります！！
P,アッハイ
ありす,ちゃんと事務所に戻ってきてくださいね！
P,どうしたもんかなあ……
文香,ありすちゃん、紅茶です。お砂糖もお好みでどうぞ
ありす,文香さん、ありがとうございます。頂きます
文香,ありすちゃんは、プロデューサーさんがお嫌いですか……？
ありす,え！？いえ、そういうわけじゃないんです！ただ子供扱いが嫌なだけで……
文香,プロデューサーさんはきっと、ありすちゃんを子供扱いはしていませんよ？
ありす,……
P,いやあすまんすまん。おばあちゃんを道案内してたらちょっと遅くなっちまった……
ありす,プロデューサー、おかえりなさい
文香,おかえりなさいプロデューサーさん。すみません、少しお手洗いに行ってきます
P,はいよ。文香が戻ったら２人の新しいユニットの打ち合わせ始めようか！
文香,はい。では
ありす,Pさん……
P,ん？どうしたありす
ありす,私、事務所のみんなにPさんのことが嫌いだと思われてるみたいです……
P,ふ～む……俺としては仕事に支障がなければそれでいいんだけど、さすがに変な噂が立つのは困るんだよなあ……
ありす,噂……？
P,そう。今もちょっと流れてるらしくて、ありすが俺にセクハラされた説とか、俺が実はドMで喜んでる説とか
ありす,えぇ……
P,前者はともかく、凛が後者を真に受けてムチとか持って来た時は流石に怒ったな……ハハハ
ありす,凛さんたちはPさんにベタベタしすぎです！Pさんも甘いです！はっきり言わないと駄目です！
凛,ｯｸｼｭﾝ！誰かが私の噂してる……？まあいいや、プロデューサーの上着は……あった！
P,凛だって、場所はわきまえてる……と思うからさ。さっきも言ったけど仕事に支障が出なければいいと思うんだ。事務所帰ってきた途端に美嘉と一緒に上着かっさらってくのは勘弁してほしいけど
ありす,そういうことじゃなくて～……！うぅ～！
P,どうどう
ありす,はぅ……も、もっとしてください。あとぎゅってしてください
P,はいはい
ありす,えへへ…。！？
文香,すみません、戻りました……ありすちゃん？どうかしたんですか？
ありす,い、いえ、なんでもありません……！
文香,？
P,……よし！じゃあ打ち合わせ始めようか！
ありす,お母さん。お風呂上がりました。はあ……なんでいつも素直になれないんだろ……。タブレットで調べてみたら出てくるかな。ツン……デレ……？。メロメロ……Pさんも私にメロメロ……なのかな……？。意外と有効だったりするのかな？他の人もPさんに好意を持ってるけど、みんなベタベタしてるから。最後のは……多分違う。とにかく、Pさんも気にしてないって言ってたし、急ぐ必要はない……のかも……。でも……二人きりになれることも少なくなってきたから……ちょっと……寂しい……な……。Zzz……。おはようございます
ちひろ,おはよう、ありすちゃん
心,ありすちゃん、おっつスウィーティー☆
菜々,ありすちゃん、おはようございまーす！
卯月,おはよう、ありすちゃん！
凛,おはよう、ありす
