女,あ、パンケーキおいしそー！
女友,あたしもパスタ撮ろうっと！
男,……
友人,どうした？
男,たまに見かけるけど、ああいうメシの写真撮ってる奴ってなんなの？何がしたいの？。見た目が芸術的な食い物ならまだ分からんこともないけど。ただのラーメンとかカレーとか写真撮ってる奴いるじゃん。なんだよあれ
友人,そりゃあ、後でこんなの食べたなって懐かしむためじゃないか？
男,友達との写真とか、名所の写真とかならまだ分かるけどさぁ……。後で食い物の写真見ても、面白くもなんともないと思うがな。やっぱり食い物って、舌で味わってこそだと思うし
友人,あとは……多分、あとで自分のブログやらフェイスブックやらに載せて。今日こんなの食べましたーってやるためだろ
男,他人の≪今日はなに食べた≫なんて全然興味ないんだけど。むしろ、腹減ってくるからこんなの載せるな、って怒りたくなりそう
友人,お前は捻くれてるからそうなのかもしれないけど、普通の人は。この店ぼくも行きましたーえーホントー？ってコミュニケーションの材料になるんだよ
男,ふうん、俺にはとても理解できないな。俺が写真撮るんだったら、やっぱりスクープ写真よ。今、話題になってる連続神隠し事件の神隠しが起こる決定的瞬間なんてのを収めて。新聞社に売りつけてやるのさ！
友人,まあ、あれはどうせ全部家出だっていわれてるけどな
男,つまらない奴だね、お前は
友人,昔からオカルトってのは信じてなくてね
男,とにかく俺がいいたいのは、メシの写真なんて撮るだけフィルムや容量の無駄だってことさ
店主,サバの味噌煮定食でーっす！
男,どうも。……。このサバの味噌煮……妙にいい形してるな。こないだメシの写真を撮ることについて話したからってわけじゃないけど。ちょっとデジカメに収めたくなってきた……。……。こうか？。あっ、しまった……微妙にピンボケしてるな。こう？。お、今度はいい感じだ。でも、どうも構図が平凡だ。こういう時、デジタルってのはやっぱりいいな。いくらでも撮り直しがきく。だったらこう？。こう？。こうか？。こっちの角度もいいかも！。う～ん、だんだんノッてきたぞ。うーん、いいねいいねー！。サバちゃん、いいよ！とてもいい！。その表情いい！もらっとくね！。あ～いいねぇ～！。そうそう！そのポーズ、絶対ウケるよ！
店主,お、お客さん！？何やってんですか！
男,……というわけで、俺はメシを撮るのにすっかりハマッちまったよ
友人,へ、へぇ～
男,今ではご覧の通り、食ったもんの写真を貼りつけたブログまで始めてさ
友人,……ほう
男,しかも、コメント残してくれるファンも出来てきたんだぜ。な？
友人,へぇ～、すごいじゃん。まあ、たしかにこいつの撮る写真は……。どれもうまそう、というか食い物がうまそうに撮れる角度を分かってるって感じがする。お前にこんな才能があったなんてなぁ
男,自分でも驚いてるよ
友人,これからもブログ更新頑張れよ！
男,ああ！。……ん？。おお！まさかリアルで会いたいなんていってくれる人が現れるとは！。リカちゃんなんて可愛い名前だし、もちろんオッケーしよっと！。いいですよ、いつにしますか……っと。……ん？
青年,こんにちは！
男,あ、もしかして、バニー・リカさん？
青年,はい、そうです！
男,女の名前なのに……なんだ男か
青年,騒がしいの苦手なんで、あまり人がいないところで語り合いましょう！
男,はい……。もしかしたらガールフレンドが出来ると思ったら、あてが外れたなぁ……
青年,あなたの写真は本当にすごいです！食欲をそそります！
男,最初はご飯の写真を撮るなんて下らないって、バカにしてたんだけどね。男なのはガッカリしたけど、話してるうちにだんだんといい奴だって分かってきたな
青年,あ、これよかったらどうぞ。ミネラルウォーターです
男,どうもありがとう
青年,ところで、僕もこれから食べる物の写真の撮るのが趣味なんですよ
男,へぇ～、そうなんだ。よかったら見せてくれよ
青年,とても見せられるものじゃありませんよ
男,そうかぁ～、残念
青年,あの、あなたの写真を撮ってもいいですか？
男,いいとも
青年,あなたのブログを見た瞬間から、次はあなたにしようって決めてたんですよ
男,？……ふうん
青年,じゃ、撮りますね！
男,男前に撮ってくれた？
青年,はい！。最後に一つだけ教えておきます。僕のハンドルネームってアナグラムになってるんですけど、入れ替えると……
男,？なに？今なんていったの……？。あれ……頭がぼんやりする……。なんだか急に眠くなってきた……。まさか……さっきの水に……なにか入ってたのか……？。もしかして……次に神隠しにあうのは……お、れ……
