初春氏は佐天氏と同じく,とある科学の超電磁砲
佐天,ーーこの度は、世間を騒がせてしまいましたことを深くお詫び申し上げます。申し訳ありませんでした
記者A,佐天さん、今回の問題に関してですがあなたは無能力者ではないということで間違いは無いんですね？
佐天,……はい、その通りです
記者B,今回改めて能力を測定したそうですが、その結果を教えていただけませんでしょうか
佐天,はい、今回測定した結果ですが……低能力者レベル１
記者C,それは正しい結果で間違いないんですよね？
佐天,はい、間違いではありません。あたしは無能力者ではないと証明されました
記者D,今回、初春さんの告発により無能力者ではないとわかった訳ですが、その告発に関しては全て正しいということでいいんですね？
佐天,一部は認めますが、その他は初春の都合のいいように改ざんされています。全て正しい、全て認めるという訳ではありません
記者A,では、その一部とその他について教えていただけますか？
佐天,はい。……もともとは初春からの提案でした。結果的にあたしもそれに同調したのは事実ですが
記者B,初春さんから？無能力者ではないことを隠そうと提案したのは初春さんだったんですか？
佐天,はい、間違いありません
記者E,初春さんは佐天さんの方から無能力者としてやって行きたいと相談された、と会見では言っていましたがそれは違うということですね？
佐天,違います。初春からです
記者F,もう少し詳しく、初春さんからの提案を教えていただけますか？
佐天,……あれは、測定の結果が出た後のことでした。聞いてよ初春！あたしね、ついにやったんだよ！
初春,どうしたんですか？何かいいことでもあったんですか？
佐天,うん、実はね……ついに無能力者から卒業したのだよ！
初春,なぁーんだ、そんなこと……うええっ！？
佐天,ふふーん、驚いた？いやー、あたしもこの日が来るなんて思わなかったよ
初春,……佐天さん、まさかまた幻想御手レベルアッパー
佐天,使ってない！そんなもの無しでもちゃんと能力が使えるんだってば！
初春,そ、そうなんですか……
佐天,ほら、初春。もっと褒めてもいいんだよ？
初春,…………
佐天,初春？どうかしたの？
初春,……佐天さん、本当にそれでいいんですか？
佐天,えっ……？
初春,無能力者ではなくなった、本当にそれで佐天さんはいいんですね？
佐天,な、なにその言い方。まるであたしが能力持ったらいけないみたいに聞こえるんだけど
初春,確かに佐天さんが無能力者でなくなったことは喜ばしいことです。でも、それで佐天さんは得しますか？
佐天,得って……決まってるじゃんか！なにが言いたいのかさっぱりわからないよ……
初春,ほら、佐天さんって、無能力者だけど頑張るみたいなところが人気だったりする訳じゃないですか
佐天,……はい？
初春,明るく可愛い、でもそういう悩みもあるから応援したくなるんですよ。超能力者の御坂さんと対比もできて物語的にも美味しかったりする訳です
佐天,あの……なに言ってんの？
初春,ともかく！佐天さんの無能力者っていうのはアイデンティティだと私は思うんです！
佐天,……なんだかすごく失礼なことを言われてる気がする
初春,そのアイデンティティがなくなったらどうなりますか？少し考えてみてください
佐天,うーん……あたしがその能力を駆使して学園都市の問題を解決！とか？
初春,甘いです！
佐天,ええっ……
初春,いいですか？無能力者でなくなると、後残るのは佐天さんが可愛いってことと私のスカートをめくる位しか個性がないんですよ！？
佐天,そ、それだとあたしが初春のスカートめくるだけの女みたいだよ！そんなことは……
初春,そんなことある！
佐天,ええっ……
初春,スカートめくる可愛い女の子なんて掃いて捨てる程います。そこに無能力者が付くから人気キャラなんですよ！
佐天,そ、そんなぁ……
