風間明日香,５３
テロップ,風間明日香５３
明日香,これ、あたしのアルバムなんですけど……。見てみますか？
喪黒,はい……。ほう……
明日香,懐かしいですね……。昔のあたしは、スケバンだったんですよ
喪黒,喧嘩とかはしてたんですか？
明日香,はい……。いつも他校の不良と喧嘩しては、相手をボコボコにしていましたね。あのころはあたしは、ディスコを経営していました。当時は羽振りが良かったですね
喪黒,おそらく、あの時期はバブル期とも重なっているでしょう
明日香,ええ。バブルの崩壊でディスコの経営は次第に悪化し、あたしは店を潰しました。借金まみれになったあたしは、クラブでホステスとして働いていました
喪黒,いやぁ……。それは大変だったでしょう……
明日香,はい……。当時の夫とは、もう離婚しましたよ。ちなみに、彼は暴力団の組長でした
喪黒,おそらく、あなたは結婚生活がうまくいかなかったのでしょう
明日香,ええ……。彼のことは、思い出したくないですね……
喪黒,なるほど……。あなたも辛い過去を背負っているようですねぇ
明日香,この店の経営を始めたのは、あたしが44歳のころでしたね
喪黒,風間さんにとっては、ようやく安住の地を手に入れたというわけですか……
明日香,はい。でも、大人になってからは、ろくにいいことがありませんでしたね……
喪黒,確かに、大人になってからのあなたは、波乱が多い人生を送っていますからねぇ
明日香,今思えば、大人になる前は日々が楽しかったですよ。特に、10代の時期とか……
喪黒,10代の時期とは……。あなたがスケバンだったころですか？
明日香,はい。あのころは毎日のように、他の不良と喧嘩に明け暮れていましたけどね……
喪黒,あなたも10代のころは、それなりに青春を謳歌しましたからねぇ
明日香,失われた青春を取り戻すというか……。もう1度、10代のころに戻って人生をやり直すというか……
喪黒,そうですか……。どうやら、風間さんの心にもスキマがおありのようですねぇ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
明日香,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
明日香,人生相談か、何かですか？
喪黒,私のやっていることは、ボランティアみたいなものです
明日香,そ、そうなんですか……
喪黒,風間さん。あなたが再び、10代のころに戻ることは可能ですよ
明日香,さすがに、それは不可能ですよ……
喪黒,私なら可能です。そのために、いい道具があるんですよ
明日香,何ですか、これ……？
喪黒,変身コンパクトです。このコンパクトを使えば、あなたは17歳の自分に変身することができますよ
明日香,冗談はよしてくださいよ
喪黒,冗談ではありません。私は本気で言ってるのです
明日香,フフッ、何か面白そうですね……
喪黒,コンパクトを開いて、ミラクルガールと叫んでみてください！
明日香,わ、分かりました。やってみますよ……。ミラクルガーール！！。！！！
喪黒,どうです？風間さんは、17歳のころの身体に変身できたでしょう？
明日香,こ、こんなことが本当に起きるなんて……
喪黒,おそらく、あなたの身体にも変化は起きているはずです
明日香,そ、そういえば……。身体の中から、力が湧いてくるような感じがします……
喪黒,10代のころの人間は、誰もが体力に恵まれていますからねぇ……
明日香,でも、これじゃあ、今のあたしと見分けがつきませんよ……
喪黒,変身コンパクトを開いて、カレントエイジと叫んでみてください。そうすれば、あなたは元の年齢に戻れます
明日香,そうですか……、やってみます。カレントエイジ！！。あっ、元に戻った……
喪黒,風間さん。あなたはこの変身コンパクトを使って、再び青春を謳歌してください
明日香,なるほど……。やってみる価値はありますね……
喪黒,ただし……。これを使用する際は、約束を必ず守ってください
明日香,約束！？
喪黒,そうです。変身コンパクトを使用するのは、1週間のうち1日だけが限度です。いいですね、約束ですよ！？
明日香,わ、分かりました。喪黒さん。ミラクルガーール！！。よし
不良たち,ふぇ～、あの女強ぇ～なぁ～
不良,例のお前か？お前、結構強いんだってな
明日香,まあね
喪黒,いかがですか、風間さん？再び青春を謳歌することはできましたか？
明日香,はい。17歳になったあたしは、しょっちゅう各地の不良たちと喧嘩をしてるんです
喪黒,喧嘩……とは、殴ったり蹴ったりとかの暴力のことですよね？
明日香,そうですよ。10代のころのあたしは不良だったんだから、喧嘩といえばそれですよ
喪黒,それはよかったですねぇ……と言いたいところですが
明日香,いいえ。あたしにとっては、これが有意義な過ごし方だと思っていますよ
喪黒,そうですか……。あなたがそう考えるのなら、私から言うことは何もありません
明日香,それは承知していますよ
喪黒,いくらあなたが強いからと言っても、気を抜くと彼らに何をされるか分かりませんよ。油断は禁物です
明日香,大丈夫ですよ。あたしはいつも、喧嘩では勝っていますから……。ハア……、ハア……、ハア……。な、何するんだよ！！離せ！！
テロップ,次の日――
明日香,い、嫌！！それだけはやめて！！。ウッ……、ウウウ……。ゆ、許さない……！！あいつら……
不良A,お、お前は……
明日香,実は、あんたと話したいことがあるんだよ……。ありがとう。あんたたちの仲間の名前は、ちゃんと覚えたよ。あいつらは、あたしの手で全員始末してやる……
テロップ,その次の日――
不良B,俺らのダチを殺したのはお前か……
明日香,そうだよ。あいつを含め、あんたたちのせいで、あたしの人生はメチャクチャだよ……。終わった……
喪黒,風間明日香さん……。あなた約束を破りましたね
明日香,も、喪黒さん……！！
喪黒,私は言ったはずですよ。変身コンパクトの使用は、1週間のうち1日だけが限度だ……と
明日香,あ、あたしにだってやむを得ない事情があったんですよ！！
喪黒,やむを得ない事情……ですか。私は、あなたが犯罪を行うために変身コンパクトを渡したのではありませんよ
明日香,あなたに、あたしの気持ちが分かってたまりますか！！あたしが、あいつらにされたことを考えると……
喪黒,ねぇ、風間さん。不良に戻って、再び喧嘩三昧の生き方をするからこうなるんですよ
明日香,くっ……
喪黒,約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
明日香,キャアアアアアアアアアアア！！！。ハア……、ハア……。疲れた……。しばらく横になって休もう……
喪黒,いつの時代も、何かしらの形で不良は存在してきましたし……。不良文化も時代を経るごとに変遷を重ねていきました
