～AllIdolRatingAgency,アイドルランク制定機関、通称A.I.R.A.
社員,どうですか今晩、一緒に食事でも
受付,もう、やだぁ…仕事中ですよ。あら…？外から何か…
舞,オラァ！！
受付,うわ、窓ガラスが割れ…割れてない！？
社員,馬鹿な、表現力だけで幻覚を見せたというのか！？
舞,はい、全員手を挙げてその場でクラップ！。はろー、私日高舞☆アイドルをしてるピッチピチの…女の年齢なんて詮索するんじゃないわ殺すわよ
まなみ,すみません、すみません…
舞,こっちでペコペコしてるのは私のマネージャー、まなみんこと岡本まなみ！何を謝ってるのかしら？まぁ、どうでもいいけど。ヘイ、そこの彼女！
受付,な、なんですかあなた…！？
舞,ここの責任者を出しなさい、日高舞が来たと伝えて
社員,ひ、日高舞…！？日高舞って、やっぱりあの…！？
受付,あ、あの…アポイントは…
舞,予約ぅ？そんなん取ってないわよ。日高舞がわざわざ来たのよ、相手をするのが礼儀ってものじゃない？
まなみ,礼儀の欠片もないのに相手に礼儀を求めないでください…
受付,そうですよ。なんなんですかあなたいきなり…
社員,馬鹿！やめろ！この人に逆らおうとするな！
受付,馬鹿！？
舞,で、どうなの！？責任者がいないならとにかく偉い人呼んできて
社員,い、今はみなさん会議中ですぅ！
舞,ふーん、じゃあ会議室に乗り込めば全員いるわけね
まなみ,ちょ、ちょっと舞さん！？まずいですよ！
舞,この自動ドアの奥に行けばいいかしら
まなみ,あっ、もう進んでる…
舞,ん？勝手に開…
玲音,賑やかだね。お祭りでもやってるのかな？
受付,あ…玲音ちゃん！
社員,れ、玲音さん…
舞,レオン…？
玲音,あれ？キミは…
舞,なんか時々テレビで見るわね、何者なの
まなみ,え、知らないんですか！？彼女は伝説で最強のアイドル、玲音ちゃんです！
舞,あ゛？
まなみ,あ
舞,え、何？伝説で最強？それって、この私、日高舞を指す言葉じゃなかったの？
まなみ,い、いえ、時代が違うと言うか…
舞,は？
まなみ,あ、え、そうじゃなくて、なんというか玲音ちゃんは現代の伝説と言うか…
舞,はぁぁぁーん！？こっちは古き伝説とでも言いたいわけ！？
まなみ,あうあうあう
舞,そもそも何よ現代の…伝説？矛盾してるわ！伝説ってそういうもんじゃないでしょう！？
まなみ,舞さんも、現役時代から伝説のアイドルと言われていたそうですけど…
舞,うるさい！私はいいの！
まなみ,子供ですか…
玲音,アナタは、もしかして…
舞,初めまして。あなた伝説とか言われるみたいだけど、この日高…
玲音,うん、初めまして！アタシは玲音！
舞,おおぅ！？
玲音,キミ…とか言ったら失礼だな、アナタ日高舞さんだよね！？
舞,え、ええ…そうだけど…
玲音,アタシ、子供の頃からアナタの曲を聞いてて…わぁ、本物に会えるなんて…
舞,は、はぁ…
玲音,っと…握手いいかな！？
舞,ま、まぁ…
玲音,いや～ありがとう！感激だな、夢みたいだよ！
舞,そ、そう…
まなみ,舞さんが押されてる…
玲音,ALIVEは擦り切れるほど聴いたよ！あ、こう言うとニワカ扱いされるかもしれないけどさ。でもさ、いいものはいいものだよね？だからこそ評価されるんだし、逆に言えばニワカな人達も巻き込むほどに心を動かすものがあるってことだ。ALIVEと言えば、去年に娘の日高…愛がカバーしたよね。あれって、どういういきさつが…
舞,え、えーと…それは…
まなみ,あ、あの…玲音ちゃん、舞さんが困っているので抑えてくださると…
玲音,ん？そっちのヒトは…
まなみ,あ、失礼しました。私、舞さんの専属マネージャーの岡本まなみです
玲音,へぇ、岡本…舞さんの専属か。苦労してそうだね
まなみ,うふふ、そうですね…玲音ちゃんが思ってる10倍くらいは
舞,ねぇまなみん、なんでこの子タメ口なの？
まなみ,玲音ちゃんは誰にでもそうですよ。でも舞さんだなんて下の名前で呼ぶのは珍しいし、しかもさんづけなんて聞いたことないです
舞,そうなの？ふーん、生意気な娘ねー
まなみ,あ、まんざらでもなさそうだ
玲音,ごめんごめん、熱くなっちゃって。こんなところで舞さんに会えるとは思ってなくて
舞,私のこと少しは知ってるみたいね
玲音,え、少しと言うか…アイドルをやってて…いやアイドルを目指してて日高舞を知らない人なんているの？
舞,それがいるのよ。そういう連中に私のことを二度と忘れられないようにするのが今の私の使命よ
玲音,へぇ、そうなんだ。舞さんのステージを見たら忘れられなくなるだろうね
まなみ,多分玲音ちゃんが思ってるのと違うと思います…
舞,何が違うってのよ。みんな感動で涙流してくれるじゃない
玲音,ふーむ…。舞さん。アタシとフェスバトルで対決してくれないかな
まなみ,ええっ！？
舞,あら、珍しいわね。自分から私に挑んでくる人なんて、もういないと思ってたけど
玲音,アタシも伝説とかなんとか言われてるけどさ。舞さんは違う。教科書に載っているような、本物の伝説だ。そんな人を相手に、自分の力がどこまで通用するのか試してみたい
舞,いいわね。そういうのは嫌いじゃないわよ
まなみ,舞さんと…玲音ちゃんが…フェスバトル！？。死人が出る！
舞,で、フェスバトルって何？
まなみ,てっ。フェスは知ってますよね？
舞,屋外にたくさんのステージを用意して開催する音楽の祭典よね
玲音,フェスバトルでは、複数のアイドルが同時にステージを行って、より多くの客を釘付けにした人の勝ちになるんだ
舞,え、何それつまり客の奪い合いってこと？超面白そう
まなみ,舞さんの場合10秒も経たないうちに客を独占して普通のライブと同じになりますから超つまらないと思いますよ
舞,確かに
玲音,舞さんだって、相手がいなくて持て余してるだろう？アタシなら退屈はさせないよ
まなみ,うーん、そうですね…玲音ちゃんなら…あるいは…
舞,ま、そういうことなら構わないわよ。やりましょう
まなみ,ちょっ、駄目ですよ舞さん！
舞,いいじゃない。久々に骨がありそうな相手だわ
まなみ,舞さんのアイドルランク、Eランクじゃないですか！オーバーランクの玲音ちゃんの相手なんてできませんよ！
舞,ぐっ…！？
玲音,え？
舞,ほ、ほーん、誰のせいだと思ってるのかしらまなみんは…
まなみ,あっ、いや…
玲音,舞さんがEランク？…なんで？
舞,なんでって言われてもね。まなみんがパス申請したらEだったのよ
まなみ,ですから～！
