・今日,6/6
エラー娘,そこのお嬢さん！お困りのようですね！！
漣,うぐ、ひぐ…え、な、何？
エラー娘,ふふふ、私は通称猫吊るし！今はあなたの味方です！
漣,へ？ん？
エラー娘,今からあなたに魔法をかけます
漣,ま、魔法。は、はぁ……？。え？あ、ちょっとｍ
エラー娘,それーっ！
漣,グワーッ！！
エラー娘,クロコダイーン！なんちゃって
漣,はっ……ここは！？。ほ、ほんとに一年前だ、しかも練度も１になってるし……うっわ今の漣、弱過ぎ？。……ナニコレ、脳みそアイタタタなネット小説じゃないんだから。……ｍｊｄ？マジで、本当に戻ってるのこれ……！。や、やってやろうじゃないの。全力で！ご主人様のハートを！この手に！。まずは執務室をピッカピカにしてやりましょうか。時間に余裕があればご飯の準備とかもだね。やるぞ、おーっ！
以上です。やりたい事やれて楽しかったです,KONAMI
漣,よし、支度完了っ！時間は……ちょうど良さそうね。お、噂をすれば廊下を歩く足音がしますねぇ……緊張してきた。前の時は緊張して記憶が飛びかけたなぁ、懐かしい。さて、頑張るよ、まずは挨拶から、しっかりしないと
提督,こんにちは、えーと……君が？
漣,そ、そうですヨ！私が綾波型駆逐艦九番艦の漣です。えーっと、字はですね
提督,水が連なるで漣だったね？うん、素敵な字だ。そうか、よろしくお願いします
漣,えっ、えへっへへへへ、こちらこそ、執務から身の回りのお世話までどーんっとお任せください！
提督,よし、それじゃあ早速始めようか、えーと、まずは
漣,始める前に任務を色々受けてからにしましょう、任務のお姉さんはこっちの部屋に……
提督,すまないねぇ頼りになる子だなぁ
漣,一通りやりましたね、あとは初出撃を済ませてしまいましょうか
提督,そうだね……聞くのもおかしな話だけど、大丈夫かい？
漣,心配御無用ですって、ご主人様！ご主人様は港で漣を待っていてくださいネ！
提督,……そうか、無茶はせずに帰って来るんだよ？
漣,当然です、なんせご主人様が待ってますからね！よし、駆逐艦漣、出る！。艦隊のただいまです、ご主人様！
提督,お帰り、大丈夫だった！？
漣,ふっふーん、敵艦隊主力の軽巡１、駆逐２を撃破しましたし漣も無傷ですヨ！あ、詳細はあとでレポートにして出しますね
提督,はい、お疲れ様でした。一人なのによく頑張ってくれたね
漣,うぇへへへへへへ、褒められて伸びるタイプです、いっぱい褒めてくださいね！
提督,うんうん、よしよし、これからも頼りにしているよ
漣,うぇひひひひひひ、お任せください！。ご主人様っ、１－４まで無事終わりましたね！
