市ヶ谷有咲,おーい、香澄ぃー
牛込りみ,あ、有咲ちゃん。おはよう
山吹沙綾,おはよー有咲
有咲,ああ、おはよう。……あれ、香澄は？
りみ,うん、風邪ひいちゃったみたいで今日はお休みなんだ
有咲,え、香澄が風邪って……
沙綾,なんとかは風邪ひかないって言いたいのかなぁ、有咲は？
有咲,べ、別にバカとは言ってねーし！
沙綾,私もそこまで言ってないけどなー
有咲,うっ……
花園たえ,私も風邪ってひいたことないなぁ
有咲,うわっ、いたのかおたえ！？
たえ,？私のクラスは１－Ｂだしいるよ？
有咲,それはそうなんだけどそうじゃなくてだな……
りみ,いきなり後ろから話しかけられるとちょっとびっくりしちゃうよね
たえ,あ、そっか。ごめんね、有咲
有咲,ああいやいいんだけどさ……。それより、香澄が風邪ってどうしたんだ？
りみ,うん、昨日雪が降ったよね？
有咲,降ってたな。寒いの嫌いだから蔵から一歩も出なかったけど
沙綾,それで、その雪を見ながら庭で大福のアイスを３つ食べたら体冷やして風邪ひいちゃったんだって
有咲,……やっぱバカだろあいつ
たえ,私もオッちゃんと一緒に雪見ながらご飯食べたよ。オッちゃんが寒そうだったからすぐ部屋に戻ったけど
有咲,ホントに似た者同士だなおたえと香澄は……
たえ,同じギター担当だもんね
有咲,そういう意味じゃねーよ！
りみ,でもそんなに重い風邪じゃないみたいだよ。熱も微熱くらいってメッセージが来てたし……
沙綾,お見舞い行こうかって聞いてもうつしたら悪いしすぐ良くなるからへーきだよっ！って返ってきたしね
たえ,でも今日は家に香澄１人だからヒマーっ、とも言ってたね
有咲,…………
りみ,有咲ちゃん？
有咲,……んで
たえ,？
有咲,なんで他のみんなにはメッセージがあって私にはねーんだよ……
りみ,あ、それは……むぐっ
沙綾,りみりん、しー
有咲,なに？私だけ悪い意味で特別って言いたいのか？なんで？私だけ違うクラスだから？
たえ,香澄ってああ見えて結構寂しがり屋だよね。ウサギにもそういう子いるよ。あんまり弱ったところを見せないけど、信頼してる人には素直に甘えてきたりって。私にもそういうところを見せてくれるから、すっごく可愛いよねウサギって
りみ,お、おたえちゃん、それを今言うのは……
有咲,……ああそうかよそういうことかよ私は信頼に足る人物じゃねーってことかよなんだよポピパ結成の一番最初のメンバーなのに私が一方的に信頼してただけかよそうだよなそもそも結成の時だっておたえがギター弾けるって分かったらすぐにそっち行ってこっちは蔑ろにするし結局はそうなんだよなはいはい分かってたよ分かってたし別に私だって好きとかそういうんじゃないし――
りみ,た、大変……香澄ちゃんがおたえちゃんにギター教えてもらってた時の有咲ちゃんになってる……
沙綾,私が言えたことじゃないけど、香澄もちょっと抱え込む癖があるからなぁ。きっと本当は誰かにお見舞いに来てほしいって思ってるよね。でもやっぱり大人数で言っちゃうと迷惑だろうし、やっぱりここはポピパから誰か1人が代ひょ――
有咲,私が行くから
沙綾,そう？それじゃあ有咲に任せようかな
たえ,お見舞い頑張ってね、有咲
りみ,え、えーっと……うつされないように気を付けてね？
有咲,うつされるようなことしないから大丈夫
りみ,そ、そう……
有咲,それじゃ、私は準備しなきゃいけないから戻るな
沙綾,うん、香澄のことよろしくね
たえ,またね、有咲
有咲,ああ
りみ,…………
沙綾,…………
りみ,沙綾ちゃん、言わなくて良かったの？私たちを代表して沙綾ちゃんがメッセージ送っただけだって。あれだと香澄ちゃんから有咲ちゃんにだけメッセージが行ってないって思われちゃうんじゃ……
沙綾,うん、平気平気。香澄もホントはお見舞いに来てほしいだろうし、有咲も素直じゃないけどホントはお見舞い行きたいだろうからさ、こうすればすんなり話が進むかなって思ったんだ
たえ,有咲はなんであんなに怒ってる風だったんだろ？ウチのウサギと遊びたかったのかな？
沙綾,……まぁおたえの言葉でああなるのは予想外だったけど
りみ,そ、そうだね……大丈夫かな……香澄ちゃんと有咲ちゃん……
戸山香澄,あっちゃんは当然学校、お母さんも町内会の集まりで留守……
香澄,あー、さーやにはああ言ったけど退屈だなー。熱ももうほとんど下がっちゃったし……今からでも学校行っちゃおっかなー……。あーでもそれでみんなにうつしちゃったら悪いし……。さみしいなー、誰かお見舞いにでも来てくれないかなー。…………。みんな学校なんだし来る訳ないよね……はぁー……。あれ、呼び鈴……宅配便かな？。お母さんもいないし……やっぱりここは私が出なくちゃだよね！。それで、ちょっとくらい軒先でお話してもセーフだよね、セーフ！。マスクしてっと……。はいはーい今行きまーす！。宅急便ですかー！それとも新聞の勧誘ですかー！
有咲,……よう
香澄,えっ、有咲！？なんで！？
有咲,私がいちゃわりーのかよ
香澄,ううん、全然そんなことないよ！でも今、11時だよ？学校は？
有咲,サボった
香澄,サボっちゃったの？大丈夫？有咲もどこか調子悪いの？
有咲,う、うるせーな！沙綾から風邪ひいたって聞いたからお見舞いに来てやったんだよ！
香澄,有咲……
有咲,ていうかお前なんかすげー元気そうじゃねーかよ！もしかして仮病か！？
香澄,うぅ、有咲ぁ～っ！！
有咲,うわっ！？なんでいきなり抱き着いてくんだよ！？嬉しいけど心の準備ってもんがな……！
香澄,ありがとーっ！さーやからは心配するメッセージが来てたんだけど、みんなにあんまり心配かけたくなかったからちょっと強がっちゃったの後悔してたんだー！
有咲,沙綾からメッセージって……お前から私以外のみんなに送ったんじゃねーの？
香澄,ううん！さっきね、さーやから風邪って聞いたけど大丈夫？みんなでお見舞い行こうかって話出てるけどってメッセージが来たんだっ！。でも風邪うつすのも悪いし、すぐ治るからへーきだよっって返したんだけど……こういう時ってヒマだしさみしーなーって思ってたら有咲が来てくれて嬉しい！
有咲,そ、そっか……そうだったんだな……
香澄,それにみんなに送って有咲にだけ送らないってことは絶対ないよ～！私、有咲のことだーい好きだもんっ！
有咲,ばっ、そ、そういうのは２人っきりの時に言えよ！
香澄,えへへ～有咲～
有咲,あーもう、こんなとこにずっといたらまた体冷やして熱が上がるぞ！？ほら、さっさとお前の部屋まで案内しろよな！
香澄,うんっ！それじゃあ上がって上がって～！。はい、それじゃあテキトーなとこに座ってね
有咲,はいよ。あ、そうだ。これお土産
香澄,お土産？
有咲,2Ｌのスポーツドリンクと、風邪用の栄養剤だろ、それにこういう時にも食べやすいものをって思ってゼリーにプリンにヨーグルト各3個ずつ、それから薬用のど飴……お前のことだから苦いのはダメだと思ってフルーツ系のやつにしといたからな
香澄,うわー、すっごい沢山買ってきたね！
有咲,悪かったな。その、なんだ……お見舞いとかあんましたことねーからさ、どんなものをどれくらい買ってきゃいいか分かんなかったんだよ
