今井リサ,ふぅ、今日のスタジオ練も終わりだね～
氷川紗夜,ええ。なかなか有意義な練習が出来ました
宇田川あこ,うぅ……今日はハードな練習だったね……
白金燐子,あこちゃん……大丈夫……？
あこ,ＮＦＯを手伝って貰ったし気合入れすぎたのかも……腕が痛いよーりんりん……
燐子,じゃあ今日はＮＦＯをやらないで……ゆっくり休んだ方がいいかもね……
あこ,うーでもでも、節分限定のアイテム貰えるし……みんなのおかげで取れたリンダのサイスで戦いたいよぉ……
燐子,うん……気持ちは分かるけど……
湊友希那,……節分
リサ,んー？どしたの友希那ー？
友希那,そう言えば今日は節分ね
リサ,そだねー。それがどうかした？
友希那,…………。……よし、ロゼリアで豆まきをやりましょう
リサ,……はい？
紗夜,湊さん？いきなりどうしたんですか
友希那,今日は節分じゃない
紗夜,いや、それはそうですけど……
友希那,無病息災を願って厄払いをする。これは今年もロゼリアが頂点を目指すのに必要なことだわ。それにこの前、あこと燐子のやっているゲームに触れてみて思ったのよ。いつもは触れないものに触れて自身の世界を広げる。これは作詞や作曲の幅を増やすことにも繋がるわ。現にゲーム音楽というものは私がいつも触れる音楽とは違った趣があって、興味深かった。新しい扉を開く、といえば大仰かもしれないけど、そんな気持ちだったわ。だから節分で豆まきをするということにも有意義なものを見出せると思うの
紗夜,……湊さんの言いたいことは分かりました。確かに私も普段聞かない音楽を聞いたことはいい刺激になったと思います。ですが、急にやると言われてもどこでやるんですか
あこ,あ、今ＮＦＯを一緒にやるって話してませんでした！？
燐子,ちょっと……違うみたいだよ、あこちゃん……
友希那,ええ。燐子の言う通りゲームの話じゃないのよ、あこ
あこ,そっかぁー、残念……
リサ,……なんだったらウチでやる？
友希那,そうね。リサがいいのであれば
リサ,別にウチなら全然オッケーだよ☆友希那がしたいって言うならいつでもウェルカムウェルカムだよ
友希那,そう言ってくれると助かるわ
あこ,……？リサ姉の家で何かやるんですか？
リサ,友希那が豆まきしたいんだってさ。それで、やる場所がないならウチでやらない？って話になったんだよー
燐子,ま、豆まき……ですか
あこ,おお！すごい楽しそー！
紗夜,ですが、流石に豆をまくとなると迷惑になるんじゃないかしら。もちろんちゃんと後始末はしますけど……
