・全編Fateネタバレ＆キャラ、世界観、設定崩壊待ったなし。但し大喜利もＳＳ自体も,あくまで洒落
セイバー,うむむ……
士郎,どうだ、セイバー
セイバー,……ﾊｯ、出来ました、シロウ！
士郎,おっ、じゃあさっそく聞かせてもらおうかな
セイバー私に成敗,セイバー/聖杯
士郎,……
セイバー,いかがですか
士郎,あ、あぁ、その調子で頑張ればいいと思うぞ不安だ……
大河,まずは英霊の皆さんのご挨拶から、どうぞ
槍流亭犬之介,紺色
弓屋贋作,黒
騎乗亭蛇薔薇,桃
犬之介・呪々,ほっとけ！
蛇薔薇,劇場でお待ちしております。ライダーです
投魔亭呪々,紫
でも、あんまりお弁当で喜ばれても困ります。だって一番幸せな食事は、私が直接,あーん
刀剣亭竜征,水色
英雄王切我滅狩,金
竜征,いらないといっているでしょう！
切我滅狩,情けで小僧の鞄には目を瞑ろう。寛大な男の名は英雄王よ
大河,続いてバーサーカー、どうぞ
暴走舎打阿主,赤
イリヤ,薄桃色。冬でもあったか、毛糸のパンツ
暴走舎打阿主,■■■■■ー///
イリヤ,座布団運びのバーサーカーをよろしくね♪
大河,えー座布団が十枚貯まると(笑)聖杯が掲げた聖句キーワード。貯まらなくっても三問目が終わった時点で一番多く座布団を集めた人には賞品が出るから、気を抜かずに頑張ろう。さぁ、今回の笑。じゃあまず一問目。サーヴァントの中でも最優と言われるのが、剣の英霊、セイバーのクラスよね
セイバー,改めて言われると少々照れますね。大河！皆で私を面罵して辱めようという魂胆ですね！？非道な！
アーチャー,落ち着け、あくまでクラスとしてのセイバーというだけだ
セイバー,しかし……むぅ……
大河,はいはい、進めるわよ。出来た人ー？。よし、まずはライダーさん
セイバー,それみたことか！やはりそういうことではですか！！
ライダー,私は別に貴女のことだなんて一言も言っていませんが
大河,いきなり喧嘩しないの！次はランサーさん。ｗｗｗｗｗｗ。どっちかっていうとアサシンかバーサーカーだよそれｗｗｗｗ
ランサー,ハハハ
アーチャー,おい、何故私を見る
大河,はい、キャスターさん。久しぶりに聞いたわねそれｗｗｗ
アーチャー,別の言葉を書いて激おこぷんぷん丸と読むのか、あるいはその逆なのか……
ライダー,考えるだけ馬鹿らしいですね
ランサー,約束された勝利の剣激おこぷんぷん丸
セイバー,やめろ！？
大河,でも面白いよｗ一枚あげましょう。次は、満を持してセイバーちゃんいってみよう
セイバー相手が美しいと〝こんな美人は斬れーねぇ！,綺麗ねぇ
大河,……。生放送じゃなかったら切られてたわよ
セイバー,切る?……カット……ハッ、大河、上手いですね！
