まず、おたえ。申し訳ないけど、こういう時にはまったく頼りにならない気がする。,起きたら知らない部屋に……？お泊りしたの？私も行きたかったなぁ
次、香澄。……真剣に話は聞いてくれそうだけど、なんだろう。解決に持っていけるビジョンが浮かばない。,よく分かんないけど、とりあえずさーやの家に行くね！
その言葉に違和感が拭いきれなくなってしまった。香澄とおたえに対してならともかく、りみに対して有咲が,ボケナス
アリサからの言葉を受けて、沙綾とカスミはしばらく黙り込み、それからしばらくして、,ええ！？
手渡されたスコアのタイトルに目を通す。Yes!BanG_Dream!、STARBEAT!～ホシノコドウ～,そのタイトルの上に小心者のテーマという文字が二重線で消されていた
自分の知っているPoppin'Partyの面々とは幾分か,約二名はとても大きく
あれは七月のことだから、大体三ヵ月くらい前か。香澄ちゃんたちの初めてのライブを見て、バンドリカレーパンを作ったすぐあと。お父さんから,“お前”をもっと大切にしてほしい
まるで上京したての子供のように辺りをキョロキョロうかがっていたせいか、たびたび隣を歩いて学校まで案内してくれるアリサに,転ぶなよー
昨日の夜に感じたものと同質の寂寥。,これは一体何だろう？
アリサはその答えを聞いて、顎に手を当てて考える。それからすぐに,おかしいわね
ぶんぶん頭を下げ始めたタエを,だ、大丈夫だよ
――こっちの沙綾ちゃんから,大丈夫
気付けばリミの姿が近くにあり、,おはよう、サアヤちゃん
そのことをPoppin'Partyのみんなに伝えると、最初こそ,そういう日もある
メッセージが途絶えたのもそのせい。寒暖差の激しい感情に板挟みにされて、身動きが出来なくなって、どうしたらいいのか分からなくなったんだ。そして、,もしも入れ替わったら
自分がよく知る沙綾のように,私にも考えさせて！
商店街のおじさんやおばさんたちは、みんな沙綾に親し気に声をかけていく。,今日も綺麗だねぇ
そう言って立ち上がる。それに何かを言わなきゃいけない気がして、沙綾は口を開きいて、,あ……
熱に浮かされた頭では地に足のついた思考が出来ないから、自分が今何を考えて、何を思っているのかがきちんと把握できない。だけど、どうしてもこれだけは言わなくちゃいけない気がしたから、もう一度だけ沙綾は,ごめんなさい
――あのね、今、さーやが……さーやじゃない方のさーやがね、すごく落ち込んでて……いつも俯いてて、すごく難しい顔してて、,大丈夫？
香澄の口振り,というより、筆振り？
本当にどうしたらいいんだろ……と、三時間目の授業も上の空でいたら、現国の先生に注意された。,もう恋のスタンプカードは終わったぞ
と、有咲は気合の一声とともに、香澄の眉間に人指し指を突き立てた。思った以上に柔らかい感触がした。香澄は香澄でびっくりして,わきゃっ
あの時は,あふれる意思と勇気の歌！始まりの歌！青春の歌でもあって、わたしもこうなりたかったって歌！
一昨日、部屋を出て行く母親の背中に向けた,ごめんなさい
知らず知らずのうちに俯く顔。こんなに自分を心配してくれている素敵な女の子に、,おはよう
【泣き虫のテーマ,仮
そしたらね,それが君らしさであるんだよ
泣き虫のテーマ,仮
心に引っかかる得体のしれないもの。出所不明の寂しさとか、奇妙な安心とか、母親の背中に投げた,ごめんなさい
それじゃあ……十一月十三日の夜、学校の屋上で、ポピパのみんなと星を見れない？こっちはこっちの香澄ちゃんに言ったら、,任せて！こころんにお願いしてくる！
花咲川女子学園の屋上に昇ったPoppin'Partyの五人は、揃って空を見上げる。十一月半ばの空気は少し冷え込んでいて、多少の厚着をしてきたけど、それでもやっぱり肌寒い。,寒いねー
そんな沙綾を見て、カスミたちは笑った。,元気になってくれてよかった
それから、もうひとりの自分とのやり取りで、星を見ようと約束したこと。カスミはその話を聞くと,うん、分かった！
あの話の中では、幸せとは,迷いない自己犠牲の心
沙綾は首を振ってから、みんなの顔をまじまじ見つめる。改めて向かい合うとやっぱり似てるところがあるな、と思い、それから,ありがとう
その瞳にそう返して、改めて、沙綾はみんなに向かって,ありがとう
屋上で星空を眺め終わり、沙綾は家路を歩く。商店街にさしかかる前に、みんなとは手を振り、改めて,じゃあね
バンドリカレーパンとか、メタリカあんぱんとか、レッドホットドッグ,チリペッパー味
ニカッと父は笑顔を浮かべる。その顔に、沙綾は少しだけ迷ってから,こちらこそ
妙に確かな輪郭を持った感覚。その気持ちの赴くままに、沙綾はみんなに別れを告げた。やけに改まった態度で,じゃあね
続けてそんな悪態をつかれた気がした。頭へごちん、とスティックを一閃したことをまだ根に持っているのかもしれない。だから夜空の星に向かって,ごめんね？
娘の顔を見ただけで何を言いたのか察したのだろう。先回りしてそう言われて、沙綾は,うん……
みんなと別れて、ライオン丸くんと言葉を交わした,気がした
それから、少し大きく息を吸う。そして、胸中でもうひとりの自分に対して,少しの間だけゴメンね
それから制服に着替えて、温かい朝食を食べて、お父さんとお母さんに,行ってきます
その雨がいつまで降り続くかとか、終わりがどこにあるかだとか、光がいつやってくるのかとか、そんなことは分からない。でも、この手を引いてくれる大切な人がいれば、私たちは止まらない音楽,キズナ
それを耳ざとく拾った母から尋ねられて、沙綾は,あー
そんな言葉を交わし合ってから、香澄が隣のクラスの有咲まで引っ張ってきて、みんなできゃいきゃいはしゃいだこと。始業のチャイムが鳴って、,続きはお昼休みに！
あとね、お母さんが言ってたよ。,沙綾はもっとわがままを言うべきだ
そして、終わらない音楽,キズナ
始まりは、ホシノコドウに導かれたこと。ひとりの少女が、時を超えて“夢”を撃ち抜いたこと。いつしか彼女の周りには、同じように夢を撃ち抜かれた仲間が集い、そして無敵で最強の音楽,キズナ
それが終わると、五人は目を合わせ、,うん！
教室の机の上に書いたメッセージ。時空を超えて、大切な友達から大切な友達へ届けられた歌。泣き虫のテーマ,仮
けれど、終わらない。無敵で最強の音楽,キズナ
香澄と沙綾の机。彼女たちの音楽,キズナ
戸山香澄,たられば
