モバP,以下P
渋谷凛,もう一回言うよ。連れていってほしい場所があるんだ
P,なんだ藪から棒に
凛,訳は話すけど、ちょっと長くなる
P,連れてけって、なんか遠い場所なのか
凛,遠い……うん、そうだね、多分ちょっと遠い
P,要領を得ないな
凛,都内でも大丈夫だと思うんだけど
P,それなら自分でいけるだろう
凛,うーん、ちょっと難しいかな。あと、保護者も欲しい
P,普通親御さんに頼まないか、そういうの
凛,いや、いろいろ吟味した結果、プロデューサーが適役なんだ
P,……よくわからん
凛,あ、ちょっとこっち向いてよ
P,こう見えても忙しいんだぞ。お前だってレッスンあるだろ
凛,……
P,プライベートで遊びに行くにしても、誘い方って言うのがあるだｒ
凛,ねぇ
P,おわっ
凛,お・ね・が・い
P,おぉぅ……耳に吹きかけるな！
凛,こっち向いてくれたね
P,はぁ……何だよ、遊びなら他の人誘えって
大和亜季,いえ、P殿。私からもお願いしたいであります
P,亜季？んー……
凛,本気でお願いしたいことなんだ
P,遊びじゃないのか。……わかった、話を聞こう
凛,ん、ありがと
P,場所変えるか
凛,アシストありがとう
亜季,援護射撃任務完了であります
凛,前にプロデューサーが持ってきてくれた仕事、あるよね
P,えーと、凛は特に多いからなぁ……亜季も一緒ってことは、今度の新曲だな
亜季,それであります
P,そうか。……にしては、乃々が足りないようだけど
凛,そこが本題
P,またレッスンから逃げた？
凛,違うよ、そんなことしない……最近は
P,そうだな。机の下にもいなかったし
亜季,先日、P殿より頂いたインストと歌詞でありますが……あれを三人で視聴していて……
凛,すごく、なんていうんだろう。メロディが綺麗だよね。星空みたい
亜季,間奏の電子音が心地いいでありますな
森久保乃々,こ、こんな曲を……あぅ……
亜季,怖気づいてしまいましたか乃々殿！ですがこれもP殿のオーダー、立派に遂行してみせましょうぞ！
乃々,そのテンションはむーりぃー……
凛,それで、この曲に合わせる歌詞が。……
亜季,……
乃々,……
亜季,わ、私がこのような歌を歌うのでありますか？
乃々,それはもりくぼの台詞ですけど……
凛,亜季さんが怖気づいちゃった。でも、これは確かに難易度高そう
乃々,でも、これ……すごくいいのはわかります……
亜季,も、もちろん！このような楽曲を用意してくれたP殿、作詞家殿、作曲家殿に報わなければ！
乃々,うぅ……やれるかは分からないですけど……
凛,私たち、意気込みは十分だった。乃々も、乃々の基準で
P,まぁ、そうだな
亜季,ライブより前にまずレコーディングがありますので、訓練も普段に加えてボイトレを増やしていただきました
凛,最初は問題ないかなって思っていたんだけど
亜季,パート練習から合わせていって、トレーナー殿にも順調との言葉を頂きました
凛,けど、私たちは行き詰ったんだ
P,順調、って言われたのにか
亜季,で、あります。三人とも、どことない不安を抱えていました
凛,乃々が、一番納得いってなかった
ベテトレ,よし
凛,ふぅ
乃々,……
亜季,いかがでしたでしょう
ベテトレ,ふむ、まずまず順調と言っていいだろう。もちろん、ここからまだまだ仕上げるぞ。大和、普段の声ではないが、もっとしっとりとした雰囲気が出ると良い。いけるな
亜季,イエスマム
ベテトレ,森久保、音はとれている。自分のイメージに自信を持って、しっかり声を出せ
乃々,はい……
ベテトレ,渋谷、出だしがブレる。曲を印象づける場所だ。後続を安心させるためにも芯を持ってはじめろ
凛,はい
ベテトレ,皆、歌う技術は追い付いている。しっかりレッスンを重ねていってほしい。今日は以上
凛乃々亜季,ありがとうございました
亜季,さて。お二人とも、今日は何か食べて帰りますか？
凛,そうだね。いい時間だし、食べて帰りたいかも
亜季,ベテトレ殿、この後の予定はいかがです？せっかくなら
ベテトレ,申し出は嬉しいが、このあともう1レッスンだ。気持ちだけ受け取っておく
亜季,そうでありますか。お仕事お疲れさまであります
ベテトレ,それに、私がいてはしにくい話もあるだろう？
亜季,いやそんな、ハハ
凛,ふふ。乃々はどうする？
乃々,……ちがう
凛,乃々？
乃々,あっ、いや
亜季,違うというのは……曲のことでありますか？
乃々,えっと……
ベテトレ,どうした。気になる所があるなら聞いておきたい
乃々,あぅ……その……。……ダメ出しは、分かります。自分でも……気になっていたところを言われましたから……
凛,声が出ていないってとこ？
乃々,それは結果で……自分のイメージに自信がないところ……です
亜季,イメージでありますか。私も、雰囲気をもっと出すよう言われました
凛,私は出だしに芯を持てって言うことだった。……ねえ、これって
亜季,同じ原因、でありましょうか
乃々,そうかも、って……
ベテトレ,なるほど。全員、原因は曲への理解が足りていないことだな
亜季,理解でありますか
凛,……歌詞の解釈ってことかな
ベテトレ,確かに大事なところだ。それが無いとどんな歌も枯れてしまう。歌は心、ソウル、魂と言う人がだろう。歌の技術が足りなくても、心の入った曲は人の心を揺さぶるものだ
乃々,……そこが足りないのは……ダメっぽいなって……
ベテトレ,そうだな。それが分かっているなら良い。しっかり曲と歌詞を聴きこんで、自分の中に落とし込め
凛,こう言う解釈だって、教えてはくれないの？
亜季,凛殿、それは
ベテトレ,渋谷、それを私が言ったらその通りに歌うのか
凛,……
ベテトレ,歌詞の解釈を、私が教えても、私が考えても無意味だ。お前たちが見つけ出した物を伝えてくれないと、お前たちが歌う意味がなくなる
凛,……そっか。わかった
乃々,あう……こう言う雰囲気は苦手です……
凛,あ……ごめん、乃々。大丈夫、私が軽率だったよ
ベテトレ,すまないが時間いっぱいだ。言っておくが、曲の解釈で頭を悩ませているならいい方だ。大半は技術がついてこないからな。しっかりその曲を自分の物にしてやれ
亜季,了解であります
凛,イメージって言っても、やっぱり最初は宇宙が出てくるよね
亜季,曲の雰囲気で、見えてくるのは確かに星空であります
乃々,……
凛,乃々は？
