喜多見柚,とやっ。と、っとっと
柚,ふうっ。レッスンってムズいね！アタシ、もっと簡単なのかな～って思っちゃってた
北条加蓮,あはは、こんなもんだよ
柚,できるようになるまで何回かかるんだろ……歌いながら踊るなんて絶対ムリっ。っていうか歌うだけでも上手くできないし、踊るのもぜんぜんっ。ビジュアル、レッスン？なんて訳分かんないよ。アタシ、楽しいことしか考えてないもん。悲しい演技なんてぜんぜんできないや
加蓮,そうだったね。何やっても楽しそうだった
柚,やっぱり！？むー……
加蓮,でも、それっていいことだよ。だって何やっても楽しそうに見えるんだよ？その方が、見てる側も楽しいんじゃないかな
柚,……そなの？
加蓮,うん
柚,プロデューサーも？
加蓮,私も。つまんなさそうに踊るより、楽しそうに踊ってる姿を見たいに決まってるよ。そういうアイドル、見たことない？
柚,……そういえばテレビのアイドル、みんな楽しそうにしてるっ
加蓮,でしょ？
柚,じゃあ、アタシもそんな感じでやってみる！
加蓮,…………
柚,よぉーし！。ほっ、ほっ。よっ、とっ。おわわっ。……む、難しいっ
加蓮,ふふっ。……ちょっと、休憩にしよっか
柚,つかれたー。スポドリが美味しい♪。にしてもプロデューサーってホントにプロデューサーだったんだねっ
加蓮,ん？どゆこと？
柚,だってほら、最初に話しかけた時は……なんなのか分かんなくて。もしかしてナンパ！？とか思っちゃったりっ
加蓮,…………いやあの、私、女なんだけど
柚,あ、違う違う、男の人みたいに見えたとかじゃないのっ。それだけ分からなかったってこと！。でもこうして見ると、なんだかすっごくプロデューサーっぽい感じ！スーツも着てるしっ
加蓮,もう、言いたいことは分かるけどちゃんとプロデューサーだよ。ほら、名刺だって渡したじゃん
柚,うんっ。ちゃんと持ってるよ
加蓮用ってほどじゃあないかなぁ。こんな夜にブランコに座ってたから、ちょっと気になっただけだよ。ね、何してたの？,隣のブランコに腰掛ける
柚,えと、名刺名刺っ……あった！ＣＧプロダクションプロデューサー代理北条加蓮……って代理じゃん！
加蓮,言ってなかったっけ？ぶっちゃけ手伝いみたいなもの、っていうか手伝い
柚,じゃあプロデューサーじゃないの？
加蓮,プロデューサーはプロデューサーだよ
柚,代理なのに？
加蓮,代理でもプロデューサーです
柚,むむ…………
加蓮,あ、疑ってる顔してる。分かった分かった。じゃあ証拠を見せてあげよう。実はさ。あなたに……えっと、柚、でいい？
柚,いーよー
加蓮,じゃあ柚。実は、小さいヤツだけど、柚に仕事があります
柚,……仕事？
加蓮,うん、仕事
柚,アイドルの？
加蓮,アイドルの
柚,アタシに？
加蓮,柚に
柚,……アイドルの？
加蓮,アイドルのだってば
柚,…………え、ええええええええ！！？いやいやいやアタシこの前レッスン始めたばっかりだよ！？
加蓮,でもお仕事があります。って言っても他の人から回してもらった物なんだけどね。今ね、郊外のイルミネーションロードでイベントやってるんだ。駆け出しアイドルとかアイドルの卵で集まって、LIVEで盛り上がろうって企画でさ
柚,そんなのあるの！？し、知らなかったっ
加蓮,柚が見つけてたら面白そうって言ってたかもね。それで、そこに１人空きがあるみたいだから、じゃあどうかって聞いてみたんだ。そしたらオッケーもらえたよ。この前アイドルになったばっかりって、まさにアイドルの卵らしいって面白がられて。そーいう子もけっこういるんだって
柚,…………
加蓮,どう？……やっぱりまだ早すぎた？
柚,…………
加蓮,……そうだよね、急にこんなこと言われても困るか。レッスンだってまだまだ始めたてだし、やっぱり――
柚,……ううんっ。えと、やってみたい……カモ。よく分かんないけど、歌って踊ればいいんだよね
加蓮,お。そうだよ。歌って踊って、楽しませればいいの
柚,……でも、いいのかな。アタシ、フツーのことしかできないよ？アイドルってこうもっと、ぎゅいぎゅいぎゅい！って踊ってたり、わーーーーっ、って歌ってたりしない？そんなことできないよ？
加蓮,ぎ、ぎゅいぎゅい……？確かにそうかもしれないけど、あのね、さっきも言ったでしょ。まずは柚にやりたいようにやってほしいって。上手く……ええと、ぎゅいぎゅい、って踊るんじゃなくて、柚のやりたいようにやってほしいの
柚,……分かったっ。プロデューサーが言うなら、そうするっ
加蓮,うん
柚,アイドルデビューか～。アイドルデビュー……へへっ♪なんだかすっごく面白そう！
加蓮,ふふっ、いい笑顔してるね。その調子その調子っ
柚,いい顔してた！？
加蓮,してたよ。知らない人がみんな一発でファンになるような顔
柚,やったっ
加蓮,柚のそういう顔がもっと見たいな、私
柚,きゃーっきゃーっ！
加蓮,でも、柚。イベントまでまだもう少し時間があるから、もうちょっと練習しよっか
柚,え？
加蓮,代理でも何でも、私はプロデューサーだからね。いくらアイドルの卵で集まるイベントだっていっても、やれるところまでやらなきゃ。さて、さっきまではほとんど初めて状態だったから遠慮してたけど、今度はビシバシやっていくよ！
柚,ええええ――っ！あ、え、えと、お手柔らかにっ
加蓮,もしもし？……うん、分かった。すぐに行くね。柚。時間。行くよ
柚,…………
加蓮,……どしたの？カチコチに固まって。できたー！ってさっき喜んでたのに
柚,ぷ、プロデューサー。アタシ今からアイドルになるんだよね。これ、この服、衣装なんだよね。これでアタシ、外に出て歌うんだよね
加蓮,うん。……怖気づいた？
柚,おおお怖気づいてなんてないもんっ。ただちょっと、えと、緊張する……
加蓮,そっかぁ……
柚,…………。……だってしょうがないじゃん！人前で歌うのなんてカラオケの時だけだもん！友だちとだけだよ！知らない人の前で歌ったことなんてないしっ
加蓮,えー、何回も私の前で歌ったのに？
柚,それちょっと違うよ！
加蓮,やったことがないから、今から始めるの。柚のアイドルをね
柚,分かってるけど～～～～……っ
加蓮,うーん……そうだ。ね、柚。ちょっと待ってて。えっと、どこに入れてたっけな……
柚,……？
加蓮,あった。ちょっと失礼するね
柚,ひゃっ。くす、くすぐったいっ
加蓮,んー、短すぎて難しいなー……留めるしちゃおっと。よいしょ。はい終わり。どう？
柚,…………？
加蓮,髪留め。ユズの花のね
柚,アタシ？
加蓮,うん。柚と同じ名前の、ユズの花。柚のアイドルデビュー記念ってことで。これをつけて、私はアイドルだーっ、ってしっかり言ってきなさい。怖気づいた時はこれを触って思い出しなさい。あなたの笑顔を見たがってる人がいる、って
柚,プロデューサー……。……って、これちょっと恥ずかしいよ！アタシはアイドルだーじゃなくて、アタシは柚だーって大声で言ってるみたいな感じがするっ
加蓮,アイドルってそういう物なの。ボーカルレッスンをしていた時、間奏でアドリブ入れて叫んでたのはどこの誰？
柚,ううっ……だって、そうしたら楽しくできるかなって思って
加蓮,……！。じゃあやってみよう！何にも恥ずかしくないよ。大丈夫。私が見ててあげる！
柚,…………。……やってみるっ。アタシ、やってみるね
加蓮,あはは、やっとやる気になってくれた。じゃ、行こう、柚
柚,うんっ。いくよーっ
加蓮,お疲れ、ゆ――
柚,～～～♪～～～～♪～～～～♪
加蓮,ず……聞いてないな
柚,～～～～～♪
加蓮,ま、しょうがないっか。あんなに楽しそうにしてたし、興奮冷めやらぬって感じだもんね。……ホントに。羨ましいくらい、楽しそうだったなぁ。柚。ほら、前に木があるよ、危ないよ……ああもうっ今度は人にぶつかりそうになってる！
柚,わわわ！？……あ、アレ？あっ、ありがとうプロデューサーサン！
加蓮,楽しかったのは分かったからせめて前を向いて歩いてよ。見てて危なっかしいよ、すごく
柚,はーいっ。ねープロデューサー。アイドルって面白いんだね！
加蓮,ん？
柚,アタシが歌い出したらさ、通りかかった人がきょとんってするんだ。でもすぐに、楽しそうに笑ってくれた。あとねっ一緒に歌ってくれたよ！。こけちゃった時に、がんばれ、って言ってくれた。それからそれから、終わった後には拍手もしてくれて！。それとアタシと同じような人がいた！えっと、アイドルになったばかりって人っ。LIVEバトル、１回だけ勝てたよ！。そん時もお客さんすっごい盛り上がってくれてっ。最後には１０人くらいいたのかな。アタシのファンになってくれたのかなっ。……また、アタシが歌ってたら聞いてくれるかな。聞いてくれたら嬉しいな！。へへっ♪
加蓮,…………そっか。面白いでしょ？アイドル
柚,うん、面白い！アタシもっともっと歌いたい。歌って踊って、あと、ちょっぴりセクシーなのっ。もっと頑張ったらいろんな服も着られる？
加蓮,うん、着られる着られる
柚,そっかっ。……プロデューサーの言う通りだね。アイドルって面白くて、すっごくワクワクする！
加蓮,…………。良かったね、見つけられて。面白そうなこと
柚,見つけてくれたのはプロデューサーの方だよ！
加蓮,え？
柚,だってこれって、プロデューサーがアタシを見つけてくれたからできたことだよね。だからありがと、プロデューサー！。……うーん、なんだかちょっぴり堅苦しいかも。じゃあ――。加蓮……サン！加蓮サン！これでいいやっ。ね、加蓮サン。アタシ加蓮サンに声かけてもらってよかった。だって、こんなに面白いことを見つけられたんだから！
加蓮,……あはは……まだまだこれからだよ。新しい歌も新しい振付もどんどん覚えて、もっとたくさんの人に見てもらわなきゃ。それがアイドルだからね
柚,うんっ
加蓮,その為にももっとビシバシ行かなきゃね～？
柚,ぎゃーっ。か、加蓮サンっ怒ると怖いからその、や、やわらか～く、ね？やわらか～く
加蓮,さっきのレッスンのこと？
柚,うんっ。加蓮サンちょっと言い方きつかったから……
加蓮,わ……ホント？自覚なかったかも……気をつけるね
柚,ううんっ、大丈夫！でも柔らかい方がアタシは好きだよ♪
加蓮,うん、分かった。……そうだっ。じゃあお詫びと、あと初LIVE記念に。ほら、あったかい飲み物でもどう？
柚,やたっ。じゃあ、ココア！たっぷり甘いヤツっ
加蓮,それなら私もそれにしよっかな。っと……はい、柚
柚,へへっ。じゃあ、アタシの初LIVE記念！と、加蓮サンのごめんなさい記念にっ
加蓮,乾杯♪。こんにちはー
柚,あっプロデューサーサン、じゃなかった加蓮サン！こんにち…………えっ？
加蓮,やほ、柚。今日も早いね。あれ……レッスンまでまだけっこう時間ない？ふふっ、やる気が余り過ぎだよ
柚,…………
加蓮,さて、何か仕事は回してもらってるかなっと…………。……どしたの？
柚,かっ、かっ
加蓮,か？
柚,加蓮サンっ制服着てる！？
加蓮,制服って……そりゃ学校帰りだもん。いや柚だって同じでしょ？制服を着てるってことは
柚,がっこう！？
加蓮,ん、やっぱり先に着替えて来よ。このままじゃ仕事してるって感じがしないし……。……？学校がどうかした？
柚,え、だって、加蓮サンってプロデューサーサンで……なのに学校？
加蓮,言ってなかったっけ。私、高校生だよ
柚,うっそぉ！？
加蓮,っと、ちょっと着替えてくるね
柚,う、うん。……ええぇ！？
加蓮,これでよしっ。うん、頭も切り替わるね！
柚,加蓮サンがプロデューサーサンになって帰って来た！え、えと、もしかして加蓮サンのお姉サン！？
加蓮,どっちも私だよ。だからね、学生なの私。学生でプロデューサー代理
柚,そ、そうなんだ
加蓮,柚だって、学生でアイドルでしょ？それとおんなじだよ
柚,あれっ？あ、そっか。そうだった。……あははっ、加蓮サンとお揃いだ！
加蓮,うんうん、お揃い。さて、私はメールチェックを――
柚,ね、ね、加蓮サンっ。何かして遊ぼうよっ。レッスンまでひまーっ
加蓮,あのね、私は仕事しないといけないの。柚にどんな仕事を選べばいいか考えないといけないの
柚,アタシに？
加蓮,柚だって変な仕事を回されたら嫌でしょ？
柚,う～～～ん、それはヤだけど……変な仕事ってどんな仕事？
加蓮,変な仕事は変な仕事。…………うぇ……駄目だ。契約文面の読み方とかさっぱり分からない……後で頼んどこ……
柚,ねーねー加蓮サン遊ぼうよー
加蓮,大人しく座ってなさいよ……
柚,もっとこう、身体動かさなきゃダメだよっ！バトミントンしよーっ！
加蓮,バドミントン、好きなの？
柚,うんっ。アタシ、バト部やってるんだ。こう見えてもなかなかやるんだぞーっ
加蓮,ふうん
柚,ってことで、加蓮サンもやろう！
加蓮,ごめん、私そういうのはさっぱりだから
柚,えーっ。ヘタクソでも大丈夫っ！アタシが教えてあげるっ
加蓮,そういう問題じゃなくてね――。ん、モバＰ以下Ｐ
Ｐ,ああ。っと、そっちの子が柚ちゃんだな
加蓮,うん。そういえば顔を合わせるのは初めてだっけ。あ、柚、この人は――
柚,だれ？あっ分かった！加蓮サンの彼氏サン！
Ｐ,ぶっ！！
加蓮,……。……さすが柚、よく分かってるね。こっち、私の彼氏のＰさん♪
柚,やっぱりっ
Ｐ,アホか！違うわ！
柚,えー？
Ｐ,あのな、加蓮、前から言ってるがそういう冗談はやめろ！
加蓮,だって今なら別に彼氏彼女でも問題ないでしょ？
Ｐ,いずれ問題になるかもしれないだろ……っていうか今でも問題になる！
加蓮,ちぇ
柚,？？違うの？
加蓮,上司
柚,じょうし？
加蓮,そ。ほら、前に仕事を回してもらったって言ったでしょ？それ、この人から回してもらったの。この人、私の上司
Ｐ,あー、コイツの上司のＰだ
