※ジード18話,夢を継ぐ者
※白菊ほたる,13
Ｐ,次のライブ、ソロでいこうと思ってる。ほたる？
ほたる,ソロ……ですか
Ｐ,うん。これまでは茄子さんとのユニットだったけど、そろそろひとりでステージに立ってもいい頃合いだと思うんだ
ほたる,…………
Ｐ,これは総合的に判断してのことだ。ほたる自身の人気も上がってきたし、取材や撮影はもうソロでもこなせるようになってる
ほたる,…………
Ｐ,ファンもほたるが主役のステージを見てみたいと思ってるはずだ
ほたる,…………
Ｐ,実はもう曲も発注してるんだ。デモを聴いてみたけど、すごく雰囲気があって、ほたるにピッタリの曲なんだ
ほたる,…………
Ｐ,俺自身、ほたるの一ファンだから、君がこの曲を歌っているのを聴いてみたい
ほたる,……やります。やらせて……ください
Ｐ,……そうか！
これが日常茶飯事なのだから,ちょっと
ほたる,次のライブは、ひとりで……。だけど……。だけど……。ひぁっ……！？
Ｐ,ほたる！
ほたる,よかった……
Ｐ,今からスタッフさんたちの安否を確認してくるから、ほたるはここで――。……ほたる！
プロデューサーさんが私の手を取ろうとして、,熱っ！
ほたる,何が、起きて――
怪獣,――――
ほたる,…………
Ｐ,ほたる！
ほたる,！
Ｐ,危ないっ！！
ほたる,……？。いや…………。嫌ああああああああああああああああああっっっ！！！！！！！。――――！！。…………？。……？。……？。熱っ……。風邪……？。……しっかりしなくちゃ
Ｐ,そろそろ行くか？
ほたる,はい。……行きます。プロデューサーさん。今、何時ですか……？
Ｐ,ん？えーっと、十時五十三分だな
ほたる,……！
Ｐ,ほたる！
ほたる,怪獣……
Ｐ,え？
ほたる,に……逃げましょう……！
Ｐ,熱っ！
ほたる,これじゃ、また……。プロデューサーさん！非常口じゃなくて、正面から出ましょう！
Ｐ,ダメだ、非常口の方が近い
ほたる,お、お願いします！正面からの方がいいんです！
確か夢の中,？
ほたる,はぁ、はぁ、はぁっ……
Ｐ,――危ないっ！！
