口からは無意識に,うあー
頭を下げるペパロニに、,お前のせいじゃないさ
さーて、と大洗の西住隊長の元へ向かい挨拶すると、彼女は,勉強させていただきました
私が,さあ遠慮なく食べてくれ！
あの場では言えなかった言葉を口にしてみると、ペパロニたちが,わたしもっすねー
廊下で他の子とすれ違うたび,おはよう
私が叫ぶと、寝起きのペパロニが,うるさいっす、ドゥーチェ
出来上がった作戦の全貌をみんなに伝えるのには難儀した,すぐに理解してくれなかった
今度は言葉にしないでおこうと思っていたのだが、我慢しきれず一言だけ,悔しいなあ
ペパロニがしみじみと,そっすねー
段々と恥ずかしくなってきて,さ、先に着替えてきても良いか
カルパッチョの言葉に,うるさい
私が言うと、カルパッチョが,ですね
カルパッチョへ,その通りっ！
二人してうんうんと唸っていると、しばらくしてカルパッチョが,あ
おそらくは、ペパロニが敵の前で,せーぜー釣られてやがれ、どうせ姐さんがフラッグ車撃破してくれんだからな！
カルパッチョは,うーん、そうですね
とアマレットへ言ったうえで、ペパロニはこちらへしかめ面を見せ,ドゥーチェ、それマジに言われてんすか
私が言うと、二人は声を揃えて,もちろんっす！
そう言ってから,私は辛いぞ……少しだけ
カルパッチョは,うーん
カルパッチョが,たかちゃん
カルパッチョはさらに,ですから
私が問うと、カルパッチョは,そうですね
私が,そういうことだ
エンジン音を耳にしたのか西住らが顔を上げ、私はそれを合図に,たーのもーっ！
カルパッチョが,それだけですか？
朝になると、,撤収っ！
アンツィオのみんなと忙しい日々を送っていると、ある日、ペパロニが怠そうな顔で,たまには遊びたいっす、海行きましょーよ、海
私は,ここが海の上だぞ
しかし、ケイから返ってきたのは,とりあえず場所を変えましょ
ケイの言葉に、私は絞り出すように,ああ、すまないな
私が言うと、ケイは,んー
ケイの訪問を怪訝そうにしていたが、それも束の間、,ドゥーチェが良いのでしたら
カルパッチョがコーヒー豆の焙煎を始めるのを見て,彼女には悪いけど話を始めてしまうわね？
私が,ああ、どうぞ
ケイの言葉にカルパッチョが,はい
ケイは,イエス
私が言うと、,そういうことね
私たちが問うと、ケイは,ザッツライ！
ケイは首の上だけで振り向いてそう言うと、,あ
そうやって出て行こうとするので、思わず,ま、待てっ！
残された我々はしんと静まりかえってしまったが、やがてカルパッチョが,ドゥーチェ
つい先程まで眠っていたことなど一切感じさせない様子で、カチューシャは,待たせたわね！
カチューシャが目をやると、ノンナは,はい
言いかけた私を、カチューシャが,はん
私は,ぐ……っ
そこまで言うと、カチューシャはRF-8の中に敷かれた毛布へ倒れ込み,ノンナ、帰ってもらって
カチューシャとの件を報告すると、ケイは,カチューシャならそう言うと思ったわ
だからケイは付いてこなかったのかと合点がいき、もやもやとしたものを感じた私は,だったら初めから教えておいてくれてもいいだろ
仕方なしに,で、とは？
私の言葉に,なんのことでしょう
私は,ありがとう
耳元でカルパッチョが囁き、,うん？
私の言葉にカルパッチョは頷いたものの、ペパロニが,マジっすか
カルパッチョの言葉に,うん、それはそうだな
うんうんと悩んでいると、やがてカルパッチョが,あの
私が問うと、カルパッチョは,はい
カルパッチョが頷き、それを見たペパロニが,はいはいっ
宣言と共にペパロニが,トスカーナうどん喰ってくるっす！
私が問いかけると、階下から,ばっちりっす！
先頭のアマレットが、ぼそりと,これ分厚くないすか
私が言った途端、ジェラートは,そうだったっ！
ペパロニが拳を突き上げ,ドゥーチェっ！
いつの間にかカルパッチョも笑顔で拳を突き上げていて、私もみんなに混ざって,ドゥーチェっ！ドゥーチェっ！
最後に私がそう締めると、みんなは,いぇえーいっ！
思わず笑ってしまって、,ありがとう
カルパッチョに,危ないですよ
私が言うと、パネトーネは,任せてほしいっす！
慌てて指示すると、車内からは,Siっ！
ジェラートが,Si！
私が言うと、,ドゥーチェえぇっ！
私の言葉に、ペパロニが顔を輝かせて,よっしゃー、いくぞてめえらあっ！
みんなは,ぅおーっ！
ループを繰り返す前の私なら,クールな彼女が珍しい
私が訊くと西住は,あはは
ペパロニはしばし思案する素振りを見せたが、最後には,そう言われてみると、ないっすね
にやにやと指揮棒を突きつけてやると、ペパロニは,うっ
試合後の宴会では、安堵の表情を浮かべた河嶋が印象的で、角谷に,次はあるって言っただろー？
カルパッチョに,まだ早すぎませんか？
ケイも椅子に座って,コングラッチュレーション
ケイが,うん？
苦い顔を浮かべるペパロニの隣で、カルパッチョが,あのー
私が言うと、ペパロニが,よっしゃあやってやるぜ！
気恥ずかしくなり、,ちょ、ちょっとくさかったか
記憶を持った状態で、カチューシャが正史,アニメ版
