生徒達,おはようございます
彡(^)(^),良い挨拶ですね。では出席を……
男の娘,……
いじめっ子男,やれよ……ﾎﾞｿｯ
男の娘,！。……
彡(ﾟ)(ﾟ),おや、男の娘くん、どうしたんですか？
男の娘,……
女子達,キャアアアアアアア！！！
いじめっ子達,うわぁｗマジでち○こ出したぜアイツｗ
彡(ﾟ)(ﾟ),……で、男の娘君、さっきは何であんな事をしたんですか？
男の娘,……
彡(ﾟ)(ﾟ),はぁ、黙ってても何にもわからないんだよなぁ。おいコラ
彡(●)(●),何であんなことやったんかって聞いとるねん！
男の娘,
彡(●)(●),男の癖に女みたいな恰好して気持ち悪い奴やと思っとったけどなァ、まさかこれ程とは思わへんかったわ。何や？ドアの向こうの連中がそんなに気になるんか？お？
男の娘,……
彡(●)(●),ふざけんじゃねぇぞゴラァ！そんなに気になるなら廊下に立ってろや！
男の娘,痛っ……
彡(●)(●),出てけ！ああイライラするねん！
男の娘,うぅ……
主犯格,だっさｗおら、顔上げろよ
男の娘,や、やめて……髪掴まないｄ
主犯格,うるせぇ
男の娘,痛っ……
主犯格,こいつには教育が必要だなァ、おらお前らトイレ行くぞ
いじめっ子男Ａ,下着は男モノなんだなぁ
いじめっ子男Ｂ,写メ写メｗ女装男の全裸とか面白いから拡散しとこｗ
男の娘,……
主犯格,オラお前顔上げろよ
男の娘,痛っ……か、髪……
主犯格,ああ？
男の娘,っ……鼻血が……
主犯格,やっぱ教育が足りてねぇなぁ？っと！
男の娘,！！！嫌、やめて！やめて！
いじめっ子達,うぉぉｗｗえげつねぇｗｗ
男の娘,嫌あああああああああああああああああああああああああああ！！！！！！！！！！！！
彡(ﾟ)(ﾟ),……。……さ、次の授業行かなあかんわ
男の娘,……もう嫌だ、嫌だ……こんな学校……。嫌だ……嫌だ……
(´・ω・`),……はぁ。今日も学校に行けなかったなぁ。……ん？あれは……女の子？
男の娘,……
(´・ω・`),いや、学ラン羽織ってる……あの中学校の生徒なのかな、でも今はまだ午前11時なのに……。……。……ねぇ、君……
男の娘,！
(´・ω・`),……ひょっとして君も……
男の娘,……え？。……
(´・ω・`),そっか、それは辛かったね……。っていうか髪も長くてこんなに可愛いのに男の子だったのか……。……あのさ、実は……
男の娘,……え？
(´・ω・`),主犯格君達でしょ？君を苛めてたのって。ボクもアイツらに入学した後に苛められてそれからずっと不登校なんだ。……ダメだ、言えない。……取り敢えずウチにおいでよ。シャワーとか貸すからさ。
男の娘,……え？でも……
(´・ω・`),大丈夫、うち親居ないから……
男の娘,……
(´・ω・`),怯えている……？。大丈夫だから……ほら。服のサイズとか大丈夫？
男の娘,……うん
(´・ω・`),そう……それは良かった。あ、あのさ……これ野菜ジュースなんだけど飲む？
男の娘,……ありがとう
(´・ω・`),良かった、やっと少し落ち着いてくれたみたいだ
男の娘,……
(´・ω・`),……
男の娘,……？
(゜ω゜`///),！
(・ω・`///),さっきはボロボロであまり気付かなかったけど、やっぱり可愛い……
(´・ω・`),……あ、あのさ
男の娘,？
(´・ω・`),……明日一緒に警察に行こうよ。今まで学校で君が受けて来た事を全部言ってやるんだ。
男の娘,……！
主犯格おいコラ彡(●)(●),気持ち悪いんじゃ！
男の娘,
(´・ω・`),えっ、ど、どうしたの？
男の娘,嫌ぁっ……嫌ぁっ！！やめて！やめて！
(´・ω・`),落ち着いて！ご、ごめん！
男の娘,……嫌ぁ！
(´・ω・`),ご、ごめん……嫌な事を思い出させちゃって！。こ、こんなになるまでこの子は……。……ええい！
男の娘,……ッ……
(´・ω・`),ごめん、大丈夫だから……
男の娘,……っ
(´・ω・`),結局あの子はその後暫くすると一言ボクにお礼を言ってそのまま家に帰ってしまった。正直言うと……ボクは性別とかの枠組みを超えてあの子に恋をしていた。だから……。傷付いていく彼を黙って見ている事が出来なかった……んだと思う。制服着て学校の近くまで来てみたけど、結局怖くて行けなかった
(´-ω-`),……ボクに力があったらなぁ……アイツらを叩きのめしてやれるのに
(´・ω・`),うーん……
男の娘,……あ、あの
(´・ω・`),……！君は……
男の娘,……昨日はちゃんとお礼が言えなくて、ごめんね
(´・ω・`),い、いいんだよ！それよりも学校は……？
男の娘,……休んだ。
(´・ω・`),……だろうね。道理で私服な訳だ。
男の娘,……あの、昨日の警察の件なんだけどさ、多分無理だと思うんだ。
(´・ω・`),……え？
男の娘,主犯格の父親が警察の偉い人みたいで……きっともみ消されると思う……
(´・ω・`),……で、でも
男の娘,いや、もう良いんだ、僕が耐えれば終わる事だからっ……それに……。
