デレステのストーリーコミュ55話,白菊ほたる
白菊ほたる,あ、もしもし……はい……
ほたる,はい……はい……。えっ、ソロで新曲……！？ほ、本当ですか……？。あ、ありがとうございます……！。はい……では後日……はい……。やった……！。早く、朋さんと智絵里さんにも……
？？？,そっ、そこの人、あぶないっ！ビルから植木鉢がっ……！
ほたる,へっ？
？？？,右に避けてっ！
ほたる,は、はいっ
緒方智絵里,命中っ……！
ほたる,”ｸﾞｯ”ではなく……
白菊ほたる,植木鉢に
ほたる,避けるように指示してくださってもよかったのでは……
智絵里,植木鉢も、地面に当たるよりは地上156センチで砕けた方が破片が飛び散らなくて安全かなって……。それに、お茶碗の手って言っても、ほたるちゃん左利きだし……
ほたる,……私のプロフィール、覚えてくださってるんですね
智絵里,べっ、べべべ別に覚えてなんてっ……ち、ちえりん頭突きっ！
ほたる,智絵里さん……
智絵里,はぅぅ……星が、星が飛んでます～……
ほたる,強度で挑むのは少し無謀かと……
智絵里,で、でも、ほたるちゃん、こんなところで会うなんて奇遇だね？
ほたる,はい、少し散歩と思ったのですが……
智絵里,けど、どうして……あんな風にふらふら歩いてたの？
ほたる,ええと、そこまでふらふら歩いてたとは思えないですが……
智絵里,せ、セリフにこう書いてあるからしかたないでしょっ！
ほたる,？？？
智絵里,……こほんっ。けど、どうして……あんな風にふらふら歩いてたの？(笑)
ほたる,そのニュアンスはもともと無かったかと……
智絵里,そうだったんだぁ……☆。あっ、間違えた……。そうだったんだぁ……♨。あ、あれ？これも違う……。そうだったんだぁ……♪。うんっ、これですっ
ほたる,さっきから何を……
智絵里,2つ目、温泉のマークなんですが、媒体によっては文字化けしちゃうかも……ごめんなさい……
ほたる,自由ですね……
智絵里,ほたるちゃん、新曲おめでとうございますっ
ほたる,あ、ありがとうございます……
智絵里,ほらほら、もっと笑顔で、ね？
ほたる,は、はい……なんだか恥ずかしいですね……
智絵里,そうかな……あれ？
ほたる,貴方は……。せ、先輩……っ！？
智絵里,えっ？この店員さん、ほたるちゃんの、お知り合いなの……？
ほたる,前に私の所属していた事務所の、アイドルの先輩です……。でも、どうして、こんなところで？
店員,私？私はね、あんたのせいで事務所が無くなって……アイドル、辞めたのよ！
智絵里,……！
店員,なのにあんたの方は、まだ続けてるみたいで……それどころか、新曲ですって！？ずいぶん幸せそうじゃない……！
ほたる,……！ご、ごめんなさい……！でも私、私はっ……。あっ……植木鉢が……す、すみません！私、弁償しますから……
店員,そもそもこの店に植木鉢なんて飾ってないんだけど！？これどっから降ってきたの！？
ほたる,気を抜くと出てしまって……
店員,そんな方言みたいなノリで植木鉢出すんじゃないわよ！
ほたる,すみません……
店員,いいから、帰って！あんたがいると、不幸が伝染るわ……！
智絵里,そ、そんな……！ひどいですよっ……！
ほたる,ち、智絵里さん……いいですから。行きましょう……
智絵里,そ、そんな……！
ほたる,ち、智絵里さん……いいですから
智絵里,そ、そんな……！
ほたる,ち、智絵里さん……いいですから
智絵里,そ、そんな……！
ほたる,ち、智絵里さん……いいですから
智絵里,そ、そんな……！
店員,引き下がれや！！！！！！。明らかに帰る流れだったでしょ今！！！いつまでいるのよ！！！
智絵里,そ、そんな……！
店員,あんたの記憶は1秒も保たないの！？
ほたる,いいですから……
店員,ほたるはほたるで椅子に座ったまま1ミリも動いてないじゃないの！！！”行きましょう……”じゃないわよ！！！
ほたる,ようやく、名前で呼んでくれましたね……
智絵里,よかったね……！
店員,話を聞け！！！！！
ほたる,わかりました、ここは一旦、引きましょう……
店員,私がワガママ言ってるみたいな対応やめてくれない？
智絵里,あ、あの、お代、置いておきますので……
店員,……いらないわよ。さっさと出てって！
ほたる,あ、ここは私が出します……
智絵里,ううん、わたしの方がおねえさんだからっ
ほたる,ですが、追い出されるのは私のせいですし……
智絵里,いいよいいよっ
ほたる,ですが、さすがに……
智絵里,じゃあ、次回は払ってもらおうかな？
ほたる,前にも同じことを言ってたじゃないですか……
智絵里,そうだっけ？
ほたる,確かその前も……
智絵里,あれ？先週の？
ほたる,いえ、あれは事務所帰りに……
店員,ママ友か！！！！！。お会計時に譲り合うママ友か！！！！！
ほたる,一言で片づけたツッコミを即座に説明してリピートツッコミ……！この人……できる……！
智絵里,お笑い事務所の先輩とかじゃないよね……？
店員,そういうの多いのよ！！！後ろ詰まってんだから後にしなさいよどっちが払うとか！！！
ほたる,そこはちょっとわからないですが……
智絵里,と、ともあれ払いますっ！ほたるちゃん、何頼んだっけ……？牛丼大盛り味噌汁サラダセット？
店員,んなメニューないわよ！
智絵里,あっ、すみません、お財布にジンバブエドルしか入ってなくて……
店員,帰れ！！！！！。いらっしゃいま……げっ
ほたる,こんにちは……
智絵里,こんにちはっ
店員,……いやいや、昨日の今日でよく来れるわね。どの面下げてって、まさにこの時のためにある言葉だと思うわ
智絵里,席はあちらの窓側の席で大丈夫ですか？
店員,それ私のセリフなんだけど。……ふぅ、まあいいわ、あの後店長にちょっと怒られたし。騒ぎは起こさないでね
智絵里,あっ、注文いいですかっ？
店員,ずいぶん早いわね……決めてから来たのかしら
智絵里,カフェオレの半チャーハンセットを
店員,ないわよ。譲ってこの店にチャーハン作る設備があったとてカフェオレとは組ませないわよ
智絵里,じゃあこっちの餃子セットを
店員,このカフェ、看板がバーミヤンと酷似してたりするの？
智絵里,ほたるちゃんはどうする？
店員,別にいいけどあんたの注文通ってないからね
ほたる,天津飯を……
店員,もうバーミヤン行ってくれない？
智絵里,おすすめはありますかっ？
店員,はぁ？……まあ、店長はブレンド薦めてるけど、けっこう苦みが強い豆みたいだから、カフェオレでいいんじゃないの
智絵里,じゃあそれでっ
ほたる,……ふふっ
智絵里,ほたるちゃん……？
店員,何よ急に……気色悪いわね
ほたる,いえ、思い出してしまって……
智絵里,？
ほたる,前に、自動販売機でカフェオレを買おうと思ったら、ブラックコーヒーが出てしまって。その時、先にカフェオレを買っていた先輩が交換してくれたんです……”急にブラックの気分になった”って
店員,……っ！わ、忘れたわよそんなこと
智絵里,へぇ～
店員,その顔やめなさい。カフェオレ2つでいいのね？
ほたる,はい
智絵里,はいっ
店員,まったく……調子狂うわよ……
智絵里,……優しい人……なんだね
ほたる,……はい。あの時は……事務所の経営も危なくて、お仕事も、余裕もなくて……厳しい言葉をたくさんかけられた気もしますが、気にかけてくれていたんだと思います
智絵里,……
ほたる,きっと、先輩として、先輩なりに、事務所を立て直そうと頑張っていたんだと思います。声が小さいって、よく怒られちゃったな……
智絵里,そうなんだ……
ほたる,でも、かわいいところもあるんです。一度、鏡に向かってきゅぴぴぴぴーん☆……いや、流石にないかって言ってるのを見たことが
店員,カフェオレ2つお待たせしました！！！！！！！
智絵里,あっ、ありがとうございますっ
店員,気が抜けないわよ！！！
