モバＰ,ほら、こっちにこいって
北条加蓮,ちょっ…Ｐさん、ここ事務所だよ？
Ｐ,いまならだれもいないから大丈夫だって
加蓮,でも…
Ｐ,しばらくしてないから溜まってるだろ？
加蓮,それは…そうだけど…
Ｐ,加蓮、おいで
加蓮,ずるいよ…そんなこと言われたら、断れるわけ…ないじゃん
渋谷凛,あ、あんたたち！事務所で何やってんの！！！！！！
加蓮,り、凛！？
Ｐ,おい！いきなり動くな危ないだろ
加蓮,ご、ごめん…
凛,プロデューサー、加蓮…何、してんの…？
Ｐ,何って耳かきだけど？
凛,えっ
Ｐ,加蓮に膝枕耳かきをしてるだけだけど？
加蓮,いえーい
Ｐ,動くなって…なんだ、凛。固まっちゃって。お前もするか？耳かき
凛,え、えっと…
Ｐ,何かと勘違いしたのかは聞かないでおこう
加蓮,私とＰさんが何してるって勘違いしたの？
Ｐ,おい
凛,…っ！！！
加蓮,真っ赤になっちゃってかわいー
Ｐ,あんまり茶化すなよ。ほら、凛。次やってあげるからそこで待ってな？
凛,えっ？あっ、えっと…………ｳﾝ
Ｐ,真っ赤になって俯いて小声で頷いて対面のソファに座った
加蓮,クールな凛でもあんなに真っ赤になるんだねー
凛,加蓮！
加蓮,きゃー♪
Ｐ,動くなって…
凛,…でも、なんでいきなり耳かきなんてしてるの？
加蓮,好きなの
凛,は？
加蓮,Ｐさんがね、耳かきするの、好きなの。他の子もしてもらってるみたいだよ？
凛,そう、なんだ…。知らなかった…
Ｐ,ほい、加蓮。反対向いて
加蓮,ん
凛,反対って…！プロデューサーのお腹に顔を埋めて…！
Ｐ,俺さぁ
凛,え！？…あ、うん。どうしたの？
Ｐ,耳かきするの好きでな。暇さえあればしょっちゅうほじってたんだ。自分の
凛,うん
Ｐ,したら、外耳炎になっちゃってな。痛くて夜は眠れないし、親にも医者にも怒られるし散々でさ
凛,ふーん…
Ｐ,で、気づいたの。自分の耳をほじれない時は、人のをやればいいって
凛,…
加蓮,…
Ｐ,加蓮、寝てるぞ
加蓮,…んがっ。ご、ごめん…
凛,寝てるって…疲れてるの？
加蓮,いや…だいぶ、慣れたんだけど…Ｐさんに…耳かきしてもらうと…ねむ…。…
凛,寝てる
Ｐ,ほい、終わり。おーい、起きろ
加蓮,…ん～…お、起きた。起きてるってば
Ｐ,まだ半分寝てるな。ほら、どいてくれ
加蓮,ん～…！
凛,耳かきされて寝ちゃうって、よっぽど疲れてるんだね
加蓮,…いや、そういうわけじゃないんだけどね。Ｐさんに膝枕耳かきされると、どうしても…ね
凛,ふぅん
Ｐ,ちなみに仁奈は１分持たずに寝るぞ
凛,えっ
加蓮,だいぶ慣れた私でも、やっぱり眠くなるしね
凛,なにそれ…耳かきで眠くなるって子供みたいじゃない？
Ｐ,…ほほぅ
加蓮,あっ…
Ｐ,よし、凛。最近耳かきはしたか？
凛,いや…最近は、してないかな？知ってると思うけど忙しくってさ。自分でやってる時間がなかったから…
Ｐ,よーし、それじゃあ俺がしっかり掃除してやる。準備するからちょっと待っててな
加蓮,あ、私は…眠気覚ましにスタバでも行ってこようかな～…。それじゃ、凛。ごゆっくり！
凛,あ、ちょっと、加蓮…行っちゃった
Ｐ,りーん。和室来てくれー
凛,あ、うん。わかった。…なんかいろいろ道具が置いてある…
Ｐ,さぁ、凛。お待たせ。耳かきしようか
凛,う…うん
Ｐ,じゃあまず俺に背を向けて座ってくれ
凛,わかった…けど、膝枕じゃないの？
Ｐ,いいから。ほい、じゃあ支えてるからゆっくり後ろに倒れてくれ
凛,うわ、顔、近…
Ｐ,どうだ。さすがに正座して膝枕はつらいから胡坐だけど、上下逆さまなのも新鮮だろ？
凛,…
Ｐ,凛？
凛,あ、うん。そうだね…。緊張する…
Ｐ,ほい。じゃあ、まずはこのレンチンした蒸しタオルで耳を拭くからな。熱かったら言ってくれ
凛,ん…。あったかい…
Ｐ,耳もなー、意外に凝るんだよ。こうやって暖めながら揉んで凝りをほぐすからなー。…よし。じゃあまず右耳を見るから左を向いてくれ
凛,うん…
Ｐ,んー…思ったよりは綺麗だな。まぁ、でも初めてだししっかりやろうか
凛,…耳かきじゃないの？
