鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
鬼瓦,ふざけんな。何が悲しくてテメエなんかと温泉旅行に行かなきゃなんねえんだ
山田,金のことなら心配するな。実はこの前、冗談のつもりで作った瞬間整形マシーン二十面相がある業界にバカ売れしてな
鬼瓦,金のことじゃねーよ！大嫌いなテメエと行くのが嫌だっつってんだ！……っていうかある業界ってなんだ？堅気じゃねーだろソレ……
山田,それは言えないが……。そうか、嫌か……
鬼瓦,ああ、まっぴらだ。お前と行くくらいなら、まだ家で呉羽さんの写真を眺めて一日を潰した方が有意義だからな
山田,そうか……。あいつらも来るから、お前もきっと二つ返事でついて来ると思ったんだが……
鬼瓦,……。……ちょっと待て。あいつらって？
山田,言わなくても分かるだろ？あいつらはあいつらだ
鬼瓦,？！
山田,残念だ……。お前も誘うつもりだと言ったら、あいつら喜んでいたのに……
鬼瓦,誰が行かないと言った？さっさと集合場所と集合時間を言え。や、山田の人脈つったら幼馴染の呉羽さんと、その友人の西島、木下くらいなもんだ……。この俺が……く……く……呉羽さんと一緒に温泉旅行に行けるだと……？！。しかも俺が一緒に行くと思って喜んでいただと……？！もしかして呉羽さん、俺に気があるのか……？！///。いやしかし待て待て……。あいつらが喜んでいたということは、呉羽さんだけでなく、西島と木下も喜んでいたということになる……。こ、このままだと……俺を巡ってあの仲良し三人組が戦争を始めるぞ……！。……それから男女比も気になるところだ。男２に対して女３。山田みてえなサイコ野郎を人間とみなさなければ実質、男１：女３。女子と話したことなどほとんど無い俺には、あまりにも不利な状況……！。おまけに西島も木下も、超絶カワユスの呉羽さんの影に隠れてしまっているだけで、他の学校なら余裕でマドンナをはれるクラス……。とりあえず会話が途切れても困らないように、トランプやウノ、それからボードゲームは必須……！
鬼瓦母,ねえ、何さっきから食事中に独り言を言ってんの……？母さん、怖いんだけど……
鬼瓦,不安要素はまだ尽きないぞ……。もし恋バナなんかが始まってみろ……！俺はあの３人の前で好きな人を発表しなければならなくなる……。もちろん好きなのは呉羽さんただ一人だが……。もしそれを本人の前で言った場合はどうなる……？！。互いに好きである以上、必然的に俺と呉羽さんはくっつくことになる……。しかしそうなると、鮫島や不動、その他呉羽ＦＣの奴らが黙ってはいないだろう……。俺たち呉羽ＦＣはどうせ呉羽さんとは付き合えないだろうけど、それでも報われない片思いを楽しもうというコンセプトで集まった集団……。そのボスが半ば抜け駆けのように呉羽さんと付き合ってしまったならば、奴らはきっと暴徒と化す……。……。殺されるのが俺だけならまだしも……
鬼瓦母,な、何……？何で今こっち見たの……？母さんも殺されんの……？
鬼瓦,……そうならないためには、西島か木下のどちらかで妥協するしかない。……少し口うるさいけど心優しい西島か……金に汚いけど胸の大きな木下か……。……
鮫島,……
不動,……
山田,いやー少々値が張るだけあって、なかなか良い部屋だな！これは風呂も食事も期待できそうだ。……どうしたお前ら？浮かない顔をして
鬼瓦,おい山田……。何だこの状況は……？
山田,何だと訊かれてもな……。大金を手に入れた俺が、クラスメートのお前らに温泉旅行を奢ってやってるとしか……
鮫島,何で野郎４人で温泉旅行なんだ……。呉羽さんも誘うんじゃなかったのか……？
山田,誰が呉羽を誘うと言った？俺が誘うつもりだと言ったのは鬼瓦のことだ
鬼瓦,じゃあお前が言ってたあいつらってのは……？
山田,鮫島と不動だ。見ればわかるだろう
不動,……一部屋しか予約していないと聞いたときは心臓が止まりそうになったもんだが……そうだな、男だけなら一部屋で十分だもんな……
山田,ホントにどうしたんだ？せっかくの旅行なんだから、楽しまないと損だぞ？とりあえず風呂にでも行くか？
鬼瓦,いや、今はいい……。俺たちはまず心を落ち着けなきゃならんから、先にお前だけで行ってこい……
山田,そうか？じゃあ行ってくる
鬼瓦,……
鮫島,……
不動,……
鬼瓦・鮫島・不動,ちっくしょおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお！
鬼瓦,お前ら、俺を呼ばずに自分だけで呉羽さんとの温泉旅行を楽しむつもりだったな……？
鮫島,君もだろうが、鬼瓦……
不動,話がうますぎると思ったんだ……。それにしても何故山田が俺たちを誘ったのか……
鬼瓦,１人で行くのが寂しかっただけだろ？まあせっかく奢ってくれるって言ってんだから、純粋に旅行を楽しませてもらおうぜ
