※ショートショート集です。主要キャラは第六駆逐隊,特に電ちゃん
阿武隈,騒がしいながらも楽しい鎮守府
【艦これ】初霜,私が、守ります！
【艦これ】阿武隈,いつか平和な海で。第一水雷戦隊の子にプレゼントを配ります。耳かきしましょうか？
【艦これ】霞,あーもう、バカばっかり！
【艦これ】阿武隈,大切な人に大切な想いを
響,……朝か。今日も私が一番早起きだね。さて、皆を起こさないと。そうだね、まずは暁からだ。きゅーそくせんこー。ぷはっ。今日も暁の寝顔はかわいいな。……こほん。一人前のレディーの卵である、良い子の皆。おはようございます。今日のレディー予報の時間です。早速ですが、緊急速報です。鹿屋基地で発生した大型レディー暁が徐々に勢力を増しながら北上。既に改二レベルへと到達し、翌日にはレベル９５となるでしょう。レディー予報士の響さん。公共交通機関への影響はどうなるのでしょうか？。現場の響さん？今なんて？。えーっと、どうやら暁のレディー度が強すぎて、声がスタジオに届かない様です。さすがレディーですね。一人前のレディーは伊達じゃない
暁,耳元で一人二役の妙なニュースやってんじゃないわよおおおおおぉ！？暁を台風扱いしないでよねっ！？
響,おはよう姉さん。良い朝だね
暁,あんたの妙な演技さえなければね！
響,妙とは失礼だね。私は暁がいかにレディーであるかを称えようとしただけなのに
暁,皮肉っているようにしか思えなかったわよ！
響,えっ！？……ごめん
暁,え？まさか本気で褒めているつもりだったの？
響,……うん
暁,えっと……その、こっちこそごめん
響,……いいさ。別に気にしてない
暁,そ、そう？
響,ああ、私が悪かったのは事実だからね
暁,響……
響,さて、次は雷と電だ。かわいい妹達をどうやって起こしてあげようか。そうだな……阿武隈さんの声真似で起こしてあげよう。電ちゃん、雷ちゃん。今日もいい天気だよ。こんな日は一緒にお出かけしたいな～、ねっ？
電,ふえ……阿武隈さん？電もお出かけなのです……？はいなのです
雷,……んー？電だけずるーい。雷も阿武隈さんと一緒にお出かけするんだから……
響,もちろん、雷ちゃんも一緒だよ。そうだね、他の子も一緒に誘ってお出かけしよっか。えへへ、楽しみだな～。そうだね、せっかくだからお弁当作ろうか？電ちゃん、雷ちゃん。手伝ってくれないかな？
電,電、お手伝いするのです……あ、深雪ちゃんも一緒におでかけでもいいのです……？
雷,もっと頼ってもいい、のよ……
響,こうかはばつぐんだ！
暁,いい加減にしなさいーっ！？。ところで響、最近アンタがなんて呼ばれているか知ってる？
響,不死鳥の通り名もあるよ
暁,違うわ……フリーダム響よ！
響,フリーダム響？なんだいそれは
雷,か、かっこよさそう……！
電,雷ちゃんの目がキラキラしているのです！？
暁,かっこよさそうな言葉だけど、その意味は……響が常識に捕らわれない、自由奔放ほんぽう
響,自由か……良い響きだな、嫌いじゃない
暁,その反応が既にフリーダムなのよぉ！
響,この鎮守府では、常識に捕らわれてはいけないんだよ
暁,どこから来たルールよそれ！？
電,暁ちゃん落ち着くのです！
響,しかし心外だな。私はそんな奔放なことをした覚えはない
雷,どの口が言っているのよ……
響,この口さ。私がいつフリーダム呼ばわりされるようなことをしたんだい
暁,出会って二秒で響だよ。その活躍ぶりから不死鳥の通り名もあるよとか言うところかしら
電,響ちゃん、しばらく皆さんから不死鳥って呼ばれていたのです……
響,響だよ。その活躍ぶりから不死鳥の通り名もあるよ
文月,ふしちょー？良く分からないけど、かっこよさそー。ふしちょーさん、よろしく～
菊月,なるほど……ならば敬意を持って不死鳥と呼ばせてもらおう
長月,これからよろしく頼むぞ、不死鳥とやら
磯波,あの……不死鳥さん、よろしくお願いします
木曾,不死鳥か……アリだな！
白雪,不死鳥さん。これから歓迎会をしようと思うのですが、不死鳥さんはなにを食べますか？
白露,不死鳥！？でもあたしが一番なことには変わりないよね！ねえ！
響,……
電,あ、あわわわわわ……
響,あれは恥ずかしかった……
雷,じゃあなんでそんな自己紹介したのよ
響,ぶっちゃけノリで
暁,やっぱフリーダムじゃないのぉ！？
響,分かったよ。それじゃ私がフリーダム響なんて目で見られてないことを、はっきりと証明してみせよう
電,なんかすごく不安なのです……
響,信頼の名は伊達じゃない。司令官、阿武隈さん。おはよう
提督,おはよう響……って何やっているんだ？
阿武隈,おはよう、響ちゃん……ふええ！？
提督,なんでこの時期にハロウィン衣装なんだ？
響,どうだい、暁。阿武隈さんがこういう反応するということは、私がこんな奔放な振舞いをするのは予想外だということ。つまりフリーダム響なんて風評は、嘘八百ということが証明されるんだよ
暁,だからその行動が既にフリーダムなのよおおおおおぉ！？
阿武隈,暁ちゃん落ち着いて！
電,なのです！
