周りの大人からは、,君はとても頭が良い、天才だ
食蜂,……まだ深夜の2時…。最近、あの頃のことをよく夢に見るわねぇ……。……とうまさんと過ごした日々のことを…。あの頃の私はまだ幼くて、無邪気で……。そして、とうまさんと幸せそうに笑って過ごしていたわぁ……。あぁ…………。……少し、気分転換に風に当たって来ようかしらぁ。…………。あの日から……とうまさんと学園都市で出会ってから、もう8年……。すっかりとうまさんが私を探し回っているなんて噂は聞かなくなったわねぇ。学園都市第五位……心理掌握…。こんな地位よりも、私は……。ただ……あなたのそばで笑っていたかった…………。………………あらぁ？最近……あの頃の夢を見続けていたせいかしらぁ？。…もう枯れ果ててしまったとばかり思っていたのに………まだ、流せたのねぇ…。本当に…………参っちゃうわねぇ…。っ！？
上条,よぉ、みさき。やっと……見つけたよ。ずっとずっと探してたんだ。8年の間、ずっと…………
食蜂,どうして……あなたが……ここにいるの……？ここは、男の人は入っちゃいけないのに……
上条,最近常盤台のビリビリ中学生と知り合ってさ。そんでお前がここに居るって分かったんだ。ここのセキュリティはビリビリに頼んで一時停止してもらったんだ。しばらくすれば復旧するだろうから、長くは話せないけど。ビリビリからは何でも私の言うことを聞くって条件でやってもらったから、この後が大変そうだけどな。……でも。これで、もう一度お前と話せる
食蜂,言われる……！！とうまさんの口から、直接……！！
上条,みさき！待てよおい！話がしたいんだ！
食蜂,げほっ！はぁっ……はぁっ！。はぁ……はぁ……！。げほげほ……はっ……はっ……
上条,逃げんなよな……はぁ……はぁ……。みさき、お前、相変わらず体力ないんだなぁ
食蜂,…………私は……もう、あなたの知ってるみさきじゃないわぁ。学園都市第五位……心理掌握………食蜂操祈よぉ……
上条,それが何だよ。俺は、お前という一人の女の子と話すために8年間ずっと探してたんだ
食蜂,………………
上条,ずっと話したかった。ずっとだ。お前のしたことはどう転んだって絶対に良い事じゃない。正直言ってあれは人としてやっちゃいけない行為だ。でも、俺も悪かった。頭に血が上って、お前の事情も聞かずに、お前を一方的に拒絶しちまった……。みさき、ごめん！
食蜂,どうして……私を探し続けていたの……
