参考:ミカ,未来が知りたいなら自分の目で確かめればいいんじゃないかな？
みほ,もうあれから10年も経つんだ
エリカ,何を読んでるの？....月間戦車道？大洗の奇跡を振り返る？
みほ,この前取材を受けて、見本誌を貰ったの
エリカ,.....ふーん、って事はそろそろね
みほ,何が？
エリカ,何でもないわ、こっちの話よ
みほ,そうそう、お姉ちゃんの帰国スケジュール決まったから
エリカ,奥様の？
みほ,う、うん
エリカ,何よその笑いは
みほ,いや、何だか変な感じだなって
エリカ,うるさいわね
みほ,お姉ちゃんに会うのも久しぶりだなぁ。元気かな？
エリカ,奥様は元気よ。電話くらいしてあげたらどうかしら？
みほ,うーん、わざわざ電話するような話題もないし、どうせもうすぐ会うんだからその時に話せばいいかなって
エリカ,特に用事がなくても連絡くらいこまめに取ればいいのよ。あなた達やっぱり姉妹よ。揃って似たようなこと言って手紙の一つもよこさないんだから
みほ,あはは。そういえば、あの人は？
エリカ,......知らないわよあんなやつ。名前すら覚えてないわ
みほ,その、一応お姉ちゃんの旦那さんだし、エリカさんの雇い主だよ？
エリカ,わたしの雇い主はまほ奥様よ！あんな戦車道のせの字も知らなかったようなのがどうして.....
むほ,えりかーっ！
エリカ,あら、お嬢様どうしました？
むほ,えりかーっ！バッタ捕まえ.....みほおばさまだ！いらっしゃい！
みほ,むほうちゃん、こんにちわ
むほ,こんにちわ！
エリカ,お嬢様、その手に持っているのは？
むほ,これね、しょーゆばった！お口からおしょうゆでるの！
バッタ,ぐえー
エリカ,ばっちいからお外に捨てておいで
むほ,でもこのまえ、えりかおしょうゆがたりないってこまってたでしょ？
エリカ,今は足りています。捨てて来なさい
むほ,はーい
みほ,うふふ、エリカさんお母さんみたい
エリカ,あの子の母親は奥様よ。.....なんで奥様の子なのにあんなにお転婆なのよ
みほ,でも、小さい頃のお姉ちゃんそっくり。見た目もだけど性格も
エリカ,いいえ、あの男の悪い部分が移ったのよ
みほ,でも初対面でいきなりグーで殴る事はないと思うなぁ
エリカ,う、うるさいわね！そのネタいつまで引っ張る気よ！！。あと、あの子を無縫ちゃんって呼ぶのいい加減やめなさい
みほ,え？かわいいと思うけど....
エリカ,あの子、その無縫が自分の名前だと思い込んで、自分のことむほーむほーって言ってるのよ
みほ,え？そうなの？
むほ,えりかーっ！せみのぬけがらみつけた！
エリカ,捨てなさい！
むほ,えいっ
セミの抜け殻,髪にくっついちゃろー
エリカ,きゃああああああああああ
みほ,なんか、天衣無縫って言うより無法って感じだね
大洗生,本日は教官をお招きしている。我が校の卒業生であり、あの大洗の奇跡を支えた武部沙織さんだ！。おーっ！
沙織,教官の武部沙織です。普段は中等部の子を教えてるんだけど、こっちも新入生の子が多いって事だったので初心者向けの講座を行います。みんな、よろしくぅー！
大洗生,あ、あの！10年前の戦車道大会で優勝したって本当ですか？
沙織,本当だよ。あの時は大変でね
大洗生,私たちでも戦車道強くなれますか？
沙織,もちろん！努力は必要だけどね！
大洗生,た、武部教官、お会いできて光栄です！わたし、通信手の武部殿に憧れて大洗に来たんです！
沙織,本当？ありがとう！
大洗生,あのあの！教官に聞きたいんですけど
沙織,ん？なに？
大洗生,戦車道やるとモテるって本当ですか？！
沙織,......。撃破率は120%よ！
大洗生一同,おぉ～
沙織,撃破率120%って何？
アリサ,いや、知らないわよそんなの
沙織,なんか憧れの目で見られて逆に騙してるようで辛かった
麻子,だったら言わなきゃよかっただろう
沙織,だってぇ、夢を壊したくなかったって言うかぁ
優花里,まぁ、でもモテますよね、戦車道女子
麻子,沙織達は彼氏いないけどな
沙織,麻子もじゃん！
アリサ,って言うか、このメンバーの中で彼氏持ちはそこのオッドボールだけよ
優花里,いや、あはは
沙織,お相手は整備員の人だっけ？
優花里,はい、同じ戦車好きで意気投合しまして
麻子,しかし、珍しいな。男で戦車好きだなんて
優花里,えぇ、実際戦車の整備員も大半は女性ですからね
沙織,ゆかりんは出会いがあっていいなぁ。あたしなんか女の子ばっかりだし、生徒にはからかわれるし
アリサ,からかわれる？あんたが？
沙織,わたし、先生と結婚したいです！とか、先生が男の人ならよかったのにぃとか
麻子,モテモテじゃないか
沙織,違うの！わたしは男の人にちやほやされたいの！
アリサ,だからオトコが寄ってこないんでしょ
優花里,まぁ、戦車道やってると一部は同性から慕われますからね。わたしはありませんでしたが
麻子,わたしもないな
アリサ,わたしもね
沙織,もう！みんな他人事だと思って！。やだもー！
麻子,だから沙織ー、結婚してくれー
優花里,モテモテですね、武部殿
アリサ,スイマセーン、お冷ください！
沙織,もう麻子、ここで寝ないで、起きてってば
麻子,おばあが、婿はまだか、孫はまだかとうるさいんだ
沙織,だったらわたしじゃ何も解決しないじゃん！
麻子,いや、沙織ならおばあも納得する。だから養ってくれ
沙織,いや、意味わかんないし。それに麻子の方がお給料いいじゃん
優花里,一流企業ですよね。戦車道の関連部品を請け負う会社の
アリサ,社会人リーグでも活躍して開発研究部門でも今度チームリーダーになるんだっけ？超エリート様じゃない
麻子,おまけにフレックス勤務で昼近くに出社しても怒られないからありがたい
