依田芳乃,はいー、何やら悪しき気がぶおーと集まっているのでしてー
モバP,この事務所にか……！
芳乃,もっと言うならばー、そなたが育てるアイドルたちにまとわりついておりましてー
P,何てことだ！その悪い気とやらを放っておくとどうなってしまうんだ？
芳乃,わたくしにもまだわかりませんがー。カタストロフでしてー
P,本当に何てことだ！！一体どうすれば防げる、いや、まずどのアイドルが危ないんだ！？
芳乃,ほーほー、まずはー
渋谷凛,おはよう
P,おぉ、凛か……
芳乃,渋谷凛がその一人でしてー
P,おおぉおお凛か！？凛が！？
凛,きゃっ！なに、何なの？
芳乃,とてもよくない気の流れがー。なんとー、これは今まで視た中でもなかなかー
P,見えるのか芳乃！？
凛,私？何の話なの……？
芳乃,暗く黒くまとわりついてー、まるで天をも脅かす。巨大なおはぎのようなー
凛,いい気分しない！
P,りりり凛っ、大丈夫か、体に異変はないか！？健康か辛くないかっ！？
凛,ちょ、待ってっ、落ち着いてよプロデューサー！
芳乃,やんややんや
凛,芳乃もなんか変！。一度ちゃんと全部説明して！！。危機が迫ってる……？
P,ああ、どうやら芳乃が言うには、この事務所のアイドルに悪い気が取り憑いてるらしくてな
凛,私もそうだってこと？
P,ああ……
凛,……その悪い気っていうのは、具体的にどういう悪さをするものなの？
P,それは。カタストロフ
凛,全然具体的じゃないんだけど……。そんなんじゃ対策なんて
P,しかし芳乃にも全てが見えているわけじゃ
凛,あと芳乃って神道の子でしょ？カタストロフって何？
P,確かに……どういうことなんだ芳乃？
芳乃,……むー
凛,？
芳乃,わたくしは、みなの言葉を借りただけでしてー。そなたが信じずともー、わたくしは不満も後悔もー
P,あっ、ちょっと拗ねてる！凛、芳乃の機嫌が！
凛,私のせい！？
芳乃,実は………すねていまして
凛,いい気分しない！
P,俺にも責任はある……よしよし、芳乃、いい子だからなー
芳乃,むふー
凛,もう何なのこれ……
芳乃,気の正体を知る方法がないわけではー
P,わかるのか！？
凛,最初からそれを……
芳乃,気はまだ定まってはいませんのでー。読み取り、危機の内容を知ることができればー
凛,未然に防げるんだね……！
P,しかし読み取ると言ってもな……どうすれば
芳乃,わたくしが、この身に渋谷凛の気を引きつけましょー
凛,えっ！
P,そんなことが！というより平気なのか！？
芳乃,わたくしの力を使えばー。あとはそなたたち次第にてー
凛,私たち……？
芳乃,いざ、はらえの儀式をー
凛,って、ウソ、もう始めるの！？
芳乃,むー、むー……ぶおおぉーー……
P,おお……！
凛,ほ、本当に……？
芳乃,むー、む～……ぶおおぉー……。ぶらじるー……
凛,？
P,凛、何か感じるのか？
凛,いや、まだ何も……
芳乃,ゆでじるー……。ぽじてぃぶー……ちくわぶー……
凛,というか、ねえ
芳乃,ななころびー……やおきー……。なまわさびー……はぐきー……
凛,ちょっと待って、こういう芸人さんいたよね……？
芳乃,ななななー……ななななー……
凛,それも結構前の人だよ！本当に大丈夫なの！？
芳乃,ぶおおぉーーー
凛,きゃっ！
P,うわっ、り、凛っ、平気か！
凛,私は無事だけど、というかほぼ何も感じなかったけど……！
P,芳乃は！？
芳乃,むー……
P,芳乃！
芳乃,……言の葉がー、あたまに……流れこんでくるのでしてー……
凛,それって……
P,気の正体だ！しかしこの先どうすれば
芳乃,読みあげ、ますゆえー……そなたたちは、今ここで再現をー……
凛,さ、再現？
芳乃,……悪しき気は、悪しき予兆ー……強い心で、打ち勝てばー。それも霧となり、散っていくでしょうー……
P,やるしかないな凛……！
凛,え？う、うん。何を？
芳乃,……渋谷、凛
凛,は、はい！
芳乃,花屋……店番をー……
凛,え……？
P,断片的だ、きっと芳乃の言うことを繋げれば文章になるんじゃないか！
凛,その内容を私たちがここで再現するの……！？
芳乃,チャラ男ー……
P・凛,！！？
芳乃,言い寄られー……何度もー……
P,………
凛,………
芳乃,ついにはー……堕ちてー……
P,………
凛,………
芳乃,……まる
P,……
凛,……。ねえこの子本当に芳乃なんだよね！？
P,わからん、悪い気に侵されて精神が不安定なのかもしれない！！
凛,その悪い気っていうのも本当にあるんだよね！？私ちょっと不安に
P,わからん……ただ一つ言えるのは。凛が近いうちに花屋の店番をしている最中にチャラ男に何度も言い寄られた挙句に堕ちるってことだ……！
凛,ないよ！！万に一つも！
P,本当にそう言い切れるのか……？
凛,言い切れるって！私を信じてよプロデューサー！
P,しかし俺は芳乃のことも信じてやりたい……もし芳乃の告げている内容が本当だとしたら
凛,それは……いやないよ！
P,再現すれば悪しき予兆は消え去る……つまり凛を危険から遠ざけるチャンスでも……
凛,そうだけどさぁ……！。え、誰っ
P,この声は
棟方愛海,あたしが見届けさせてもらうよ！
凛,全然心が落ち着かない……！。ねぇどうして！なんで来たの！？。純粋になんで！！？
P,お、落ち着け凛！
愛海,悪いけど話は全部聞かせてもらったからっ！要はこれって。プロデューサーがチャラ男に扮した、凛ちゃんとのイメージプレイ！！
凛,やめて……身も蓋もないよ……
愛海,うひひひっ、なんかあたし最近そういうの見るのすごい好きでさー！
凛,変だよ愛海！元からだけど変だよ！！
芳乃,むー……やー……
P,ダメだ凛、時間がない！このままだと芳乃が！愛海のことは一旦置いておくんだ！
凛,くっ……やっぱりそういう感じなんだ……
P,要はシミュレーション、演技だ！凛ならどうってことない！
凛,わかったから……やればいいんでしょ……うぅ、もぉ……。あ、ありがとうございましたー……気をつけてお持ち帰りください。またのお越しをお待ちしています。……。……ふぅ、一段落ついたかな
愛海,イヤイヤながら見事な切り替えっ！さすが凛ちゃん、いいよいいよー！！
凛,愛海がすごい見てくるから怖い……何でなの。た、たまの休みだったけど、お店を手伝えてよかったな。……あとは外に出てるお花を運んで、今日の仕事は終わりかな。ふふ、なんだか落ち着く感じがして……悪くないね。アイドルの仕事忙しかったし、たまにはこういうのも……
P,チャラ男
凛,！？
P,やっべえなここ花いっぱいあんじゃん何、え、花屋？超ウケんね笑。あー………腹減ったわ、歩くのダッッッル
凛,堂に入りすぎでしょ！！
P,暇すぎて死ぬから入っとくかーオイ、キテんな俺そういうとこあるな
凛,クチャクチャやめてよもう！
P,っチィーッスっつって。うっわ花、花しかねえの花屋って？なぁ？？？
凛,い、いらっしゃいませ……
愛海,むほーっ！まずはプロデューサーのお手並み拝見だね！
凛,たとえこれがシミュレーションだとしても、こんなのに堕ちるわけないじゃんっ……さっさと終わらせて
P,お？あれ？
凛,え……？
P,ちょ～～～カワイイ子見つけた笑
凛,え、えっ
P,うっわバチコーン来た。キミ俺のゾーン入っちゃったねー、ね？？？
凛,何、ちょっと何ですか！
愛海,これは……！
P,あーそんな怒んないでよカワイーな、キミここの店員なん？それとも客？ま、どっちでもいいけど。オレのタイプってことには変わりねえから
凛,な……
愛海,プロデュース四十八手が一つ……“チャラ落とし”！！。プロデューサーのヤツ本気だ……嬢ちゃん、面白いもんが見れるぜ
芳乃,ほーほー
愛海,もうゲームは始まってるんだ……！
凛,いま芳乃が普通だった気がしたんだけど！？
P,あれ、照れちゃってる系？
凛,っ、別に照れてないです
P,ツアァーッ、いいねその眼ギンギンじゃんアガってきたわー！ストラーイクッ！！
凛,バカにしてるんですか……！
P,大マジだってぇえ～～～。こんな可愛い子目の前にいるのにジョーダン言うわけないっしょ？だべ？
凛,何なの……
P,顔背けちゃって。髪で隠れちゃってんじゃん
凛,きゃっ、やっ
P,うっわサッラサラ！こんな綺麗で長ェのにサラッサラとか神がかった鬼かよスッッッゲ！！
愛海,凛ちゃんの髪に手を！
凛,やめっ、いい加減にしてください！
P,ツアアアーーッ！！
凛,ほんと何なの、何でこんな……プロデューサー言ってたじゃんっ……。プロデューサーの方がどうかしてるんだけど！！
愛海,こうなったチャラ男はしつこいぞ！どうする凛ちゃん！
P,いや～～ヤバイっしょ、上玉すぎ、目おっきいしクールで超美人、こんなん他にいねえよ
凛,うぅ……だからっ
P,マジめっちゃタイプだって俺言ったっけ？
